cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
1,1MgB2H8-1,7.486423969633201,ucb,7.486423969633201,11,True,True,1,1,1.508,0.009
2,1MnP2F12-1,6.441105521864005,ucb,7.486423969633201,12,False,True,1,2,0.339,0.005
3,2CoFO-1,1.3899900543041452,ucb,7.486423969633201,13,False,False,1,2,0.354,0.005
4,2BNaH4O4-1,6.454110000858065,ucb,7.486423969633201,14,False,True,1,3,0.35,0.005
5,2BLiH4O4-1,6.616432628917067,ucb,7.486423969633201,15,False,True,1,4,0.346,0.004
6,2CH-1,4.4211110950264505,ucb,7.486423969633201,16,False,False,1,4,1.17,0.005
7,1MgLi2S2H4O8-1,6.020060696821162,ucb,7.486423969633201,17,False,True,1,5,0.367,0.004
8,2AlHSO4-1,6.800169884150914,ucb,7.486423969633201,18,False,True,1,6,0.361,0.005
9,2CoHO2-1,2.5963145090799253,ucb,7.486423969633201,19,False,False,1,6,0.354,0.004
10,1SrP2F12-1,9.426418483475762,ucb,9.426418483475762,20,True,True,2,7,0.343,0.004
11,2CF-1,4.908943266382381,ucb,9.426418483475762,21,False,False,2,7,1.221,0.004
12,6FLi-1,8.825406810873499,ucb,9.426418483475762,22,True,True,3,8,0.337,0.005
13,1CrO2-2,1.1440773459972675,ucb,9.426418483475762,23,False,False,3,8,0.358,0.005
14,2CoFO2-1,2.473459086782842,ucb,9.426418483475762,24,False,False,3,8,0.37,0.005
15,1CrMo3O8-1,1.3512016747745197,ucb,9.426418483475762,25,False,False,3,8,0.339,0.005
16,2NC3-1,1.0137469536167552,ucb,9.426418483475762,26,False,False,3,8,1.287,0.008
17,2AlFO-1,7.451110094646179,ucb,9.426418483475762,27,True,True,4,9,0.371,0.005
18,2AlAsO3-1,5.969293617398447,ucb,9.426418483475762,28,False,True,4,10,0.353,0.005
19,1MgB2F8-1,10.617772574966029,ucb,10.617772574966029,29,True,True,5,11,0.354,0.004
20,1NiN2C4O4H8-1,4.25609836377534,ucb,10.617772574966029,30,False,False,5,11,0.343,0.004
21,4FLi-1,8.826324065442112,ucb,10.617772574966029,31,True,True,6,12,1.231,0.005
22,1NiO2-1,3.311206469863219,ucb,10.617772574966029,32,False,False,6,12,0.386,0.004
23,1MnO2-1,4.136989447015512,ucb,10.617772574966029,33,False,False,6,12,0.475,0.009
24,2AlO2-2,1.6450864500759126,ucb,10.617772574966029,34,False,False,6,12,0.386,0.005
25,1GeLi2H6O6-1,5.821184641245672,ucb,10.617772574966029,35,False,True,6,13,0.386,0.005
26,2AlF3-2,10.791584270238179,ucb,10.791584270238179,36,True,True,7,14,1.509,0.004
27,1GeO2-1,5.355296396300146,ucb,10.791584270238179,37,False,True,7,15,0.36,0.004
28,1MgF2-1,9.796043658608728,ucb,10.791584270238179,38,True,True,8,16,0.361,0.005
