cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
1,1Cd2Mn3O8-1,3.2084256568344345,ucb,5.047520415385245,11,False,False,0,0,0.849,0.022
2,2FORh-1,1.1290490577448993,ucb,5.047520415385245,12,False,False,0,0,0.116,0.017
3,2CCsO3-1,2.6641390646986287,ucb,5.047520415385245,13,False,False,0,0,0.122,0.017
4,2CdFSbO2-1,3.5130988612781677,ucb,5.047520415385245,14,False,False,0,0,0.124,0.018
5,2ORe-1,0.21568495730287565,ucb,5.047520415385245,15,False,False,0,0,0.155,0.017
6,1Nb2W2O11-1,4.194993443316678,ucb,5.047520415385245,16,False,False,0,0,0.661,0.018
7,1Ta2W2O11-1,4.548981950507414,ucb,5.047520415385245,17,False,False,0,0,0.146,0.017
8,1Mo2Ta2O11-1,4.348665095075862,ucb,5.047520415385245,18,False,False,0,0,0.145,0.017
9,1ZrH2P2O6-1,6.395484663595209,ucb,6.395484663595209,19,False,True,0,1,0.144,0.018
10,1HfW2O8-1,5.420085263094771,ucb,6.395484663595209,20,False,True,0,2,0.147,0.017
11,2P2O3-4,5.612790919903382,ucb,6.395484663595209,21,False,True,0,3,0.73,0.018
12,4SnSb2-1,1.1041946693535825,ucb,6.395484663595209,22,False,False,0,3,0.161,0.017
13,1ZrW2O8-1,5.321061306270534,ucb,6.395484663595209,23,False,True,0,4,0.16,0.021
14,2HPSnO3-1,5.33722552589434,ucb,6.395484663595209,24,False,True,0,5,0.167,0.017
15,2P2O3-1,5.37641526422396,ucb,6.395484663595209,25,False,True,0,6,0.143,0.018
16,4OSn-1,3.718731952407974,ucb,6.395484663595209,26,False,False,0,6,0.641,0.027
17,2P2S3-4,2.696213431406375,ucb,6.395484663595209,27,False,False,0,6,0.139,0.018
18,2P2O3-2,5.3628804018511484,ucb,6.395484663595209,28,False,True,0,7,0.132,0.016
19,2As2O3-1,5.449591891902212,ucb,6.395484663595209,29,False,True,0,8,0.14,0.017
20,1SnO2-2,3.749348466895488,ucb,6.395484663595209,30,False,False,0,8,0.122,0.016
21,2AgCdITe-1,2.046804961470954,ucb,6.395484663595209,31,False,False,0,8,0.542,0.017
22,1ZrK2H6S6-1,4.1178837969133735,ucb,6.395484663595209,32,False,False,0,8,0.123,0.017
23,2AgPO3-1,4.204461043762787,ucb,6.395484663595209,33,False,False,0,8,0.131,0.016
24,2CHRbO3-1,6.135748248100355,ucb,6.395484663595209,34,False,True,0,9,0.119,0.015
25,1SnH2O2-1,1.8320721868918182,ucb,6.395484663595209,35,False,False,0,9,0.205,0.018
26,2RbC2F3O3-1,7.402504055455668,ucb,7.402504055455668,36,True,True,1,10,0.599,0.017
27,2AsCSnH3S3-1,2.7238834924274373,ucb,7.402504055455668,37,False,False,1,10,0.137,0.017
28,1MnRe2O8-1,4.030444120943724,ucb,7.402504055455668,38,False,False,1,10,0.125,0.017
29,2SSb2O6-1,5.446764224561242,ucb,7.402504055455668,39,False,True,1,11,0.122,0.016
30,2CrCuP2S6-1,2.6074193481144583,ucb,7.402504055455668,40,False,False,1,11,0.123,0.017
31,2CuO-1,1.0132514063754643,ucb,7.402504055455668,41,False,False,1,11,0.551,0.017
32,1ZrMo2O8-1,5.053658305514012,ucb,7.402504055455668,42,False,True,1,12,0.126,0.017
33,1BiHS2O6-1,3.7837493566455893,ucb,7.402504055455668,43,False,False,1,12,0.124,0.017
34,2Sb2O3-1,4.674643671043235,ucb,7.402504055455668,44,False,False,1,12,0.124,0.023
35,2SAs2O6-1,5.873611763128167,ucb,7.402504055455668,45,False,True,1,13,0.121,0.015
36,2PtN2O6-1,3.863710559282271,ucb,7.402504055455668,46,False,False,1,13,0.573,0.017
37,2PdN2O6-1,3.277496948417018,ucb,7.402504055455668,47,False,False,1,13,0.123,0.017
38,1SnO2-3,1.9563045276398068,ucb,7.402504055455668,48,False,False,1,13,0.136,0.017
39,2KNO3-1,5.260665088156969,ucb,7.402504055455668,49,False,True,1,14,0.143,0.017
40,1Sb2O3-1,4.439731718535582,ucb,7.402504055455668,50,False,False,1,14,0.142,0.017
41,1PbTe2-3,0.511883846059288,ucb,7.402504055455668,51,False,False,1,14,0.76,0.019
42,2CClCuO-1,4.689025857841006,ucb,7.402504055455668,52,False,False,1,14,0.151,0.016
43,2CGePH3S3-1,3.49922210928515,ucb,7.402504055455668,53,False,False,1,14,0.13,0.017
44,2ClIMn-2,3.691865628934508,ucb,7.402504055455668,54,False,False,1,14,0.146,0.017
45,2AlBrTe-1,3.547164445214137,ucb,7.402504055455668,55,False,False,1,14,0.144,0.017
46,1CrO2-2,1.1440773459972675,ucb,7.402504055455668,56,False,False,1,14,0.659,0.018
47,2CCsHO3-1,6.0467067805000605,ucb,7.402504055455668,57,False,True,1,15,0.145,0.017
48,2FGePO3-1,5.82680167459753,ucb,7.402504055455668,58,False,True,1,16,0.146,0.017
