method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
dkl_cold,3,1,1PtK2H6O6-1,4.67956302105477,ei,6.395484663595209,11,False,False,0,0,0.145,0.009
dkl_cold,3,2,1PdK2H6O6-1,4.383878824476335,ei,6.395484663595209,12,False,False,0,0,0.14,0.011
dkl_cold,3,3,1ZnH2O2-1,4.267042625641457,ei,6.395484663595209,13,False,False,0,0,0.152,0.012
dkl_cold,3,4,2Ge2H2O5-1,5.489444230641681,ei,6.395484663595209,14,False,True,0,1,0.145,0.011
dkl_cold,3,5,2INaO2H4-1,4.595953332495753,ei,6.395484663595209,15,False,False,0,1,0.148,0.009
dkl_cold,3,6,2ClKO2H4-1,6.470916738803768,ei,6.470916738803768,16,True,True,1,2,0.145,0.011
dkl_cold,3,7,1CrS2-1,1.3507827301479436,ei,6.470916738803768,17,False,False,1,2,0.146,0.012
dkl_cold,3,8,1CoCl2O8-1,4.619296874329345,ei,6.470916738803768,18,False,False,1,2,0.156,0.012
dkl_cold,3,9,2CsC2H3O3-1,6.165504517407454,ei,6.470916738803768,19,True,True,2,3,0.146,0.009
dkl_cold,3,10,1AlN-1,4.04828874740673,ei,6.470916738803768,20,False,False,2,3,0.146,0.011
dkl_cold,3,11,1CdCl2N2C4H4-1,3.619069662729009,ei,6.470916738803768,21,False,False,2,3,0.15,0.011
dkl_cold,3,12,1FeZn2C6N6-1,5.456087252897141,ei,6.470916738803768,22,False,True,2,4,0.146,0.011
dkl_cold,3,13,2B2O3-1,8.004683736174364,ei,8.004683736174364,23,True,True,3,5,0.147,0.008
dkl_cold,3,14,2RbC2H3S3-1,3.348312377832152,ei,8.004683736174364,24,False,False,3,5,0.146,0.011
dkl_cold,3,15,1MgB2H8-1,7.486423969633201,ei,8.004683736174364,25,True,True,4,6,0.145,0.011
dkl_cold,3,16,2CH-1,4.4211110950264505,ei,8.004683736174364,26,False,False,4,6,0.146,0.011
dkl_cold,3,17,1MnP2F12-1,6.441105521864005,ei,8.004683736174364,27,True,True,5,7,0.146,0.008
dkl_cold,3,18,1ZnRe2O8-1,5.699539845242606,ei,8.004683736174364,28,False,True,5,8,0.148,0.011
dkl_cold,3,19,1ZnNi3H4O8-1,1.7092634239183808,ei,8.004683736174364,29,False,False,5,8,0.149,0.011
dkl_cold,3,20,1HfMo2O8-1,5.133859705299372,ei,8.004683736174364,30,False,False,5,8,0.15,0.011
dkl_cold,3,21,1BaCl2-1,6.916304949670295,ei,8.004683736174364,31,True,True,6,9,0.148,0.008
dkl_cold,3,22,1BaI2-1,4.873623187282922,ei,8.004683736174364,32,False,False,6,9,0.153,0.011
dkl_cold,3,23,1BaCl2-2,6.098517424967267,ei,8.004683736174364,33,True,True,7,10,0.149,0.011
dkl_cold,3,24,1CdI2-2,2.9922793134602523,ei,8.004683736174364,34,False,False,7,10,0.148,0.011
dkl_cold,3,25,2SCs2-1,2.0885938848469348,ei,8.004683736174364,35,False,False,7,10,0.151,0.008
dkl_cold,3,26,2ClSb-1,0.4308584334166272,ei,8.004683736174364,36,False,False,7,10,0.152,0.011
dkl_cold,3,27,2NC3-1,1.0137469536167552,ei,8.004683736174364,37,False,False,7,10,0.152,0.011
dkl_cold,3,28,6STl2-1,1.7986051645904544,ei,8.004683736174364,38,False,False,7,10,0.159,0.011
dkl_cold,3,29,1P2Pd3S8-1,2.8755854989989182,ei,8.004683736174364,39,False,False,7,10,0.153,0.009
dkl_cold,3,30,1Mo2Ta2O11-1,4.348665095075862,ei,8.004683736174364,40,False,False,7,10,0.151,0.011
dkl_cold,3,31,1SrCl2-1,7.047010997614251,ei,8.004683736174364,41,True,True,8,11,0.074,0.011
dkl_cold,3,32,1MgF2-1,9.796043658608728,ei,9.796043658608728,42,True,True,9,12,0.153,0.012
dkl_cold,3,33,1MgB2F8-1,10.617772574966029,ei,10.617772574966029,43,True,True,10,13,0.154,0.008
dkl_cold,3,34,1SrP2F12-1,9.426418483475762,ei,10.617772574966029,44,True,True,11,14,0.154,0.011
dkl_cold,3,35,2SrP2O6-1,6.873763907240447,ei,10.617772574966029,45,True,True,12,15,0.153,0.011
dkl_cold,3,36,1C2O2Ti3-1,0.47760765367443836,ei,10.617772574966029,46,False,False,12,15,0.153,0.011
dkl_cold,3,37,1Br2Cl3Mn5O6-1,1.0015332604784746,ei,10.617772574966029,47,False,False,12,15,0.155,0.008
dkl_cold,3,38,1TiH2-1,0.388021802469787,ei,10.617772574966029,48,False,False,12,15,0.156,0.012
dkl_cold,3,39,1GaRhIr2Br4S4-1,1.1372989636058726,ei,10.617772574966029,49,False,False,12,15,0.155,0.011
dkl_cold,3,40,2BLiH4O4-1,6.616432628917067,ei,10.617772574966029,50,True,True,13,16,0.158,0.011
