method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
random,2,1,1NiGa2S4-1,1.9607762274945166,random,4.204344282699862,11,False,False,0,0,0.0,0.0
random,2,2,2Co2S3-1,0.4899163105985812,random,4.204344282699862,12,False,False,0,0,0.0,0.0
random,2,3,2GaSSi-1,1.808148076837551,random,4.204344282699862,13,False,False,0,0,0.0,0.0
random,2,4,1PtNa2H6S6-1,3.38613003055115,random,4.204344282699862,14,False,False,0,0,0.0,0.0
random,2,5,2ClKO2H4-1,6.470916738803768,random,6.470916738803768,15,True,True,1,1,0.0,0.0
random,2,6,1MgNa2Se2H4S8-1,3.1225122840383808,random,6.470916738803768,16,False,False,1,1,0.0,0.0
random,2,7,2IV-2,0.1222415188213346,random,6.470916738803768,17,False,False,1,1,0.0,0.0
random,2,8,1ReRhIr2Se8-1,0.5038004954339185,random,6.470916738803768,18,False,False,1,1,0.0,0.0
random,2,9,2HfIN-2,1.435795395623965,random,6.470916738803768,19,False,False,1,1,0.0,0.0
random,2,10,2AgBr-1,2.9623770335906077,random,6.470916738803768,20,False,False,1,1,0.0,0.0
random,2,11,1InLiI4O12-1,4.1355978269718445,random,6.470916738803768,21,False,False,1,1,0.0,0.0
random,2,12,2ClMnSbS2-2,1.2421457829290659,random,6.470916738803768,22,False,False,1,1,0.0,0.0
random,2,13,6BrCu-1,3.7076008746789038,random,6.470916738803768,23,False,False,1,1,0.0,0.0
random,2,14,1BaCl2-2,6.098517424967267,random,6.470916738803768,24,True,True,2,2,0.0,0.0
random,2,15,2TlPt2S3-1,2.0736135055545284,random,6.470916738803768,25,False,False,2,2,0.0,0.0
random,2,16,1CdF2O2-1,3.61525786132775,random,6.470916738803768,26,False,False,2,2,0.0,0.0
random,2,17,1SrSb2F12-1,7.2202620542179705,random,7.2202620542179705,27,True,True,3,3,0.0,0.0
random,2,18,1SI2Mn2-1,2.219087085511189,random,7.2202620542179705,28,False,False,3,3,0.0,0.0
random,2,19,2ClOY-1,6.000126821266452,random,7.2202620542179705,29,False,True,3,4,0.0,0.0
random,2,20,2IrSe-1,0.16255965309659182,random,7.2202620542179705,30,False,False,3,4,0.0,0.0
random,2,21,1AlLiI4O12-1,4.111865963243848,random,7.2202620542179705,31,False,False,3,4,0.0,0.0
random,2,22,2AuSbS3-1,2.045926817373653,random,7.2202620542179705,32,False,False,3,4,0.0,0.0
random,2,23,2TlPd2Te3-1,0.5669848305769047,random,7.2202620542179705,33,False,False,3,4,0.0,0.0
random,2,24,2AlGeS-1,0.835087984058941,random,7.2202620542179705,34,False,False,3,4,0.0,0.0
random,2,25,1MgGa2Se4-1,1.1454765796938642,random,7.2202620542179705,35,False,False,3,4,0.0,0.0
random,2,26,2SNi2Se3-1,0.44012824127832584,random,7.2202620542179705,36,False,False,3,4,0.0,0.0
random,2,27,1AgBrPdCl5-1,1.1323696892866204,random,7.2202620542179705,37,False,False,3,4,0.0,0.0
random,2,28,2BrZr-4,0.0445888995147109,random,7.2202620542179705,38,False,False,3,4,0.0,0.0
random,2,29,1VTe2-1,0.8540299704223102,random,7.2202620542179705,39,False,False,3,4,0.0,0.0
random,2,30,2BiTe-2,0.15706707671530373,random,7.2202620542179705,40,False,False,3,4,0.0,0.0
random,2,31,1ZnI2-2,2.595318272317429,random,7.2202620542179705,41,False,False,3,4,0.0,0.0
random,2,32,2TlCl2-1,2.8195287686155543,random,7.2202620542179705,42,False,False,3,4,0.0,0.0
random,2,33,1FeI2-3,0.019747739471341452,random,7.2202620542179705,43,False,False,3,4,0.0,0.0
random,2,34,4AgClHS-1,0.6216999666225229,random,7.2202620542179705,44,False,False,3,4,0.0,0.0
random,2,35,1ZnI2-3,1.6436265244667285,random,7.2202620542179705,45,False,False,3,4,0.0,0.0
random,2,36,2GePTe3-1,1.2494238068688381,random,7.2202620542179705,46,False,False,3,4,0.0,0.0
random,2,37,4RhS2-1,1.4017233689639377,random,7.2202620542179705,47,False,False,3,4,0.0,0.0
random,2,38,1VI2-1,3.3950123950552333,random,7.2202620542179705,48,False,False,3,4,0.0,0.0
random,2,39,2TeTi-5,0.15021065097948194,random,7.2202620542179705,49,False,False,3,4,0.0,0.0
