method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
std_gp,3,1,2ClLiO2H4-1,6.111150256482566,ei,6.395484663595209,11,True,True,1,1,0.162,0.01
std_gp,3,2,2BNaH4O4-1,6.454110000858065,ei,6.454110000858065,12,True,True,2,2,0.164,0.012
std_gp,3,3,1MgLi2S2H4O8-1,6.020060696821162,ei,6.454110000858065,13,True,True,3,3,0.163,0.012
std_gp,3,4,1MgLi2Se2H4O8-1,6.069699781154093,ei,6.454110000858065,14,True,True,4,4,0.164,0.012
std_gp,3,5,2SVH2O5-1,3.771349439801173,ei,6.454110000858065,15,False,False,4,4,0.164,0.009
std_gp,3,6,1GeLi2H6O6-1,5.821184641245672,ei,6.454110000858065,16,False,True,4,5,0.165,0.012
std_gp,3,7,1MgH2O2-1,5.028010763049256,ei,6.454110000858065,17,False,False,4,5,0.165,0.012
std_gp,3,8,2CaP2O6-1,7.038376448379054,ei,7.038376448379054,18,True,True,5,6,0.168,0.012
std_gp,3,9,1AlNaI4O12-1,4.26911750794037,ei,7.038376448379054,19,False,False,5,6,0.166,0.009
std_gp,3,10,2CaCl2O2H4-1,7.085091451707623,ei,7.085091451707623,20,True,True,6,7,0.167,0.012
std_gp,3,11,2SrCl2O2H4-1,6.943333130338282,ei,7.085091451707623,21,True,True,7,8,0.167,0.012
std_gp,3,12,2CaBr2O2H4-1,6.093318049576215,ei,7.085091451707623,22,True,True,8,9,0.167,0.012
std_gp,3,13,2SrP2O6-1,6.873763907240447,ei,7.085091451707623,23,True,True,9,10,0.167,0.009
std_gp,3,14,1SrP2F12-1,9.426418483475762,ei,9.426418483475762,24,True,True,10,11,0.169,0.012
std_gp,3,15,1BaP2F12-1,9.582344405541459,ei,9.582344405541459,25,True,True,11,12,0.168,0.012
std_gp,3,16,2SrF2O2H4-1,7.694953668993825,ei,9.582344405541459,26,True,True,12,13,0.169,0.012
std_gp,3,17,2FOY-1,6.726879214939499,ei,9.582344405541459,27,True,True,13,14,0.169,0.009
std_gp,3,18,1BaSb2F12-1,7.344033209756923,ei,9.582344405541459,28,True,True,14,15,0.169,0.012
std_gp,3,19,2Bi-1,0.6111082036557421,ei,9.582344405541459,29,False,False,14,15,0.169,0.012
