task,method,best,top50,top10pct
emass_max,dkl_cold_live,1.494,11.367,15.867
emass_max,dkl_finetune,1.544,13.9,18.667
emass_max,dkl_frozen,1.5,13.333,18.0
emass_max,random,1.47,6.267,9.733
emass_max,std_gp,1.656,14.6,19.467
emass_min,dkl_cold_live,-1.987,14.733,19.333
emass_min,dkl_finetune,-2.103,16.667,21.5
emass_min,dkl_frozen,-1.744,15.7,21.0
emass_min,random,-1.42,7.167,10.367
emass_min,std_gp,-1.971,15.9,21.2
gap_max,dkl_cold_live,7.854,20.3,30.167
gap_max,dkl_finetune,8.4,25.3,35.4
gap_max,dkl_frozen,8.569,31.5,42.667
gap_max,random,7.5,6.833,9.967
gap_max,std_gp,8.678,21.967,29.767
gap_min,dkl_cold_live,0.032,15.533,24.767
gap_min,dkl_finetune,0.028,17.0,26.133
gap_min,dkl_frozen,0.025,20.6,28.433
gap_min,random,0.054,6.6,10.3
gap_min,std_gp,0.024,19.1,27.767
