model,epochs,seed,train_mae,train_rmse,train_r2,pool_mae,pool_rmse,pool_r2
std_gp,0,0,0.0616288217527302,0.0846792028178111,0.99748599418005,0.744705882971479,0.9949435787432848,0.6037085137346156
dkl,25,0,0.1301747370606336,0.1848392647216626,0.988021533529781,0.7161368587304773,0.9716615273638352,0.6220382510479889
dkl,50,0,0.1209116865930268,0.1709361362980362,0.989755741621383,0.6856459296398429,0.9604251882275556,0.6307292418122545
dkl,75,0,0.110996944399189,0.15458050874557472,0.9916223498247699,0.7125711466402166,1.0094580208071304,0.592061812843192
dkl,100,0,0.10559405203367819,0.14718297918864884,0.9924049972430646,0.7076940392229132,1.000666347994961,0.5991365821181043
dkl,150,0,0.0971301770805803,0.13415279160445917,0.9936902495129519,0.7232913331787635,1.0287146686259765,0.5763495223089181
dkl,200,0,0.08662401969402025,0.12106275207261513,0.99486152980613,0.7193222029241624,1.0209422892511957,0.5827270596058471
dkl,300,0,0.08764357370584576,0.11911004603902216,0.9950259569234734,0.67964707790356,0.9725782630767141,0.6213247217459718
dkl,400,0,0.07167014892681892,0.09525053269967876,0.9968191178177407,0.702312960294282,1.0050762674972926,0.5955956002796653
std_gp,0,1,0.0618675043982802,0.08497871063076302,0.9974681788023408,0.7447050436820553,0.9949532504308314,0.6037008091247392
dkl,25,1,0.12770242909452575,0.17835646259167431,0.9888470319642079,0.7865309142252289,1.0559911421790829,0.5535854040038705
dkl,50,1,0.13235004244226256,0.18832028089372288,0.9875661122141706,0.7224764235332297,1.0015476826355154,0.5984301520501261
dkl,75,1,0.1209062102595163,0.1685852806353339,0.9900355791115066,0.7125623757311437,0.9945129993086274,0.6040514438165032
dkl,100,1,0.09717071408465669,0.13503942627920776,0.9936065698408998,0.7156294513148482,1.0039822267819127,0.5964755217235296
dkl,150,1,0.09751643080299603,0.13542940329597203,0.9935695896633981,0.7179539709111223,0.9855669060461876,0.6111428763109348
dkl,200,1,0.09415509223081622,0.1304860616431159,0.9940304581148831,0.6855180249974987,0.9738393947846691,0.62034203677013
dkl,300,1,0.0927140946891443,0.12761338478831627,0.9942904061897095,0.7399500195719982,1.0259536860513763,0.5786205542013226
dkl,400,1,0.08494874771668731,0.11686831151443597,0.9952114249758667,0.7063774481761043,0.9994241721101763,0.6001311869859727
std_gp,0,2,0.0613753304413585,0.08432433644732258,0.9975070209905811,0.7446859599244307,0.9949399518032687,0.6037114029895653
dkl,25,2,0.12142037412103683,0.17142603978527196,0.9896969373238903,0.8339480279626291,1.139658031508407,0.4800435784126237
dkl,50,2,0.11355149058055825,0.16129926210817339,0.9908782635901647,0.7725696860649683,1.0401634843264422,0.5668672305667983
dkl,75,2,0.09921788487697059,0.14031016002314428,0.9930977450493833,0.7665509581249742,1.0533043492651404,0.5558541686913347
dkl,100,2,0.09776535408345023,0.1380244091751749,0.993320798422751,0.7630731772811349,1.061428861769654,0.5489760331074179
dkl,150,2,0.09746004133458312,0.14017688303461331,0.9931108513683208,0.734307969098439,1.0221963833845271,0.5817012994730761
dkl,200,2,0.09027130645246631,0.12871835900575768,0.9941911020636494,0.7462831618575569,1.0439302830552593,0.5637244974258867
dkl,300,2,0.08250959921012907,0.1138207845033265,0.9954579082123021,0.727537068942022,1.0014665841285382,0.5984951821972975
dkl,400,2,0.07003883930018219,0.0961129741730229,0.9967612547425415,0.7356445913521606,1.010935674936926,0.5908666512406627
std_gp,0,3,0.061955413442087416,0.0851056203717819,0.9974606109609567,0.7445566259378047,0.9947620107304601,0.6038531396083646
dkl,25,3,0.1084915636311129,0.152924723592612,0.9918008625791295,0.7782295320265715,1.0602295385828522,0.5499946937492897
dkl,50,3,0.12215050134263043,0.17142104395344696,0.9896975378349732,0.757284855842104,1.0610395408003623,0.5493068341463505
dkl,75,3,0.10692530606816014,0.15123269414326734,0.9919812968741136,0.7520636336916848,1.0675096054187747,0.5437935530521543
dkl,100,3,0.09236756252023984,0.12867363482525626,0.9941951380545894,0.7793337540584312,1.0740989521561846,0.5381441795317157
dkl,150,3,0.08606508613634131,0.11778034993672923,0.99513639341643,0.7302632155674984,1.0430881447656468,0.5644281001836944
dkl,200,3,0.08163255014491592,0.11367958241588132,0.9954691707426849,0.7277036329157476,1.04266109554882,0.5647846809049836
dkl,300,3,0.08296651683937854,0.11316302925096947,0.9955102528225529,0.7499632074451439,1.0962225784180206,0.518922194824637
dkl,400,3,0.07641024600228452,0.10317284859861751,0.9962679831134967,0.7469225203394695,1.0844771377397306,0.5291759517555766
std_gp,0,4,0.06185711406392762,0.08498638741300232,0.9974677213438133,0.7447052249860009,0.9949308136832276,0.6037186824562981
dkl,25,4,0.0976137144154017,0.13701953244956772,0.9934176992819149,0.7665875503968438,1.040497730291524,0.5665888202142786
dkl,50,4,0.09019853022176849,0.12470882314247939,0.9945473563137037,0.7398661176306889,1.0083618709674558,0.5929472753142109
dkl,75,4,0.08719975027015167,0.12099844740448625,0.9948669871389355,0.7556596371970157,1.0380803901060827,0.568600329114644
dkl,100,4,0.0887078710996802,0.12336337544585624,0.9946643756612275,0.729540923914286,1.0045401565151928,0.5960269064889325
dkl,150,4,0.08207806013965453,0.11463506198063309,0.995392687211868,0.7729483701692355,1.0442156733195562,0.5634859263217653
dkl,200,4,0.08023145400734323,0.11037201343156781,0.9957289890262994,0.7638168318304124,1.046675589941766,0.5614268631525412
dkl,300,4,0.07635473046816302,0.10174681163944227,0.9963704366999163,0.7439518996998279,1.0420696507616367,0.5652782887066616
dkl,400,4,0.06768186557704856,0.09116222481030213,0.9970863150669639,0.7629834989027434,1.073082664886612,0.5390177603735052
