task,method,seed,regret_auc,final_best,final_top50,final_top10pct
emass_max,dkl_cold_live,0,0.7527851582156231,1.5785318323712445,10,14
emass_max,dkl_cold_live,1,1.0016563963779297,1.2979765196417308,4,11
emass_max,dkl_cold_live,2,0.6930649980302305,1.5785318323712445,16,19
emass_max,dkl_cold_live,3,0.6203177882994475,1.5785318323712445,12,17
emass_max,dkl_cold_live,4,0.5683560297574606,1.5785318323712445,21,27
emass_max,dkl_cold_live,5,0.6128924473230429,1.5785318323712445,17,24
emass_max,dkl_cold_live,6,1.0775880907173343,1.2979765196417308,5,10
emass_max,dkl_cold_live,7,1.0609114400170723,1.2596777104069268,5,10
emass_max,dkl_cold_live,8,0.5997222065267733,1.5785318323712445,13,19
emass_max,dkl_cold_live,9,0.5864136317247093,1.5785318323712445,9,12
emass_max,dkl_cold_live,10,0.9968751690114246,1.2145381178884274,8,10
emass_max,dkl_cold_live,11,1.1513734163726612,1.2979765196417308,5,10
emass_max,dkl_cold_live,12,1.283556790577686,1.5785318323712445,4,9
emass_max,dkl_cold_live,13,0.6036391988681908,1.5785318323712445,29,37
emass_max,dkl_cold_live,14,0.6261877809610042,1.5785318323712445,14,20
emass_max,dkl_cold_live,15,0.9454814004409405,1.2741215091411264,9,14
emass_max,dkl_cold_live,16,0.8032604330921044,1.5785318323712445,16,19
emass_max,dkl_cold_live,17,0.833297352476756,1.5785318323712445,7,13
emass_max,dkl_cold_live,18,0.8967902086368419,1.5785318323712445,19,24
emass_max,dkl_cold_live,19,0.6430834747939058,1.5785318323712445,11,15
emass_max,dkl_cold_live,20,0.9652566493435478,1.2596777104069268,10,10
emass_max,dkl_cold_live,21,0.5969007073244346,2.1341535744375406,22,29
emass_max,dkl_cold_live,22,0.5683612714664504,1.5785318323712445,12,15
emass_max,dkl_cold_live,23,0.9114462585728097,1.2979765196417308,9,13
emass_max,dkl_cold_live,24,0.5871810003134671,1.5785318323712445,10,15
emass_max,dkl_cold_live,25,0.6923284089827305,1.5785318323712445,12,15
emass_max,dkl_cold_live,26,1.0480078798618675,1.3086494405000182,6,8
emass_max,dkl_cold_live,27,0.8354524090357875,1.469401248730574,12,14
emass_max,dkl_cold_live,28,0.83617705479581,1.2979765196417308,10,13
emass_max,dkl_cold_live,29,1.2172269724745688,1.5785318323712445,4,10
emass_max,dkl_finetune,0,0.7679260970722042,1.5785318323712445,7,11
emass_max,dkl_finetune,1,0.751207856671013,1.5785318323712445,16,20
emass_max,dkl_finetune,2,0.618263181055934,1.5785318323712445,21,25
emass_max,dkl_finetune,3,0.722853759629373,2.1341535744375406,20,26
emass_max,dkl_finetune,4,0.5581685996045287,1.5785318323712445,7,12
emass_max,dkl_finetune,5,0.7935847381557889,1.5785318323712445,15,20
emass_max,dkl_finetune,6,0.9198140218009062,1.5785318323712445,6,11
emass_max,dkl_finetune,7,1.354393045828627,1.1925239141786843,3,10
emass_max,dkl_finetune,8,0.7056058849398936,1.5785318323712445,18,24
emass_max,dkl_finetune,9,0.35390097167872,2.1341535744375406,29,39
emass_max,dkl_finetune,10,1.0372895442996224,1.153880852366091,9,12
emass_max,dkl_finetune,11,0.6873385936606842,1.5785318323712445,10,14
emass_max,dkl_finetune,12,1.10943483768991,1.5785318323712445,7,13
