task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
emass_max,dkl,1,1,2NbOCl2-1,-0.49850984923900604,ei,0.5924642701433301,11,False,False,0,0,0.142,0.007
emass_max,dkl,1,2,1OVBr2-1,-0.027082583096679453,ei,0.5924642701433301,12,False,False,0,0,0.141,0.007
emass_max,dkl,1,3,1AlISe-1,-0.3907087976979486,ei,0.5924642701433301,13,False,False,0,0,0.144,0.006
emass_max,dkl,1,4,2BiBrHgO2-1,0.29524047528219716,ei,0.5924642701433301,14,False,False,0,0,0.106,0.007
emass_max,dkl,1,5,2AgCrP2S6-1,0.18382779745263267,ei,0.5924642701433301,15,False,False,0,0,0.052,0.007
emass_max,dkl,1,6,1AgCrP2S6-1,-0.1416038340150204,ei,0.5924642701433301,16,False,False,0,0,0.037,0.007
emass_max,dkl,1,7,1AgScP2S6-1,0.8263398344110514,ei,0.8263398344110514,17,True,True,1,1,0.039,0.005
emass_max,dkl,1,8,1AgCrP2Se6-1,-0.2783774840298128,ei,0.8263398344110514,18,False,False,1,1,0.057,0.007
emass_max,dkl,1,9,1AgCrP2Te6-1,-0.4245700013004561,ei,0.8263398344110514,19,False,False,1,1,0.036,0.007
emass_max,dkl,1,10,1CoLiP2S6-1,0.7119357444961679,ei,0.8263398344110514,20,False,True,1,2,0.06,0.008
emass_max,dkl,1,11,1AgAlP2S6-1,-0.41086270209839765,ei,0.8263398344110514,21,False,False,1,2,0.067,0.006
emass_max,dkl,1,12,1AgAlP2Se6-1,-0.5541332066182912,ei,0.8263398344110514,22,False,False,1,2,0.035,0.007
emass_max,dkl,1,13,1CoLiP2Se6-1,0.056074420705877155,ei,0.8263398344110514,23,False,False,1,2,0.058,0.008
emass_max,dkl,1,14,1AgAlAs2Se6-1,-0.3246997875350344,ei,0.8263398344110514,24,False,False,1,2,0.056,0.011
emass_max,dkl,1,15,1AgInP2Se6-1,-0.1753496893009298,ei,0.8263398344110514,25,False,False,1,2,0.039,0.006
emass_max,dkl,1,16,1MgBr2-3,-0.4809591100731519,ei,0.8263398344110514,26,False,False,1,2,0.033,0.008
emass_max,dkl,1,17,1BiHTe2O6-1,-0.6718176511401424,ei,0.8263398344110514,27,False,False,1,2,0.036,0.007
emass_max,dkl,1,18,1CoNaP2S6-1,0.2520712440650298,ei,0.8263398344110514,28,False,False,1,2,0.149,0.007
emass_max,dkl,1,19,1ClO2V2Br3-1,0.018693100969462,ei,0.8263398344110514,29,False,False,1,2,0.147,0.005
