task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
emass_min,dkl,20,1,1TeTa3Cl7-1,0.41951471746235924,ei,-0.45123786161609686,11,False,False,0,0,0.142,0.007
emass_min,dkl,20,2,1ZrHf3Te8-1,-0.3533851791561664,ei,-0.45123786161609686,12,False,False,0,0,0.144,0.007
emass_min,dkl,20,3,1CrMo3Te8-1,-0.127090927229423,ei,-0.45123786161609686,13,False,False,0,0,0.143,0.006
emass_min,dkl,20,4,2TiZrTe4-1,-0.2087682973001467,ei,-0.45123786161609686,14,False,False,0,0,0.142,0.007
emass_min,dkl,20,5,2TeZr-4,-0.45916622250336064,ei,-0.45916622250336064,15,False,False,0,0,0.145,0.007
emass_min,dkl,20,6,1STeZr-2,0.015685403122777018,ei,-0.45916622250336064,16,False,False,0,0,0.144,0.007
emass_min,dkl,20,7,1HfSTe-2,-0.20481898635640788,ei,-0.45916622250336064,17,False,False,0,0,0.144,0.005
emass_min,dkl,20,8,1ClO2V2Br3-1,0.018693100969462,ei,-0.45916622250336064,18,False,False,0,0,0.146,0.007
emass_min,dkl,20,9,1NiPdS4-1,-0.1469667192539161,ei,-0.45916622250336064,19,False,False,0,0,0.158,0.007
emass_min,dkl,20,10,2TeTi-4,-0.2536271096411832,ei,-0.45916622250336064,20,False,False,0,0,0.146,0.007
emass_min,dkl,20,11,1WS2-1,-0.42775333307093466,ei,-0.45916622250336064,21,False,False,0,0,0.146,0.005
emass_min,dkl,20,12,2RhBr3-2,0.7554909058407581,ei,-0.45916622250336064,22,False,False,0,0,0.148,0.007
emass_min,dkl,20,13,1MoW3S8-1,-0.38745797922282094,ei,-0.45916622250336064,23,False,False,0,0,0.147,0.006
emass_min,dkl,20,14,1STeTi-2,0.23521199612824828,ei,-0.45916622250336064,24,False,False,0,0,0.146,0.007
emass_min,dkl,20,15,1OVCl2-1,0.07379804976945648,ei,-0.45916622250336064,25,False,False,0,0,0.145,0.005
emass_min,dkl,20,16,2HfZrTe4-1,-0.3279329803081179,ei,-0.45916622250336064,26,False,False,0,0,0.148,0.006
emass_min,dkl,20,17,2SV-4,0.5413014340086227,ei,-0.45916622250336064,27,False,False,0,0,0.148,0.007
emass_min,dkl,20,18,1HfTi3Te8-1,-0.309950797699777,ei,-0.45916622250336064,28,False,False,0,0,0.147,0.007
emass_min,dkl,20,19,2IrSe-3,-0.1856851767636648,ei,-0.45916622250336064,29,False,False,0,0,0.147,0.005
emass_min,dkl,20,20,2OPb-1,-0.15065678777908353,ei,-0.45916622250336064,30,False,False,0,0,0.147,0.007
emass_min,dkl,20,21,2CrWTe4-1,-0.11612527613081737,ei,-0.45916622250336064,31,False,False,0,0,0.148,0.006
emass_min,dkl,20,22,2As2O3-4,-0.6370031104703401,ei,-0.6370031104703401,32,True,True,1,1,0.148,0.006
emass_min,dkl,20,23,2FIrSe-1,-0.15631497026729144,ei,-0.6370031104703401,33,False,False,1,1,0.15,0.005
