task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
emass_min,std_gp,15,1,1GaInS2-1,-0.6090359305397179,ei,-1.001586154938912,11,False,True,0,1,0.304,0.021
emass_min,std_gp,15,2,4HgSe-1,-0.862497350352922,ei,-1.001586154938912,12,True,True,1,2,0.411,0.019
emass_min,std_gp,15,3,2AuSe-1,-0.15291198534774436,ei,-1.001586154938912,13,False,False,1,2,0.482,0.057
emass_min,std_gp,15,4,2BrTl-3,0.052732139866763915,ei,-1.001586154938912,14,False,False,1,2,0.331,0.029
emass_min,std_gp,15,5,1PbSe-1,-0.3895030205005822,ei,-1.001586154938912,15,False,False,1,2,0.368,0.029
emass_min,std_gp,15,6,2AgS-1,-0.00618822787921137,ei,-1.001586154938912,16,False,False,1,2,0.421,0.011
emass_min,std_gp,15,7,1HgSe-1,-1.4980987198169657,ei,-1.4980987198169657,17,True,True,2,3,0.408,0.014
emass_min,std_gp,15,8,1BiISe-2,0.3772240947963489,ei,-1.4980987198169657,18,False,False,2,3,0.314,0.025
emass_min,std_gp,15,9,1PtSeTe-1,0.028261317232115668,ei,-1.4980987198169657,19,False,False,2,3,0.442,0.028
emass_min,std_gp,15,10,1AgAlP2Te6-1,-0.15243378489797785,ei,-1.4980987198169657,20,False,False,2,3,0.409,0.019
emass_min,std_gp,15,11,2InS-1,-0.5920094598608705,ei,-1.4980987198169657,21,False,True,2,4,0.49,0.016
emass_min,std_gp,15,12,1AgInP2Se6-1,-0.1753496893009298,ei,-1.4980987198169657,22,False,False,2,4,0.497,0.019
emass_min,std_gp,15,13,1CdGaInS4-1,-0.7392100189753471,ei,-1.4980987198169657,23,True,True,3,5,0.437,0.015
emass_min,std_gp,15,14,1AgAlP2S6-1,-0.41086270209839765,ei,-1.4980987198169657,24,False,False,3,5,0.465,0.019
emass_min,std_gp,15,15,2SeTl-2,-0.7393077325483712,ei,-1.4980987198169657,25,True,True,4,6,0.361,0.01
emass_min,std_gp,15,16,1GeO-1,-0.19739557852878895,ei,-1.4980987198169657,26,False,False,4,6,0.348,0.015
emass_min,std_gp,15,17,4SSn-1,-0.6936642729349772,ei,-1.4980987198169657,27,True,True,5,7,0.348,0.009
