task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,dkl,2,1,2BrCaH-1,5.5311854491140044,ei,5.5311854491140044,11,True,True,1,1,0.138,0.007
gap_max,dkl,2,2,2BaClH-1,4.822970555720868,ei,5.5311854491140044,12,False,False,1,1,0.138,0.006
gap_max,dkl,2,3,2CaClH-1,5.233449755490089,ei,5.5311854491140044,13,False,True,1,2,0.137,0.006
gap_max,dkl,2,4,2CaFI-1,5.208879312061292,ei,5.5311854491140044,14,False,True,1,3,0.14,0.006
gap_max,dkl,2,5,1CaCl2-2,6.384168509690626,ei,6.384168509690626,15,True,True,2,4,0.142,0.006
gap_max,dkl,2,6,1CaBr2-2,5.51455210742706,ei,6.384168509690626,16,True,True,3,5,0.142,0.007
gap_max,dkl,2,7,1HfZnF6-1,8.572742466226543,ei,8.572742466226543,17,True,True,4,6,0.141,0.005
gap_max,dkl,2,8,1NiZrF6-1,6.163583641822975,ei,8.572742466226543,18,True,True,5,7,0.144,0.007
gap_max,dkl,2,9,1HfPdF6-1,3.9589511625823297,ei,8.572742466226543,19,False,False,5,7,0.144,0.007
gap_max,dkl,2,10,1BaCl2-2,6.098517424967267,ei,8.572742466226543,20,True,True,6,8,0.141,0.007
gap_max,dkl,2,11,2KNbF6-1,8.17697667577005,ei,8.572742466226543,21,True,True,7,9,0.143,0.005
gap_max,dkl,2,12,1STa3F7-1,1.7987013928879922,ei,8.572742466226543,22,False,False,7,9,0.143,0.007
gap_max,dkl,2,13,2KTaF6-1,8.68143673805662,ei,8.68143673805662,23,True,True,8,10,0.142,0.006
gap_max,dkl,2,14,2CaClF-1,7.586685082888464,ei,8.68143673805662,24,True,True,9,11,0.143,0.006
gap_max,dkl,2,15,1BaI2-2,4.273588336806361,ei,8.68143673805662,25,False,False,9,11,0.142,0.005
gap_max,dkl,2,16,2CsF-1,6.0586074735185305,ei,8.68143673805662,26,True,True,10,12,0.142,0.007
gap_max,dkl,2,17,2ClFSr-1,7.351129491723217,ei,8.68143673805662,27,True,True,11,13,0.144,0.007
gap_max,dkl,2,18,2FNaO-1,5.377216660211552,ei,8.68143673805662,28,True,True,12,14,0.144,0.006
gap_max,dkl,2,19,2BrK-1,5.4696213452375275,ei,8.68143673805662,29,True,True,13,15,0.145,0.005
gap_max,dkl,2,20,1Mg3O5-1,2.3282314288853705,ei,8.68143673805662,30,False,False,13,15,0.147,0.007
gap_max,dkl,2,21,2FK-1,7.021843569419415,ei,8.68143673805662,31,True,True,14,16,0.146,0.007
gap_max,dkl,2,22,2BrCs-2,5.145467471447715,ei,8.68143673805662,32,False,True,14,17,0.147,0.007
gap_max,dkl,2,23,2IRb-1,4.612563320157292,ei,8.68143673805662,33,False,False,14,17,0.146,0.005
gap_max,dkl,2,24,2ClCs-1,5.654182203452806,ei,8.68143673805662,34,True,True,15,18,0.148,0.006
gap_max,dkl,2,25,2HSeLi3O4-1,5.85623893684774,ei,8.68143673805662,35,True,True,16,19,0.147,0.007
gap_max,dkl,2,26,2KNO3-1,5.260665088156969,ei,8.68143673805662,36,False,True,16,20,0.148,0.006
gap_max,dkl,2,27,2BrRb-2,5.268172177145077,ei,8.68143673805662,37,False,True,16,21,0.148,0.005
gap_max,dkl,2,28,2HSeNa3O4-1,5.630699246770568,ei,8.68143673805662,38,True,True,17,22,0.149,0.007
