task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,random,18,1,1CrS2-1,1.3507827301479436,random,1.8772431361735278,11,False,False,0,0,0.0,0.0
gap_max,random,18,2,4BrCd-1,1.7708280847682307,random,1.8772431361735278,12,False,False,0,0,0.0,0.0
gap_max,random,18,3,1BaBrCl-1,6.257067660276618,random,6.257067660276618,13,True,True,1,1,0.0,0.0
gap_max,random,18,4,2AuS-1,2.010075119298491,random,6.257067660276618,14,False,False,1,1,0.0,0.0
gap_max,random,18,5,2FISr-1,5.170777689308794,random,6.257067660276618,15,False,True,1,2,0.0,0.0
gap_max,random,18,6,1SSnO4-1,5.411005072901167,random,6.257067660276618,16,True,True,2,3,0.0,0.0
gap_max,random,18,7,1BiIS-2,1.1782377123254222,random,6.257067660276618,17,False,False,2,3,0.0,0.0
gap_max,random,18,8,1ONb3Br7-1,1.441231985649396,random,6.257067660276618,18,False,False,2,3,0.0,0.0
gap_max,random,18,9,1PbBr2-2,3.2478686587403254,random,6.257067660276618,19,False,False,2,3,0.0,0.0
gap_max,random,18,10,2BrIrS-2,2.0653479618219506,random,6.257067660276618,20,False,False,2,3,0.0,0.0
gap_max,random,18,11,2TeV-4,0.773788980486078,random,6.257067660276618,21,False,False,2,3,0.0,0.0
gap_max,random,18,12,1IO2V2Br3-1,1.8571923157448993,random,6.257067660276618,22,False,False,2,3,0.0,0.0
gap_max,random,18,13,1HfI2-1,1.0219868950032727,random,6.257067660276618,23,False,False,2,3,0.0,0.0
gap_max,random,18,14,2FNaO-1,5.377216660211552,random,6.257067660276618,24,True,True,3,4,0.0,0.0
gap_max,random,18,15,1ZrS2-2,2.0227028863463703,random,6.257067660276618,25,False,False,3,4,0.0,0.0
gap_max,random,18,16,4AsPdTe-1,0.9672526925928375,random,6.257067660276618,26,False,False,3,4,0.0,0.0
gap_max,random,18,17,2HfZrTe4-1,0.716562836250253,random,6.257067660276618,27,False,False,3,4,0.0,0.0
gap_max,random,18,18,1AsISe-1,1.6849279007105276,random,6.257067660276618,28,False,False,3,4,0.0,0.0
gap_max,random,18,19,1FeHfBr6-1,3.3954886422420483,random,6.257067660276618,29,False,False,3,4,0.0,0.0
gap_max,random,18,20,2RhSe-3,0.3374408042430755,random,6.257067660276618,30,False,False,3,4,0.0,0.0
gap_max,random,18,21,2MoWS4-1,2.0615147475903943,random,6.257067660276618,31,False,False,3,4,0.0,0.0
gap_max,random,18,22,1TeNb3Br7-1,1.4364570546624522,random,6.257067660276618,32,False,False,3,4,0.0,0.0
gap_max,random,18,23,1GeO-1,2.810861153482204,random,6.257067660276618,33,False,False,3,4,0.0,0.0
gap_max,random,18,24,2CCsO3-1,2.6641390646986287,random,6.257067660276618,34,False,False,3,4,0.0,0.0
gap_max,random,18,25,2ClRhSe-1,2.270563343416535,random,6.257067660276618,35,False,False,3,4,0.0,0.0
gap_max,random,18,26,2CaClH-1,5.233449755490089,random,6.257067660276618,36,False,True,3,5,0.0,0.0
