task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,std_gp,0,1,4AsLiO2-1,5.35117415365123,ei,5.635495958121257,11,True,True,1,1,0.164,0.008
gap_max,std_gp,0,2,4NaSbO2-1,4.746921375691008,ei,5.635495958121257,12,False,False,1,1,0.16,0.008
gap_max,std_gp,0,3,4LiSbO2-1,4.431806733853256,ei,5.635495958121257,13,False,False,1,1,0.162,0.007
gap_max,std_gp,0,4,2HSeNa3O4-1,5.630699246770568,ei,5.635495958121257,14,True,True,2,2,0.162,0.008
gap_max,std_gp,0,5,2HSNa3O4-1,5.084425041934689,ei,5.635495958121257,15,False,True,2,3,0.163,0.008
gap_max,std_gp,0,6,2KNO3-1,5.260665088156969,ei,5.635495958121257,16,False,True,2,4,0.163,0.008
gap_max,std_gp,0,7,2BrCaF-1,6.384806224215836,ei,6.384806224215836,17,True,True,3,5,0.163,0.006
gap_max,std_gp,0,8,2CaClF-1,7.586685082888464,ei,7.586685082888464,18,True,True,4,6,0.163,0.008
gap_max,std_gp,0,9,2FK-1,7.021843569419415,ei,7.586685082888464,19,True,True,5,7,0.164,0.008
gap_max,std_gp,0,10,2ClK-2,6.135935277588135,ei,7.586685082888464,20,True,True,6,8,0.164,0.008
gap_max,std_gp,0,11,2KNbF6-1,8.17697667577005,ei,8.17697667577005,21,True,True,7,9,0.165,0.006
gap_max,std_gp,0,12,2KTaF6-1,8.68143673805662,ei,8.68143673805662,22,True,True,8,10,0.165,0.008
gap_max,std_gp,0,13,2BaClF-1,6.968702552735938,ei,8.68143673805662,23,True,True,9,11,0.165,0.008
gap_max,std_gp,0,14,2CsNORuF5-1,3.1379296454069974,ei,8.68143673805662,24,False,False,9,11,0.165,0.008
gap_max,std_gp,0,15,1ScH2-1,0.5494590302526128,ei,8.68143673805662,25,False,False,9,11,0.165,0.006
gap_max,std_gp,0,16,1HfZnF6-1,8.572742466226543,ei,8.68143673805662,26,True,True,10,12,0.17,0.008
gap_max,std_gp,0,17,1TiF2-1,2.0961952531252583,ei,8.68143673805662,27,False,False,10,12,0.166,0.009
gap_max,std_gp,0,18,1HfO2-3,3.725815645985811,ei,8.68143673805662,28,False,False,10,12,0.168,0.009
gap_max,std_gp,0,19,1BaI2-2,4.273588336806361,ei,8.68143673805662,29,False,False,10,12,0.168,0.006
gap_max,std_gp,0,20,2CKOOsF5-1,1.8306725375086703,ei,8.68143673805662,30,False,False,10,12,0.168,0.008
gap_max,std_gp,0,21,2PtF3-1,2.703203660012716,ei,8.68143673805662,31,False,False,10,12,0.169,0.009
gap_max,std_gp,0,22,2HKTe-1,3.4002637298102867,ei,8.68143673805662,32,False,False,10,12,0.169,0.009
gap_max,std_gp,0,23,1OVF2-1,3.3109048274751873,ei,8.68143673805662,33,False,False,10,12,0.169,0.007
gap_max,std_gp,0,24,2ClFSr-1,7.351129491723217,ei,8.68143673805662,34,True,True,11,13,0.17,0.008
gap_max,std_gp,0,25,1RuCl2-3,0.9078805846875635,ei,8.68143673805662,35,False,False,11,13,0.17,0.008
gap_max,std_gp,0,26,1HfNiF6-1,6.181179018284299,ei,8.68143673805662,36,True,True,12,14,0.171,0.008
gap_max,std_gp,0,27,4LiPS2-1,2.2896558714310693,ei,8.68143673805662,37,False,False,12,14,0.17,0.006
gap_max,std_gp,0,28,1N2O2Y3-1,1.6475056437184374,ei,8.68143673805662,38,False,False,12,14,0.172,0.008
gap_max,std_gp,0,29,2CsNOsSCl5-1,1.5436984349079368,ei,8.68143673805662,39,False,False,12,14,0.173,0.009
gap_max,std_gp,0,30,1FeHfF6-1,4.9510316320674965,ei,8.68143673805662,40,False,True,12,15,0.173,0.009
gap_max,std_gp,0,31,2CsF-1,6.0586074735185305,ei,8.68143673805662,41,True,True,13,16,0.174,0.007
gap_max,std_gp,0,32,2WO3-1,2.8653266559976407,ei,8.68143673805662,42,False,False,13,16,0.173,0.008
gap_max,std_gp,0,33,2FNaO-1,5.377216660211552,ei,8.68143673805662,43,True,True,14,17,0.173,0.008
gap_max,std_gp,0,34,1BSb-1,0.5513885378099415,ei,8.68143673805662,44,False,False,14,17,0.176,0.009
gap_max,std_gp,0,35,2IRb-1,4.612563320157292,ei,8.68143673805662,45,False,False,14,17,0.176,0.008
gap_max,std_gp,0,36,1Mg3O5-1,2.3282314288853705,ei,8.68143673805662,46,False,False,14,17,0.175,0.009
gap_max,std_gp,0,37,2As2O3-4,5.104789170770303,ei,8.68143673805662,47,False,True,14,18,0.177,0.009
gap_max,std_gp,0,38,2PVO5-1,4.03175738821707,ei,8.68143673805662,48,False,False,14,18,0.177,0.009
gap_max,std_gp,0,39,2OPb-1,3.4630942477284368,ei,8.68143673805662,49,False,False,14,18,0.178,0.007
