task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_min,dkl,23,1,1CrS2-1,1.3507827301479436,ei,0.3374408042430755,11,False,False,0,0,0.505,0.015
gap_min,dkl,23,2,2TeZr-4,0.6518804585753579,ei,0.3374408042430755,12,True,True,1,1,0.529,0.015
gap_min,dkl,23,3,2IrS-3,0.7127550601862147,ei,0.3374408042430755,13,False,True,1,2,0.757,0.03
gap_min,dkl,23,4,1VSe2-1,0.9774962167908336,ei,0.3374408042430755,14,False,False,1,2,0.643,0.026
gap_min,dkl,23,5,2TeTi-4,0.4396623716535012,ei,0.3374408042430755,15,True,True,2,3,0.581,0.03
gap_min,dkl,23,6,2MoWTe4-1,1.27869337420857,ei,0.3374408042430755,16,False,False,2,3,0.586,0.022
gap_min,dkl,23,7,1MnNbSe4-1,0.5984830793243584,ei,0.3374408042430755,17,True,True,3,4,0.474,0.016
gap_min,dkl,23,8,1NiPd3Se8-1,0.7018304824077519,ei,0.3374408042430755,18,False,True,3,5,0.527,0.02
gap_min,dkl,23,9,2TeTl-2,0.6814480253702913,ei,0.3374408042430755,19,False,True,3,6,0.47,0.012
gap_min,dkl,23,10,2AuBr-2,1.222277762293436,ei,0.3374408042430755,20,False,False,3,6,0.495,0.022
gap_min,dkl,23,11,2OsO2-1,1.0046225066191854,ei,0.3374408042430755,21,False,False,3,6,0.477,0.012
gap_min,dkl,23,12,1BiITe-2,0.9951437994545715,ei,0.3374408042430755,22,False,False,3,6,0.477,0.021
gap_min,dkl,23,13,2ITl-3,2.7615155660006354,ei,0.3374408042430755,23,False,False,3,6,0.628,0.028
gap_min,dkl,23,14,1MoCu2Te4-1,1.229958084735783,ei,0.3374408042430755,24,False,False,3,6,0.548,0.033
gap_min,dkl,23,15,2FLiO-1,5.494371611374226,ei,0.3374408042430755,25,False,False,3,6,0.665,0.02
gap_min,dkl,23,16,2FeSe2-1,1.0534182339230824,ei,0.3374408042430755,26,False,False,3,6,0.595,0.018
gap_min,dkl,23,17,2PbTe-3,0.3851114075572808,ei,0.3374408042430755,27,True,True,4,7,0.518,0.022
gap_min,dkl,23,18,2IIrTe-2,1.6712175117969268,ei,0.3374408042430755,28,False,False,4,7,0.612,0.019
gap_min,dkl,23,19,1HgTe-1,0.27880058863410584,ei,0.27880058863410584,29,True,True,5,8,0.665,0.023
gap_min,dkl,23,20,2SeTl-2,0.8911210271784331,ei,0.27880058863410584,30,False,False,5,8,0.499,0.019
gap_min,dkl,23,21,1OTeW-1,1.2088749031457118,ei,0.27880058863410584,31,False,False,5,8,0.6,0.016
gap_min,dkl,23,22,2IMnSbSe2-2,0.7007991490368339,ei,0.27880058863410584,32,False,True,5,9,0.543,0.017
gap_min,dkl,23,23,4PPdSe-1,1.9628098912174876,ei,0.27880058863410584,33,False,False,5,9,0.587,0.023
gap_min,dkl,23,24,1SnI2-2,2.5044769419217303,ei,0.27880058863410584,34,False,False,5,9,0.498,0.016
gap_min,dkl,23,25,4HgTe-1,0.8990030425799269,ei,0.27880058863410584,35,False,False,5,9,0.464,0.018
gap_min,dkl,23,26,2OsS2-1,1.386851546785019,ei,0.27880058863410584,36,False,False,5,9,0.553,0.021
gap_min,dkl,23,27,2PbTe-1,0.8778946428416765,ei,0.27880058863410584,37,False,False,5,9,0.413,0.014
gap_min,dkl,23,28,2CrNbTe5-1,0.028550500384955324,ei,0.028550500384955324,38,True,True,6,10,0.472,0.018
gap_min,dkl,23,29,2IrNbTe4-1,0.03254041204111924,ei,0.028550500384955324,39,True,True,7,11,0.531,0.039
gap_min,dkl,23,30,2IrSe-3,0.8218220966864944,ei,0.028550500384955324,40,False,False,7,11,0.766,0.014
gap_min,dkl,23,31,2IrTaTe4-1,0.11942626360145892,ei,0.028550500384955324,41,True,True,8,12,0.497,0.015
gap_min,dkl,23,32,4OPb-1,3.730795456774873,ei,0.028550500384955324,42,False,False,8,12,0.455,0.015
gap_min,dkl,23,33,2AuI-3,1.5915963578351833,ei,0.028550500384955324,43,False,False,8,12,0.526,0.015
gap_min,dkl,23,34,1STeW-2,0.20493593061293341,ei,0.028550500384955324,44,True,True,9,13,0.479,0.011
gap_min,dkl,23,35,1MoSTe-2,0.23304265126740126,ei,0.028550500384955324,45,True,True,10,14,0.608,0.025
gap_min,dkl,23,36,2MoSe2-1,0.10810643439738388,ei,0.028550500384955324,46,True,True,11,15,0.522,0.014
gap_min,dkl,23,37,1CrSTe-1,0.8204247246130523,ei,0.028550500384955324,47,False,False,11,15,0.535,0.018
gap_min,dkl,23,38,2HfTiTe4-1,0.6924170866692316,ei,0.028550500384955324,48,False,True,11,16,0.595,0.027
gap_min,dkl,23,39,1TeTa3I7-1,1.2234316694925294,ei,0.028550500384955324,49,False,False,11,16,0.703,0.025
gap_min,dkl,23,40,2WSe2-1,0.11766957125874766,ei,0.028550500384955324,50,True,True,12,17,0.62,0.021
gap_min,dkl,23,41,1ZrTi3Te8-1,0.7224235271535047,ei,0.028550500384955324,51,False,True,12,18,0.715,0.016
gap_min,dkl,23,42,1MoSSe-1,1.9489241378101805,ei,0.028550500384955324,52,False,False,12,18,0.628,0.02
gap_min,dkl,23,43,1CrTe2-2,0.8687082803736172,ei,0.028550500384955324,53,False,False,12,18,0.66,0.012
gap_min,dkl,23,44,1HfTe2-2,0.6648010372491499,ei,0.028550500384955324,54,True,True,13,19,0.689,0.026
gap_min,dkl,23,45,1TiHf3Te8-1,0.6879465094159356,ei,0.028550500384955324,55,False,True,13,20,0.456,0.02
gap_min,dkl,23,46,2TiZrTe4-1,0.7439839246275826,ei,0.028550500384955324,56,False,True,13,21,0.384,0.016
gap_min,dkl,23,47,1HfTi3Te8-1,0.7235082084824541,ei,0.028550500384955324,57,False,True,13,22,0.431,0.01
gap_min,dkl,23,48,1ZrHf3Te8-1,0.6895972346209,ei,0.028550500384955324,58,False,True,13,23,0.349,0.022
gap_min,dkl,23,49,2HfZrTe4-1,0.716562836250253,ei,0.028550500384955324,59,False,True,13,24,0.589,0.017
gap_min,dkl,23,50,4TiSe2-1,0.036175637623812484,ei,0.028550500384955324,60,True,True,14,25,0.453,0.013
gap_min,dkl,23,51,2SeZr-4,0.3552162387836053,ei,0.028550500384955324,61,True,True,15,26,0.702,0.025
gap_min,dkl,23,52,1ZrSe2-2,1.6844706730301109,ei,0.028550500384955324,62,False,False,15,26,0.682,0.023
gap_min,dkl,23,53,1GeSe-1,2.9145192404726146,ei,0.028550500384955324,63,False,False,15,26,0.555,0.021
gap_min,dkl,23,54,2AgI-2,2.921885453642047,ei,0.028550500384955324,64,False,False,15,26,0.827,0.01
gap_min,dkl,23,55,2STl-2,1.159331694068046,ei,0.028550500384955324,65,False,False,15,26,0.617,0.013
gap_min,dkl,23,56,1TiZr3Te8-1,0.7926364244380578,ei,0.028550500384955324,66,False,False,15,26,0.52,0.015
gap_min,dkl,23,57,2OsSe2-1,1.389307349052195,ei,0.028550500384955324,67,False,False,15,26,0.474,0.012
gap_min,dkl,23,58,1MoCr3Te8-1,0.8929783349262663,ei,0.028550500384955324,68,False,False,15,26,0.424,0.014
gap_min,dkl,23,59,1MoOTe-1,0.8674286714238908,ei,0.028550500384955324,69,False,False,15,26,0.591,0.011
gap_min,dkl,23,60,1HfZr3Te8-1,0.7658349537109039,ei,0.028550500384955324,70,False,True,15,27,0.794,0.012
gap_min,dkl,23,61,1MoSTe-1,1.5852268171829027,ei,0.028550500384955324,71,False,False,15,27,0.559,0.012
gap_min,dkl,23,62,2FeTe2-1,0.5814230290982219,ei,0.028550500384955324,72,True,True,16,28,0.641,0.012
gap_min,dkl,23,63,4LiSbO2-1,4.431806733853256,ei,0.028550500384955324,73,False,False,16,28,0.682,0.011
gap_min,dkl,23,64,1C2O2Zr3-1,0.9605691403947096,ei,0.028550500384955324,74,False,False,16,28,0.573,0.009
gap_min,dkl,23,65,2BiIn-1,0.13783344806868847,ei,0.028550500384955324,75,True,True,17,29,0.47,0.018
gap_min,dkl,23,66,2OW-1,0.13172517772504205,ei,0.028550500384955324,76,True,True,18,30,0.392,0.009
gap_min,dkl,23,67,2SV-4,0.6417681651128815,ei,0.028550500384955324,77,True,True,19,31,0.557,0.009
gap_min,dkl,23,68,1HfI2-1,1.0219868950032727,ei,0.028550500384955324,78,False,False,19,31,0.487,0.025
gap_min,dkl,23,69,1SeBi2S2-1,0.9234566719720195,ei,0.028550500384955324,79,False,False,19,31,0.439,0.013
gap_min,dkl,23,70,1OVI2-1,1.8490498638702042,ei,0.028550500384955324,80,False,False,19,31,0.546,0.01
gap_min,dkl,23,71,1C2F2S2Zr3-1,0.025496467798554523,ei,0.025496467798554523,81,True,True,20,32,0.438,0.013
gap_min,dkl,23,72,1CSiH2-1,4.870741622325641,ei,0.025496467798554523,82,False,False,20,32,0.522,0.01
gap_min,dkl,23,73,2TeV-4,0.773788980486078,ei,0.025496467798554523,83,False,True,20,33,0.65,0.01
gap_min,dkl,23,74,2IRb-1,4.612563320157292,ei,0.025496467798554523,84,False,False,20,33,0.633,0.019
gap_min,dkl,23,75,2FIrSe-1,2.17161220650661,ei,0.025496467798554523,85,False,False,20,33,0.753,0.011
gap_min,dkl,23,76,1CoITe-1,0.9709057327877503,ei,0.025496467798554523,86,False,False,20,33,0.719,0.028
gap_min,dkl,23,77,1BrCuGeTe-1,1.5402245167158997,ei,0.025496467798554523,87,False,False,20,33,0.626,0.015
gap_min,dkl,23,78,1WO2-1,2.0968675991813504,ei,0.025496467798554523,88,False,False,20,33,0.81,0.029
gap_min,dkl,23,79,2AuCl-4,0.7768962385689107,ei,0.025496467798554523,89,False,True,20,34,0.699,0.022
gap_min,dkl,23,80,4AuI2-1,0.8802399537531622,ei,0.025496467798554523,90,False,False,20,34,0.349,0.021
gap_min,dkl,23,81,2AuO-1,0.8650500609296405,ei,0.025496467798554523,91,False,False,20,34,0.184,0.01
gap_min,dkl,23,82,2AgF-3,2.4754459300139935,ei,0.025496467798554523,92,False,False,20,34,0.24,0.01
gap_min,dkl,23,83,2BrK-1,5.4696213452375275,ei,0.025496467798554523,93,False,False,20,34,0.387,0.012
gap_min,dkl,23,84,1RuCl2-3,0.9078805846875635,ei,0.025496467798554523,94,False,False,20,34,0.507,0.024
gap_min,dkl,23,85,2MoS2-1,0.06948461062999045,ei,0.025496467798554523,95,True,True,21,35,0.752,0.013
gap_min,dkl,23,86,1SI2Pb2-1,1.5668861583106992,ei,0.025496467798554523,96,False,False,21,35,0.646,0.018
gap_min,dkl,23,87,3RuSCl2-1,1.130697515433051,ei,0.025496467798554523,97,False,False,21,35,0.574,0.01
gap_min,dkl,23,88,1TiCl2-1,1.39546825384936,ei,0.025496467798554523,98,False,False,21,35,0.511,0.011
gap_min,dkl,23,89,1BN-1,5.6754492898906905,ei,0.025496467798554523,99,False,False,21,35,0.679,0.025
gap_min,dkl,23,90,2ClCs-1,5.654182203452806,ei,0.025496467798554523,100,False,False,21,35,0.641,0.024
gap_min,dkl,23,91,2PdTeS3-1,1.8177466141329617,ei,0.025496467798554523,101,False,False,21,35,0.611,0.022
gap_min,dkl,23,92,2AgS-1,1.5571749165959718,ei,0.025496467798554523,102,False,False,21,35,0.6,0.009
gap_min,dkl,23,93,1BiITe-1,0.9287877152560153,ei,0.025496467798554523,103,False,False,21,35,0.747,0.016
gap_min,dkl,23,94,2AgIBr2-1,2.062597146787903,ei,0.025496467798554523,104,False,False,21,35,0.663,0.01
gap_min,dkl,23,95,1CrISe-1,1.5964753370326874,ei,0.025496467798554523,105,False,False,21,35,0.861,0.014
