task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
emass_max,dkl_finetune,5,1,2BiO-1,-1.1972858507497235,ei,0.5924642701433301,11,False,False,0,0,0.875,0.004
emass_max,dkl_finetune,5,2,2FISr-1,-0.47694797378120835,ei,0.5924642701433301,12,False,False,0,0,0.103,0.004
emass_max,dkl_finetune,5,3,2WO3-1,-0.4538138735592351,ei,0.5924642701433301,13,False,False,0,0,0.102,0.003
emass_max,dkl_finetune,5,4,1ScO2-2,0.48385237260669445,ei,0.5924642701433301,14,False,False,0,0,0.102,0.004
emass_max,dkl_finetune,5,5,2BiFHgO2-1,0.33146639281708107,ei,0.5924642701433301,15,False,False,0,0,0.102,0.003
emass_max,dkl_finetune,5,6,2BrCaF-1,-0.20195891153698833,ei,0.5924642701433301,16,False,False,0,0,0.883,0.004
emass_max,dkl_finetune,5,7,1InNbBr6-1,0.23012222828642043,ei,0.5924642701433301,17,False,False,0,0,0.104,0.004
emass_max,dkl_finetune,5,8,1FeI2-3,-0.15677320735908748,ei,0.5924642701433301,18,False,False,0,0,0.103,0.004
emass_max,dkl_finetune,5,9,2SeV-4,0.4993209912120297,ei,0.5924642701433301,19,False,False,0,0,0.104,0.004
emass_max,dkl_finetune,5,10,4TiSe2-1,-0.3849488082059993,ei,0.5924642701433301,20,False,False,0,0,0.103,0.004
emass_max,dkl_finetune,5,11,2FIrSe-1,-0.15631497026729144,ei,0.5924642701433301,21,False,False,0,0,0.901,0.004
emass_max,dkl_finetune,5,12,2ScTe-4,-0.0713521487205731,ei,0.5924642701433301,22,False,False,0,0,0.103,0.004
emass_max,dkl_finetune,5,13,2FIrS-2,-0.09581339532455951,ei,0.5924642701433301,23,False,False,0,0,0.103,0.004
emass_max,dkl_finetune,5,14,1CrMo3O8-1,-0.019021388250019658,ei,0.5924642701433301,24,False,False,0,0,0.103,0.004
emass_max,dkl_finetune,5,15,2IRb-1,-0.29268730996466225,ei,0.5924642701433301,25,False,False,0,0,0.104,0.004
emass_max,dkl_finetune,5,16,1PbSe2-1,-0.5432057784362052,ei,0.5924642701433301,26,False,False,0,0,0.893,0.004
emass_max,dkl_finetune,5,17,1AsBrSe-1,0.7488245165019219,ei,0.7488245165019219,27,False,True,0,1,0.103,0.004
emass_max,dkl_finetune,5,18,1BSb-1,-1.1475681928442927,ei,0.7488245165019219,28,False,False,0,1,0.103,0.004
emass_max,dkl_finetune,5,19,1AsISe-1,0.252811036245663,ei,0.7488245165019219,29,False,False,0,1,0.104,0.004
emass_max,dkl_finetune,5,20,1NiPd3Se8-1,-0.5062236863230603,ei,0.7488245165019219,30,False,False,0,1,0.103,0.004
emass_max,dkl_finetune,5,21,2AgI-2,-0.40354299677904454,ei,0.7488245165019219,31,False,False,0,1,0.83,0.004
emass_max,dkl_finetune,5,22,4IOSc-1,0.13135448178003858,ei,0.7488245165019219,32,False,False,0,1,0.104,0.004
emass_max,dkl_finetune,5,23,2FLiO-1,0.8219585588125764,ei,0.8219585588125764,33,True,True,1,2,0.104,0.004
emass_max,dkl_finetune,5,24,1CSiF2-1,-0.455441717519308,ei,0.8219585588125764,34,False,False,1,2,0.105,0.004
emass_max,dkl_finetune,5,25,2CsNORuF5-1,1.469401248730574,ei,1.469401248730574,35,True,True,2,3,0.104,0.004
emass_max,dkl_finetune,5,26,2FNaO-1,0.5116686506063168,ei,1.469401248730574,36,False,False,2,3,0.899,0.004
emass_max,dkl_finetune,5,27,2KNOsSF5-1,1.0503293010551207,ei,1.469401248730574,37,True,True,3,4,0.105,0.004
emass_max,dkl_finetune,5,28,2FK-1,-0.0652273659912134,ei,1.469401248730574,38,False,False,3,4,0.104,0.004
emass_max,dkl_finetune,5,29,2HKSe-1,-0.2686513629454925,ei,1.469401248730574,39,False,False,3,4,0.105,0.004
emass_max,dkl_finetune,5,30,2PtF3-1,0.5899139677220776,ei,1.469401248730574,40,False,False,3,4,0.105,0.004
emass_max,dkl_finetune,5,31,2FRb-1,-0.08741305909411526,ei,1.469401248730574,41,False,False,3,4,0.904,0.004
emass_max,dkl_finetune,5,32,2ITl-3,-0.02495590425313481,ei,1.469401248730574,42,False,False,3,4,0.104,0.004
emass_max,dkl_finetune,5,33,2HKTe-1,-0.31004250636566244,ei,1.469401248730574,43,False,False,3,4,0.104,0.004
emass_max,dkl_finetune,5,34,2IK-2,-0.28758642363792575,ei,1.469401248730574,44,False,False,3,4,0.104,0.004
emass_max,dkl_finetune,5,35,2CsNRuSF5-1,0.9987780092311872,ei,1.469401248730574,45,True,True,4,5,0.103,0.004
emass_max,dkl_finetune,5,36,1AuInF4-1,-0.06112008642012447,ei,1.469401248730574,46,False,False,4,5,0.908,0.004
emass_max,dkl_finetune,5,37,1TiF2-1,0.46311055562418596,ei,1.469401248730574,47,False,False,4,5,0.106,0.004
emass_max,dkl_finetune,5,38,2NORbRuF5-1,0.9961666387101221,ei,1.469401248730574,48,True,True,5,6,0.078,0.004
emass_max,dkl_finetune,5,39,1FeHfF6-1,1.5785318323712443,ei,1.5785318323712443,49,True,True,6,7,0.064,0.004
emass_max,dkl_finetune,5,40,2KTaF6-1,0.47629580186741144,ei,1.5785318323712443,50,False,False,6,7,0.105,0.004
emass_max,dkl_finetune,5,41,1STa3F7-1,1.214509577019463,ei,1.5785318323712443,51,True,True,7,8,0.912,0.004
