task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
emass_min,dkl_finetune,6,1,2PbTe-3,-0.24125399698067984,ei,-1.2199206038560078,11,False,False,0,0,0.88,0.004
emass_min,dkl_finetune,6,2,2BrCs-2,-0.22130234661019663,ei,-1.2199206038560078,12,False,False,0,0,0.103,0.004
emass_min,dkl_finetune,6,3,2AsTlO3-1,0.03417589546968422,ei,-1.2199206038560078,13,False,False,0,0,0.102,0.004
emass_min,dkl_finetune,6,4,1BN-1,-0.029849005105715837,ei,-1.2199206038560078,14,False,False,0,0,0.101,0.003
emass_min,dkl_finetune,6,5,2CsF-1,-0.07398847710200954,ei,-1.2199206038560078,15,False,False,0,0,0.103,0.004
emass_min,dkl_finetune,6,6,4HgTe-1,-0.9247380755731864,ei,-1.2199206038560078,16,True,True,1,1,0.884,0.004
emass_min,dkl_finetune,6,7,1HgS-1,-1.4116129842166991,ei,-1.4116129842166991,17,True,True,2,2,0.104,0.004
emass_min,dkl_finetune,6,8,2AgTe-2,-0.6656080171805979,ei,-1.4116129842166991,18,True,True,3,3,0.104,0.004
emass_min,dkl_finetune,6,9,1HgSe-1,-1.4980987198169657,ei,-1.4980987198169657,19,True,True,4,4,0.103,0.004
emass_min,dkl_finetune,6,10,2TeTl-2,-0.9715710305819002,ei,-1.4980987198169657,20,True,True,5,5,0.104,0.004
emass_min,dkl_finetune,6,11,4HgSe-1,-0.862497350352922,ei,-1.4980987198169657,21,True,True,6,6,0.893,0.004
emass_min,dkl_finetune,6,12,1BaI2-2,0.5970967021282029,ei,-1.4980987198169657,22,False,False,6,6,0.104,0.004
emass_min,dkl_finetune,6,13,1WCu2Te4-1,1.1925239141786843,ei,-1.4980987198169657,23,False,False,6,6,0.104,0.004
emass_min,dkl_finetune,6,14,1InSb-1,0.24765389021907783,ei,-1.4980987198169657,24,False,False,6,6,0.103,0.004
emass_min,dkl_finetune,6,15,1BaBrCl-1,0.6347221449020775,ei,-1.4980987198169657,25,False,False,6,6,0.104,0.004
emass_min,dkl_finetune,6,16,2STl-2,-0.6046492204560655,ei,-1.4980987198169657,26,False,True,6,7,0.894,0.004
emass_min,dkl_finetune,6,17,1InP-1,-1.0283333872469975,ei,-1.4980987198169657,27,True,True,7,8,0.105,0.004
emass_min,dkl_finetune,6,18,1BrISr-1,0.8970740201134415,ei,-1.4980987198169657,28,False,False,7,8,0.103,0.004
emass_min,dkl_finetune,6,19,1SnI2-2,-0.08270094098648746,ei,-1.4980987198169657,29,False,False,7,8,0.104,0.004
emass_min,dkl_finetune,6,20,2CuSe-4,-0.08923444915181791,ei,-1.4980987198169657,30,False,False,7,8,0.104,0.004
emass_min,dkl_finetune,6,21,2P2S3-3,0.12237020708813523,ei,-1.4980987198169657,31,False,False,7,8,0.898,0.004
emass_min,dkl_finetune,6,22,1SnTe-1,-0.4105074727073357,ei,-1.4980987198169657,32,False,False,7,8,0.089,0.004
emass_min,dkl_finetune,6,23,1PbSe2-1,-0.5432057784362052,ei,-1.4980987198169657,33,False,True,7,9,0.05,0.004
emass_min,dkl_finetune,6,24,1PbTe-1,-0.6220931604900736,ei,-1.4980987198169657,34,True,True,8,10,0.098,0.004
emass_min,dkl_finetune,6,25,2IIn-3,0.07098856430372681,ei,-1.4980987198169657,35,False,False,8,10,0.056,0.004
emass_min,dkl_finetune,6,26,1PbS2-1,-0.4378361889753067,ei,-1.4980987198169657,36,False,False,8,10,0.902,0.004
emass_min,dkl_finetune,6,27,1BiITe-1,0.3187370298556202,ei,-1.4980987198169657,37,False,False,8,10,0.104,0.004
emass_min,dkl_finetune,6,28,1HgO-1,0.24817381847226774,ei,-1.4980987198169657,38,False,False,8,10,0.104,0.004
