task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,dkl_finetune,5,1,1HfO2-3,3.725815645985811,ei,3.780711981073075,11,False,False,0,0,0.87,0.004
gap_max,dkl_finetune,5,2,2BaBrF-1,6.127944538887858,ei,6.127944538887858,12,True,True,1,1,0.1,0.003
gap_max,dkl_finetune,5,3,2BrFSr-1,6.269510738711807,ei,6.269510738711807,13,True,True,2,2,0.097,0.003
gap_max,dkl_finetune,5,4,1OZrBr2-1,2.245050461752524,ei,6.269510738711807,14,False,False,2,2,0.1,0.004
gap_max,dkl_finetune,5,5,1HfZnF6-1,8.572742466226543,ei,8.572742466226543,15,True,True,3,3,0.098,0.003
gap_max,dkl_finetune,5,6,1NiZrF6-1,6.163583641822975,ei,8.572742466226543,16,True,True,4,4,0.883,0.004
gap_max,dkl_finetune,5,7,1TiF2-1,2.0961952531252583,ei,8.572742466226543,17,False,False,4,4,0.104,0.004
gap_max,dkl_finetune,5,8,2FLiO-1,5.494371611374226,ei,8.572742466226543,18,True,True,5,5,0.102,0.004
gap_max,dkl_finetune,5,9,2CsF-1,6.0586074735185305,ei,8.572742466226543,19,True,True,6,6,0.104,0.004
gap_max,dkl_finetune,5,10,1CrO2-2,1.1440773459972675,ei,8.572742466226543,20,False,False,6,6,0.102,0.004
gap_max,dkl_finetune,5,11,1HfPdF6-1,3.9589511625823297,ei,8.572742466226543,21,False,False,6,6,0.898,0.004
gap_max,dkl_finetune,5,12,1FeHfF6-1,4.9510316320674965,ei,8.572742466226543,22,False,True,6,7,0.104,0.004
gap_max,dkl_finetune,5,13,2KTaF6-1,8.68143673805662,ei,8.68143673805662,23,True,True,7,8,0.104,0.004
gap_max,dkl_finetune,5,14,1HfNiF6-1,6.181179018284299,ei,8.68143673805662,24,True,True,8,9,0.104,0.004
gap_max,dkl_finetune,5,15,1OVF2-1,3.3109048274751873,ei,8.68143673805662,25,False,False,8,9,0.105,0.004
gap_max,dkl_finetune,5,16,2KNbF6-1,8.17697667577005,ei,8.68143673805662,26,True,True,9,10,0.894,0.004
gap_max,dkl_finetune,5,17,2FK-1,7.021843569419415,ei,8.68143673805662,27,True,True,10,11,0.103,0.004
gap_max,dkl_finetune,5,18,2KNOOsF5-1,2.8332467481676384,ei,8.68143673805662,28,False,False,10,11,0.103,0.004
gap_max,dkl_finetune,5,19,4AsLiO2-1,5.35117415365123,ei,8.68143673805662,29,True,True,11,12,0.103,0.004
gap_max,dkl_finetune,5,20,1BaBr2-2,5.327696974309628,ei,8.68143673805662,30,False,True,11,13,0.104,0.004
gap_max,dkl_finetune,5,21,2SbTlO3-1,4.173212698013478,ei,8.68143673805662,31,False,False,11,13,0.893,0.004
gap_max,dkl_finetune,5,22,1BN-1,5.6754492898906905,ei,8.68143673805662,32,True,True,12,14,0.105,0.004
gap_max,dkl_finetune,5,23,1MoO2-1,1.6514393423740092,ei,8.68143673805662,33,False,False,12,14,0.104,0.004
gap_max,dkl_finetune,5,24,2ORh-2,0.06155686589535181,ei,8.68143673805662,34,False,False,12,14,0.104,0.004
gap_max,dkl_finetune,5,25,1STa3F7-1,1.7987013928879922,ei,8.68143673805662,35,False,False,12,14,0.104,0.004
gap_max,dkl_finetune,5,26,2HSNa3O4-1,5.084425041934689,ei,8.68143673805662,36,False,True,12,15,0.896,0.004
gap_max,dkl_finetune,5,27,2CoFO2-1,2.473459086782842,ei,8.68143673805662,37,False,False,12,15,0.105,0.004
gap_max,dkl_finetune,5,28,2HSeLi3O4-1,5.85623893684774,ei,8.68143673805662,38,True,True,13,16,0.104,0.004
gap_max,dkl_finetune,5,29,2FNaO-1,5.377216660211552,ei,8.68143673805662,39,True,True,14,17,0.104,0.004
gap_max,dkl_finetune,5,30,4AsNaO2-1,5.635495958121257,ei,8.68143673805662,40,True,True,15,18,0.105,0.004
gap_max,dkl_finetune,5,31,2RuO2-1,0.6932405137718671,ei,8.68143673805662,41,False,False,15,18,0.901,0.004
gap_max,dkl_finetune,5,32,2CoHO2-1,2.5963145090799253,ei,8.68143673805662,42,False,False,15,18,0.106,0.004
gap_max,dkl_finetune,5,33,1AgScP2S6-1,3.453451687883375,ei,8.68143673805662,43,False,False,15,18,0.105,0.004
gap_max,dkl_finetune,5,34,2GaHSO4-1,5.938315299581159,ei,8.68143673805662,44,True,True,16,19,0.104,0.004
gap_max,dkl_finetune,5,35,2HLiO-1,5.6121973418083115,ei,8.68143673805662,45,True,True,17,20,0.106,0.004
gap_max,dkl_finetune,5,36,1CSiH2-1,4.870741622325641,ei,8.68143673805662,46,False,False,17,20,0.916,0.004
gap_max,dkl_finetune,5,37,1ScH2-1,0.5494590302526128,ei,8.68143673805662,47,False,False,17,20,0.106,0.004
gap_max,dkl_finetune,5,38,2CsNOsSF5-1,2.5250863456840076,ei,8.68143673805662,48,False,False,17,20,0.106,0.004
gap_max,dkl_finetune,5,39,2PVO5-1,4.03175738821707,ei,8.68143673805662,49,False,False,17,20,0.105,0.004
gap_max,dkl_finetune,5,40,1CrS2-1,1.3507827301479436,ei,8.68143673805662,50,False,False,17,20,0.105,0.004
gap_max,dkl_finetune,5,41,2HInSO4-1,5.131645144129129,ei,8.68143673805662,51,False,True,17,21,0.912,0.004
gap_max,dkl_finetune,5,42,1N2O2Hf3-1,0.5080412165142487,ei,8.68143673805662,52,False,False,17,21,0.105,0.004
gap_max,dkl_finetune,5,43,2GaHSeO4-1,5.796265807518722,ei,8.68143673805662,53,True,True,18,22,0.104,0.004
gap_max,dkl_finetune,5,44,1PbS-1,2.593275297275394,ei,8.68143673805662,54,False,False,18,22,0.106,0.004
gap_max,dkl_finetune,5,45,2CoHS2-1,1.2044057363957463,ei,8.68143673805662,55,False,False,18,22,0.114,0.004
gap_max,dkl_finetune,5,46,1GaN-1,3.0896707238041126,ei,8.68143673805662,56,False,False,18,22,0.925,0.004
gap_max,dkl_finetune,5,47,1OPb-1,2.6384546971857423,ei,8.68143673805662,57,False,False,18,22,0.104,0.004
gap_max,dkl_finetune,5,48,1NiCl2N2H4C6-1,2.638021114185774,ei,8.68143673805662,58,False,False,18,22,0.077,0.004
gap_max,dkl_finetune,5,49,2HKO-2,4.88989500007596,ei,8.68143673805662,59,False,False,18,22,0.094,0.004
gap_max,dkl_finetune,5,50,2KNO3-1,5.260665088156969,ei,8.68143673805662,60,False,True,18,23,0.084,0.004
gap_max,dkl_finetune,5,51,2AlHSO4-1,6.800169884150914,ei,8.68143673805662,61,True,True,19,24,0.932,0.004
gap_max,dkl_finetune,5,52,2OsO2-1,1.0046225066191854,ei,8.68143673805662,62,False,False,19,24,0.117,0.005
gap_max,dkl_finetune,5,53,2AlHSeO4-1,6.063001669658007,ei,8.68143673805662,63,True,True,20,25,0.117,0.005
gap_max,dkl_finetune,5,54,1WO2-1,2.0968675991813504,ei,8.68143673805662,64,False,False,20,25,0.12,0.005
gap_max,dkl_finetune,5,55,4AgF2-2,1.6373186247040907,ei,8.68143673805662,65,False,False,20,25,0.109,0.004
gap_max,dkl_finetune,5,56,2GaO-1,2.471979283336589,ei,8.68143673805662,66,False,False,20,25,0.933,0.005
gap_max,dkl_finetune,5,57,1CSiF2-1,3.305738481232441,ei,8.68143673805662,67,False,False,20,25,0.121,0.005
gap_max,dkl_finetune,5,58,2CuF-2,0.47672381934064756,ei,8.68143673805662,68,False,False,20,25,0.124,0.004
gap_max,dkl_finetune,5,59,2GaHTeO4-1,5.307984474521612,ei,8.68143673805662,69,False,True,20,26,0.125,0.005
gap_max,dkl_finetune,5,60,2HNaO-1,4.458174478957227,ei,8.68143673805662,70,False,False,20,26,0.126,0.005
gap_max,dkl_finetune,5,61,2BrGa-1,3.270753997662524,ei,8.68143673805662,71,False,False,20,26,0.691,0.005
gap_max,dkl_finetune,5,62,2ClCsO3-1,6.615898979552831,ei,8.68143673805662,72,True,True,21,27,0.113,0.004
gap_max,dkl_finetune,5,63,2IK-2,4.784008898574658,ei,8.68143673805662,73,False,False,21,27,0.113,0.004
gap_max,dkl_finetune,5,64,2As2O3-4,5.104789170770303,ei,8.68143673805662,74,False,True,21,28,0.114,0.004
gap_max,dkl_finetune,5,65,1ScBr2-1,0.7566711317211567,ei,8.68143673805662,75,False,False,21,28,0.111,0.004
gap_max,dkl_finetune,5,66,2HNa3S5-1,3.3750605497426136,ei,8.68143673805662,76,False,False,21,28,0.994,0.004
gap_max,dkl_finetune,5,67,2ITl-3,2.7615155660006354,ei,8.68143673805662,77,False,False,21,28,0.117,0.004
gap_max,dkl_finetune,5,68,2BaClF-1,6.968702552735938,ei,8.68143673805662,78,True,True,22,29,0.114,0.004
gap_max,dkl_finetune,5,69,2AsTlO3-1,4.437809362625437,ei,8.68143673805662,79,False,False,22,29,0.114,0.004
gap_max,dkl_finetune,5,70,1BaI2-2,4.273588336806361,ei,8.68143673805662,80,False,False,22,29,0.115,0.004
gap_max,dkl_finetune,5,71,2ClFSr-1,7.351129491723217,ei,8.68143673805662,81,True,True,23,30,0.998,0.005
gap_max,dkl_finetune,5,72,2ClKO3-1,7.00366850108305,ei,8.68143673805662,82,True,True,24,31,0.123,0.005
gap_max,dkl_finetune,5,73,2ClCs-1,5.654182203452806,ei,8.68143673805662,83,True,True,25,32,0.126,0.004
gap_max,dkl_finetune,5,74,1AgCrP2Se6-1,1.788781534497054,ei,8.68143673805662,84,False,False,25,32,0.125,0.005
gap_max,dkl_finetune,5,75,2P2O3-2,5.3628804018511484,ei,8.68143673805662,85,True,True,26,33,0.117,0.004
gap_max,dkl_finetune,5,76,2GaS-1,3.1968982453053973,ei,8.68143673805662,86,False,False,26,33,0.743,0.004
gap_max,dkl_finetune,5,77,1SrCl2-2,6.202427264782143,ei,8.68143673805662,87,True,True,27,34,0.114,0.004
gap_max,dkl_finetune,5,78,1ZnCl2-3,4.71849101949681,ei,8.68143673805662,88,False,False,27,34,0.115,0.004
gap_max,dkl_finetune,5,79,1AlAs-1,2.028016480457723,ei,8.68143673805662,89,False,False,27,34,0.114,0.004
gap_max,dkl_finetune,5,80,2ClK-2,6.135935277588135,ei,8.68143673805662,90,True,True,28,35,0.069,0.004
gap_max,dkl_finetune,5,81,2BiO-1,1.0415505741889353,ei,8.68143673805662,91,False,False,28,35,1.001,0.004
gap_max,dkl_finetune,5,82,1AgCrP2Te6-1,1.1372195138849808,ei,8.68143673805662,92,False,False,28,35,0.114,0.004
gap_max,dkl_finetune,5,83,1CoLiP2S6-1,2.395201501582965,ei,8.68143673805662,93,False,False,28,35,0.115,0.004
gap_max,dkl_finetune,5,84,1AlN-1,4.04828874740673,ei,8.68143673805662,94,False,False,28,35,0.116,0.004
gap_max,dkl_finetune,5,85,1AgAlP2S6-1,3.1320799879793046,ei,8.68143673805662,95,False,False,28,35,0.115,0.004
gap_max,dkl_finetune,5,86,1HgTe-1,0.27880058863410584,ei,8.68143673805662,96,False,False,28,35,1.0,0.004
gap_max,dkl_finetune,5,87,2AlS-1,2.8805952527360215,ei,8.68143673805662,97,False,False,28,35,0.114,0.004
gap_max,dkl_finetune,5,88,2FISr-1,5.170777689308794,ei,8.68143673805662,98,False,True,28,36,0.118,0.004
gap_max,dkl_finetune,5,89,2AgSe-1,1.1786742925781897,ei,8.68143673805662,99,False,False,28,36,0.119,0.004
gap_max,dkl_finetune,5,90,2GaSe-1,2.5056893830580482,ei,8.68143673805662,100,False,False,28,36,0.111,0.004
gap_max,dkl_finetune,5,91,1AgAlP2Se6-1,2.3391806005332203,ei,8.68143673805662,101,False,False,28,36,1.023,0.004
gap_max,dkl_finetune,5,92,1AgCrP2S6-1,2.0120057332509953,ei,8.68143673805662,102,False,False,28,36,0.118,0.004
gap_max,dkl_finetune,5,93,1CoLiP2Se6-1,2.003765085054899,ei,8.68143673805662,103,False,False,28,36,0.117,0.004
gap_max,dkl_finetune,5,94,2AgCrP2S6-1,2.715331098741717,ei,8.68143673805662,104,False,False,28,36,0.117,0.004
gap_max,dkl_finetune,5,95,1AgInP2Se6-1,1.7071298338532443,ei,8.68143673805662,105,False,False,28,36,0.116,0.004
gap_max,dkl_finetune,5,96,2SSc-4,0.9813748660007645,ei,8.68143673805662,106,False,False,28,36,0.927,0.005
gap_max,dkl_finetune,5,97,1AlCdInS4-1,1.8772431361735278,ei,8.68143673805662,107,False,False,28,36,0.117,0.004
gap_max,dkl_finetune,5,98,2AlO-1,1.8491787800599426,ei,8.68143673805662,108,False,False,28,36,0.116,0.004
gap_max,dkl_finetune,5,99,2AlSe-1,2.7205808004028356,ei,8.68143673805662,109,False,False,28,36,0.116,0.004
gap_max,dkl_finetune,5,100,1SnCl2-2,3.537207003340947,ei,8.68143673805662,110,False,False,28,36,0.116,0.004
