window,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,cumul_in_window
visible_0p7_3p0,dkl_finetune,28,1,1Nb3Cl8-1,0.9119761913060551,window,4.344091830424737,11,False,False,0,0,1.053,0.004,True,1
visible_0p7_3p0,dkl_finetune,28,2,2INbO2-1,2.29497312387122,window,4.344091830424737,12,False,False,0,0,0.123,0.004,True,2
visible_0p7_3p0,dkl_finetune,28,3,1ONb3Cl7-1,1.5940492335372576,window,4.344091830424737,13,False,False,0,0,0.124,0.004,True,3
visible_0p7_3p0,dkl_finetune,28,4,2BrNbO2-1,3.4687266859580994,window,4.344091830424737,14,False,False,0,0,0.117,0.004,False,3
visible_0p7_3p0,dkl_finetune,28,5,1ZnBr2-3,3.4487712140629654,window,4.344091830424737,15,False,False,0,0,0.124,0.004,False,3
visible_0p7_3p0,dkl_finetune,28,6,2BrIrTe-2,1.8692112052126695,window,4.344091830424737,16,False,False,0,0,1.116,0.004,True,4
visible_0p7_3p0,dkl_finetune,28,7,4AsPtS-1,2.0613638503333185,window,4.344091830424737,17,False,False,0,0,0.118,0.004,True,5
visible_0p7_3p0,dkl_finetune,28,8,1ClSbTe-2,1.890637267538068,window,4.344091830424737,18,False,False,0,0,0.119,0.004,True,6
visible_0p7_3p0,dkl_finetune,28,9,1GaInTe2-1,1.531791264501281,window,4.344091830424737,19,False,False,0,0,0.116,0.004,True,7
visible_0p7_3p0,dkl_finetune,28,10,1HgBr2-4,2.458718900666394,window,4.344091830424737,20,False,False,0,0,0.123,0.005,True,8
visible_0p7_3p0,dkl_finetune,28,11,1AgCrP2Se6-1,1.788781534497054,window,4.344091830424737,21,False,False,0,0,1.036,0.004,True,9
visible_0p7_3p0,dkl_finetune,28,12,1AgCrP2Te6-1,1.1372195138849808,window,4.344091830424737,22,False,False,0,0,0.105,0.004,True,10
visible_0p7_3p0,dkl_finetune,28,13,1AgAlP2Se6-1,2.3391806005332203,window,4.344091830424737,23,False,False,0,0,0.118,0.004,True,11
visible_0p7_3p0,dkl_finetune,28,14,1SnBr2-2,3.2201061244933804,window,4.344091830424737,24,False,False,0,0,0.122,0.005,False,11
visible_0p7_3p0,dkl_finetune,28,15,1BiBrTe-2,1.1616007476813623,window,4.344091830424737,25,False,False,0,0,0.109,0.004,True,12
visible_0p7_3p0,dkl_finetune,28,16,1CoLiP2Se6-1,2.003765085054899,window,4.344091830424737,26,False,False,0,0,1.013,0.004,True,13
visible_0p7_3p0,dkl_finetune,28,17,1AgInP2Se6-1,1.7071298338532443,window,4.344091830424737,27,False,False,0,0,0.125,0.004,True,14
visible_0p7_3p0,dkl_finetune,28,18,1AgAlAs2Se6-1,1.5766849945499355,window,4.344091830424737,28,False,False,0,0,0.124,0.004,True,15
visible_0p7_3p0,dkl_finetune,28,19,1AgTlP2Se6-1,0.9013702160477939,window,4.344091830424737,29,False,False,0,0,0.118,0.004,True,16
visible_0p7_3p0,dkl_finetune,28,20,1AlISe-1,2.1861313349090983,window,4.344091830424737,30,False,False,0,0,0.108,0.004,True,17
visible_0p7_3p0,dkl_finetune,28,21,1PdZnP2Se6-1,0.795776308317634,window,4.344091830424737,31,False,False,0,0,0.962,0.005,True,18
visible_0p7_3p0,dkl_finetune,28,22,1CoNaP2Se6-1,1.7174907164231756,window,4.344091830424737,32,False,False,0,0,0.13,0.004,True,19
visible_0p7_3p0,dkl_finetune,28,23,1ScCl2-1,0.7357934650845026,window,4.344091830424737,33,False,False,0,0,0.127,0.004,True,20
visible_0p7_3p0,dkl_finetune,28,24,1AsB-1,1.1881552496653618,window,4.344091830424737,34,False,False,0,0,0.127,0.004,True,21
visible_0p7_3p0,dkl_finetune,28,25,2CsNOsSCl5-1,1.5436984349079368,window,4.344091830424737,35,False,False,0,0,0.13,0.005,True,22
visible_0p7_3p0,dkl_finetune,28,26,1CoLiAs2Se6-1,1.1750807641093295,window,4.344091830424737,36,False,False,0,0,0.863,0.004,True,23
visible_0p7_3p0,dkl_finetune,28,27,1AgGaP2Se6-1,1.6935745501713457,window,4.344091830424737,37,False,False,0,0,0.107,0.004,True,24
visible_0p7_3p0,dkl_finetune,28,28,1C2O2Hf3-1,0.9166960880314154,window,4.344091830424737,38,False,False,0,0,0.106,0.004,True,25
visible_0p7_3p0,dkl_finetune,28,29,3RuSCl2-1,1.130697515433051,window,4.344091830424737,39,False,False,0,0,0.11,0.004,True,26
visible_0p7_3p0,dkl_finetune,28,30,2FRhSe-1,2.223074154333951,window,4.344091830424737,40,False,False,0,0,0.109,0.004,True,27
visible_0p7_3p0,dkl_finetune,28,31,1AgScP2Se6-1,2.7754717110836995,window,4.344091830424737,41,False,False,0,0,0.906,0.004,True,28
visible_0p7_3p0,dkl_finetune,28,32,1AgAlP2Te6-1,1.0646870790154581,window,4.344091830424737,42,False,False,0,0,0.104,0.003,True,29
visible_0p7_3p0,dkl_finetune,28,33,1YCl2-1,0.9989980878981721,window,4.344091830424737,43,False,False,0,0,0.105,0.004,True,30
visible_0p7_3p0,dkl_finetune,28,34,1SSeW-1,1.9111655146654165,window,4.344091830424737,44,False,False,0,0,0.107,0.003,True,31
visible_0p7_3p0,dkl_finetune,28,35,1HfSSe-1,1.5119153394149498,window,4.344091830424737,45,False,False,0,0,0.107,0.003,True,32
visible_0p7_3p0,dkl_finetune,28,36,2RuS2-1,1.5833182530472873,window,4.344091830424737,46,False,False,0,0,0.923,0.004,True,33
visible_0p7_3p0,dkl_finetune,28,37,1CaCl2-2,6.384168509690626,window,6.384168509690626,47,True,True,1,1,0.106,0.004,False,33
visible_0p7_3p0,dkl_finetune,28,38,2AuS-1,2.010075119298491,window,6.384168509690626,48,False,False,1,1,0.109,0.004,True,34
visible_0p7_3p0,dkl_finetune,28,39,1BiBrSe-2,1.7416794044752069,window,6.384168509690626,49,False,False,1,1,0.106,0.004,True,35
visible_0p7_3p0,dkl_finetune,28,40,1BiBrSe-1,1.362729346708878,window,6.384168509690626,50,False,False,1,1,0.109,0.004,True,36
visible_0p7_3p0,dkl_finetune,28,41,2NORbRuF5-1,3.120392774020316,window,6.384168509690626,51,False,False,1,1,0.915,0.004,False,36
visible_0p7_3p0,dkl_finetune,28,42,1SSeSn-1,1.4755633594854767,window,6.384168509690626,52,False,False,1,1,0.104,0.004,True,37
visible_0p7_3p0,dkl_finetune,28,43,1BrClI2O2V2-1,2.5899098042627027,window,6.384168509690626,53,False,False,1,1,0.106,0.004,True,38
visible_0p7_3p0,dkl_finetune,28,44,1FeHfI6-1,2.7948742152896866,window,6.384168509690626,54,False,False,1,1,0.105,0.003,True,39
visible_0p7_3p0,dkl_finetune,28,45,2SNi2Se3-1,0.44012824127832584,window,6.384168509690626,55,False,False,1,1,0.108,0.004,False,39
visible_0p7_3p0,dkl_finetune,28,46,2CsNORuF5-1,3.1379296454069974,window,6.384168509690626,56,False,False,1,1,0.648,0.004,False,39
visible_0p7_3p0,dkl_finetune,28,47,2CoAs2I2O3-1,3.183083016245077,window,6.384168509690626,57,False,False,1,1,0.106,0.004,False,39
visible_0p7_3p0,dkl_finetune,28,48,1N2O2Hf3-1,0.5080412165142487,window,6.384168509690626,58,False,False,1,1,0.104,0.004,False,39
visible_0p7_3p0,dkl_finetune,28,49,2CsNRuSF5-1,2.5792404973102,window,6.384168509690626,59,False,False,1,1,0.102,0.003,True,40
visible_0p7_3p0,dkl_finetune,28,50,1BrIV-1,3.5003274875139754,window,6.384168509690626,60,False,False,1,1,0.051,0.003,False,40
visible_0p7_3p0,dkl_finetune,28,51,2NOsRbSCl5-1,1.4858434295678435,window,6.384168509690626,61,False,False,1,1,0.574,0.004,True,41
visible_0p7_3p0,dkl_finetune,28,52,2BiHgIO2-1,2.6594027870415053,window,6.384168509690626,62,False,False,1,1,0.05,0.004,True,42
visible_0p7_3p0,dkl_finetune,28,53,1GeCl2-2,3.8752455989734234,window,6.384168509690626,63,False,False,1,1,0.08,0.004,False,42
visible_0p7_3p0,dkl_finetune,28,54,4SSn-1,2.4262673045041216,window,6.384168509690626,64,False,False,1,1,0.108,0.004,True,43
visible_0p7_3p0,dkl_finetune,28,55,1PtSeMn2S5-1,1.467071260217023,window,6.384168509690626,65,False,False,1,1,0.095,0.003,True,44
visible_0p7_3p0,dkl_finetune,28,56,4AsNaO2-1,5.635495958121257,window,6.384168509690626,66,True,True,2,2,0.739,0.004,False,44
visible_0p7_3p0,dkl_finetune,28,57,1YBr2-1,0.9011866363623369,window,6.384168509690626,67,False,False,2,2,0.115,0.004,True,45
visible_0p7_3p0,dkl_finetune,28,58,1AuInCl2S2-1,2.584399174383482,window,6.384168509690626,68,False,False,2,2,0.112,0.004,True,46
visible_0p7_3p0,dkl_finetune,28,59,2CaHI-1,4.708604721714976,window,6.384168509690626,69,False,False,2,2,0.115,0.004,False,46
visible_0p7_3p0,dkl_finetune,28,60,4OSn-1,3.718731952407974,window,6.384168509690626,70,False,False,2,2,0.115,0.004,False,46
visible_0p7_3p0,dkl_finetune,28,61,1SnCl2-2,3.537207003340947,window,6.384168509690626,71,False,False,2,2,0.797,0.004,False,46
visible_0p7_3p0,dkl_finetune,28,62,2CsNOsSF5-1,2.5250863456840076,window,6.384168509690626,72,False,False,2,2,0.12,0.004,True,47
visible_0p7_3p0,dkl_finetune,28,63,2IrTaS4-1,1.3313117824937648,window,6.384168509690626,73,False,False,2,2,0.08,0.004,True,48
visible_0p7_3p0,dkl_finetune,28,64,2BrRhTe-1,1.964644675594796,window,6.384168509690626,74,False,False,2,2,0.051,0.004,True,49
visible_0p7_3p0,dkl_finetune,28,65,2NOOsRbF5-1,2.8644533007455135,window,6.384168509690626,75,False,False,2,2,0.051,0.004,True,50
visible_0p7_3p0,dkl_finetune,28,66,1AsClSe-1,2.0599710588294755,window,6.384168509690626,76,False,False,2,2,0.855,0.004,True,51
visible_0p7_3p0,dkl_finetune,28,67,1BrSbTe-2,1.81940948592927,window,6.384168509690626,77,False,False,2,2,0.094,0.004,True,52
visible_0p7_3p0,dkl_finetune,28,68,2IrSe-3,0.8218220966864944,window,6.384168509690626,78,False,False,2,2,0.081,0.004,True,53
visible_0p7_3p0,dkl_finetune,28,69,2NRbRuSCl5-1,1.3239361575585384,window,6.384168509690626,79,False,False,2,2,0.114,0.004,True,54
visible_0p7_3p0,dkl_finetune,28,70,2ClYO2-1,1.1839801996038277,window,6.384168509690626,80,False,False,2,2,0.055,0.004,True,55
visible_0p7_3p0,dkl_finetune,28,71,2PtTeS3-1,1.7309728435120988,window,6.384168509690626,81,False,False,2,2,0.473,0.005,True,56
visible_0p7_3p0,dkl_finetune,28,72,2SeZn-2,3.0537453271106134,window,6.384168509690626,82,False,False,2,2,0.119,0.004,False,56
visible_0p7_3p0,dkl_finetune,28,73,1ClSbTe-1,1.8660784955727059,window,6.384168509690626,83,False,False,2,2,0.117,0.004,True,57
visible_0p7_3p0,dkl_finetune,28,74,2FRhTe-1,2.1147648284943856,window,6.384168509690626,84,False,False,2,2,0.085,0.004,True,58
visible_0p7_3p0,dkl_finetune,28,75,1SeNb3Br7-1,1.4766633953519066,window,6.384168509690626,85,False,False,2,2,0.049,0.004,True,59
visible_0p7_3p0,dkl_finetune,28,76,1AlGaSe2-1,2.7649997447176933,window,6.384168509690626,86,False,False,2,2,0.711,0.004,True,60
visible_0p7_3p0,dkl_finetune,28,77,1OVI2-1,1.8490498638702042,window,6.384168509690626,87,False,False,2,2,0.12,0.004,True,61
visible_0p7_3p0,dkl_finetune,28,78,1SeBi2S2-1,0.9234566719720195,window,6.384168509690626,88,False,False,2,2,0.103,0.004,True,62
visible_0p7_3p0,dkl_finetune,28,79,1AsIS-2,0.8103816990398838,window,6.384168509690626,89,False,False,2,2,0.114,0.004,True,63
visible_0p7_3p0,dkl_finetune,28,80,2PbSe-1,1.3115478090383061,window,6.384168509690626,90,False,False,2,2,0.114,0.004,True,64
