window,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,cumul_in_window
visible_0p7_3p0,dkl_frozen,25,1,1BrSeY-1,4.12197624479649,window,4.12197624479649,11,False,False,0,0,0.148,0.007,False,0
visible_0p7_3p0,dkl_frozen,25,2,1BiFS-1,2.255408567311418,window,4.12197624479649,12,False,False,0,0,0.149,0.007,True,1
visible_0p7_3p0,dkl_frozen,25,3,1CoLiP2Se6-1,2.003765085054899,window,4.12197624479649,13,False,False,0,0,0.146,0.005,True,2
visible_0p7_3p0,dkl_frozen,25,4,1BiFTe-1,1.1786421645807315,window,4.12197624479649,14,False,False,0,0,0.149,0.007,True,3
visible_0p7_3p0,dkl_frozen,25,5,1CoNaP2S6-1,1.8514312559572472,window,4.12197624479649,15,False,False,0,0,0.148,0.007,True,4
visible_0p7_3p0,dkl_frozen,25,6,1CoLiP2S6-1,2.395201501582965,window,4.12197624479649,16,False,False,0,0,0.147,0.006,True,5
visible_0p7_3p0,dkl_frozen,25,7,1BiClS-1,1.7449209583971834,window,4.12197624479649,17,False,False,0,0,0.147,0.005,True,6
visible_0p7_3p0,dkl_frozen,25,8,1BiBrS-1,1.600144484093482,window,4.12197624479649,18,False,False,0,0,0.147,0.006,True,7
visible_0p7_3p0,dkl_frozen,25,9,4OSb2Se2-1,2.0828304212747906,window,4.12197624479649,19,False,False,0,0,0.151,0.007,True,8
visible_0p7_3p0,dkl_frozen,25,10,1CoNaAs2Se6-1,1.2951913610160526,window,4.12197624479649,20,False,False,0,0,0.15,0.007,True,9
visible_0p7_3p0,dkl_frozen,25,11,1CoLiAs2Se6-1,1.1750807641093295,window,4.12197624479649,21,False,False,0,0,0.151,0.005,True,10
visible_0p7_3p0,dkl_frozen,25,12,1BiClSe-1,1.5090271758817035,window,4.12197624479649,22,False,False,0,0,0.15,0.007,True,11
visible_0p7_3p0,dkl_frozen,25,13,1BiBrSe-1,1.362729346708878,window,4.12197624479649,23,False,False,0,0,0.151,0.006,True,12
visible_0p7_3p0,dkl_frozen,25,14,1AlGaSe2-1,2.7649997447176933,window,4.12197624479649,24,False,False,0,0,0.148,0.007,True,13
visible_0p7_3p0,dkl_frozen,25,15,1PbS2-1,2.2988751579189426,window,4.12197624479649,25,False,False,0,0,0.148,0.005,True,14
visible_0p7_3p0,dkl_frozen,25,16,1BiIS-1,1.4739739789524404,window,4.12197624479649,26,False,False,0,0,0.155,0.008,True,15
visible_0p7_3p0,dkl_frozen,25,17,1BiISe-1,1.2156722279898025,window,4.12197624479649,27,False,False,0,0,0.156,0.007,True,16
visible_0p7_3p0,dkl_frozen,25,18,1CdGeSSeBr2-1,1.5437706816285686,window,4.12197624479649,28,False,False,0,0,0.156,0.007,True,17
visible_0p7_3p0,dkl_frozen,25,19,1Br2Se2Pb3-1,1.4516907179355618,window,4.12197624479649,29,False,False,0,0,0.151,0.005,True,18
visible_0p7_3p0,dkl_frozen,25,20,2InS2-3,1.2415617971997308,window,4.12197624479649,30,False,False,0,0,0.151,0.007,True,19
visible_0p7_3p0,dkl_frozen,25,21,1PbSe2-1,1.8474635635266052,window,4.12197624479649,31,False,False,0,0,0.153,0.007,True,20
visible_0p7_3p0,dkl_frozen,25,22,2PbTe-3,0.3851114075572808,window,4.12197624479649,32,False,False,0,0,0.154,0.007,False,20
visible_0p7_3p0,dkl_frozen,25,23,1PbTe-1,1.5002534549900912,window,4.12197624479649,33,False,False,0,0,0.154,0.005,True,21
visible_0p7_3p0,dkl_frozen,25,24,1AlCdInS4-1,1.8772431361735278,window,4.12197624479649,34,False,False,0,0,0.155,0.007,True,22
visible_0p7_3p0,dkl_frozen,25,25,1ScS2-2,1.889974462819711,window,4.12197624479649,35,False,False,0,0,0.154,0.007,True,23
visible_0p7_3p0,dkl_frozen,25,26,2InS-1,2.4308252492074818,window,4.12197624479649,36,False,False,0,0,0.155,0.007,True,24
visible_0p7_3p0,dkl_frozen,25,27,1GaInS2-1,2.569631613134444,window,4.12197624479649,37,False,False,0,0,0.156,0.005,True,25
