window,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,cumul_in_window
visible_0p7_3p0,std_gp,0,1,4AsLiO2-1,5.35117415365123,window,5.635495958121257,11,True,True,1,1,0.228,0.02,False,0
visible_0p7_3p0,std_gp,0,2,1AsITe-2,0.8722104485250638,window,5.635495958121257,12,False,False,1,1,0.235,0.017,True,1
visible_0p7_3p0,std_gp,0,3,1MoOSe-1,1.5119756352825304,window,5.635495958121257,13,False,False,1,1,0.254,0.013,True,2
visible_0p7_3p0,std_gp,0,4,1ISbSe-1,1.52915290375479,window,5.635495958121257,14,False,False,1,1,0.251,0.015,True,3
visible_0p7_3p0,std_gp,0,5,1BrSbSe-2,2.0365128992788732,window,5.635495958121257,15,False,False,1,1,0.239,0.01,True,4
visible_0p7_3p0,std_gp,0,6,1BrSbSe-1,1.6485916687612352,window,5.635495958121257,16,False,False,1,1,0.207,0.013,True,5
visible_0p7_3p0,std_gp,0,7,1AsBrTe-2,1.6619041756764845,window,5.635495958121257,17,False,False,1,1,0.264,0.009,True,6
visible_0p7_3p0,std_gp,0,8,1BrSbTe-2,1.81940948592927,window,5.635495958121257,18,False,False,1,1,0.319,0.017,True,7
visible_0p7_3p0,std_gp,0,9,1AsBrTe-1,1.8392707991669788,window,5.635495958121257,19,False,False,1,1,0.367,0.014,True,8
visible_0p7_3p0,std_gp,0,10,1ClSbSe-2,2.290099038505901,window,5.635495958121257,20,False,False,1,1,0.289,0.01,True,9
visible_0p7_3p0,std_gp,0,11,1BrSSb-2,2.0278507130270333,window,5.635495958121257,21,False,False,1,1,0.312,0.014,True,10
visible_0p7_3p0,std_gp,0,12,1BrSSb-1,1.837586151949067,window,5.635495958121257,22,False,False,1,1,0.34,0.015,True,11
visible_0p7_3p0,std_gp,0,13,1AsClTe-2,1.8240499227720575,window,5.635495958121257,23,False,False,1,1,0.321,0.011,True,12
visible_0p7_3p0,std_gp,0,14,1AsClTe-1,2.1466220932423274,window,5.635495958121257,24,False,False,1,1,0.287,0.011,True,13
visible_0p7_3p0,std_gp,0,15,1ClSbSe-1,1.8037234936115578,window,5.635495958121257,25,False,False,1,1,0.31,0.011,True,14
visible_0p7_3p0,std_gp,0,16,1ClSSb-2,2.3209784315139554,window,5.635495958121257,26,False,False,1,1,0.295,0.019,True,15
visible_0p7_3p0,std_gp,0,17,1ClSbTe-2,1.890637267538068,window,5.635495958121257,27,False,False,1,1,0.283,0.015,True,16
visible_0p7_3p0,std_gp,0,18,1ClSbTe-1,1.8660784955727059,window,5.635495958121257,28,False,False,1,1,0.244,0.01,True,17
visible_0p7_3p0,std_gp,0,19,1BiClSe-2,1.991924287584308,window,5.635495958121257,29,False,False,1,1,0.266,0.008,True,18
visible_0p7_3p0,std_gp,0,20,1BiClSe-1,1.5090271758817035,window,5.635495958121257,30,False,False,1,1,0.28,0.01,True,19
visible_0p7_3p0,std_gp,0,21,1BiClS-1,1.7449209583971834,window,5.635495958121257,31,False,False,1,1,0.273,0.027,True,20
visible_0p7_3p0,std_gp,0,22,1BiClS-2,2.2714109419767974,window,5.635495958121257,32,False,False,1,1,0.312,0.014,True,21
visible_0p7_3p0,std_gp,0,23,1BiBrS-2,1.9804019187336452,window,5.635495958121257,33,False,False,1,1,0.343,0.012,True,22
visible_0p7_3p0,std_gp,0,24,1BiBrS-1,1.600144484093482,window,5.635495958121257,34,False,False,1,1,0.294,0.014,True,23
visible_0p7_3p0,std_gp,0,25,1BiClTe-2,1.1514052260022989,window,5.635495958121257,35,False,False,1,1,0.346,0.012,True,24
visible_0p7_3p0,std_gp,0,26,1BiBrSe-2,1.7416794044752069,window,5.635495958121257,36,False,False,1,1,0.283,0.012,True,25
visible_0p7_3p0,std_gp,0,27,1BiBrSe-1,1.362729346708878,window,5.635495958121257,37,False,False,1,1,0.295,0.01,True,26
visible_0p7_3p0,std_gp,0,28,1ISSb-2,1.4550869834689912,window,5.635495958121257,38,False,False,1,1,0.289,0.012,True,27
visible_0p7_3p0,std_gp,0,29,1ISSb-1,1.7824491412878976,window,5.635495958121257,39,False,False,1,1,0.375,0.012,True,28
visible_0p7_3p0,std_gp,0,30,1SSeSn-1,1.4755633594854767,window,5.635495958121257,40,False,False,1,1,0.263,0.014,True,29
visible_0p7_3p0,std_gp,0,31,1SnS2-3,1.4547148994936003,window,5.635495958121257,41,False,False,1,1,0.292,0.008,True,30
visible_0p7_3p0,std_gp,0,32,2BrRhTe-1,1.964644675594796,window,5.635495958121257,42,False,False,1,1,0.33,0.015,True,31
visible_0p7_3p0,std_gp,0,33,2ClIrTe-2,2.0497440263204902,window,5.635495958121257,43,False,False,1,1,0.311,0.017,True,32
visible_0p7_3p0,std_gp,0,34,2BrIrTe-2,1.8692112052126695,window,5.635495958121257,44,False,False,1,1,0.306,0.011,True,33
visible_0p7_3p0,std_gp,0,35,1BiClTe-1,1.1982747632781856,window,5.635495958121257,45,False,False,1,1,0.278,0.009,True,34
visible_0p7_3p0,std_gp,0,36,2IRhTe-2,1.4318302925595947,window,5.635495958121257,46,False,False,1,1,0.296,0.019,True,35
visible_0p7_3p0,std_gp,0,37,2BrIrSe-2,2.0672166425998064,window,5.635495958121257,47,False,False,1,1,0.314,0.014,True,36
visible_0p7_3p0,std_gp,0,38,2BrIrS-2,2.0653479618219506,window,5.635495958121257,48,False,False,1,1,0.319,0.016,True,37
visible_0p7_3p0,std_gp,0,39,2IIrS-2,1.7487636015906938,window,5.635495958121257,49,False,False,1,1,0.317,0.01,True,38
visible_0p7_3p0,std_gp,0,40,2IIrSe-2,1.8569340808634704,window,5.635495958121257,50,False,False,1,1,0.349,0.011,True,39
visible_0p7_3p0,std_gp,0,41,2IRhS-2,1.6647392381663382,window,5.635495958121257,51,False,False,1,1,0.248,0.007,True,40
visible_0p7_3p0,std_gp,0,42,2IRhSe-1,1.7248430777278154,window,5.635495958121257,52,False,False,1,1,0.29,0.012,True,41
visible_0p7_3p0,std_gp,0,43,2BrRhS-2,2.135486147220739,window,5.635495958121257,53,False,False,1,1,0.419,0.017,True,42
visible_0p7_3p0,std_gp,0,44,2BrRhSe-1,2.1396173896965265,window,5.635495958121257,54,False,False,1,1,0.326,0.019,True,43
visible_0p7_3p0,std_gp,0,45,2PtTeS3-1,1.7309728435120988,window,5.635495958121257,55,False,False,1,1,0.399,0.017,True,44
visible_0p7_3p0,std_gp,0,46,2PdTeS3-1,1.8177466141329617,window,5.635495958121257,56,False,False,1,1,0.394,0.009,True,45
visible_0p7_3p0,std_gp,0,47,1PtSnS4-1,2.1217787641584476,window,5.635495958121257,57,False,False,1,1,0.303,0.014,True,46
visible_0p7_3p0,std_gp,0,48,2RuS2-1,1.5833182530472873,window,5.635495958121257,58,False,False,1,1,0.289,0.01,True,47
visible_0p7_3p0,std_gp,0,49,1HgBr2-4,2.458718900666394,window,5.635495958121257,59,False,False,1,1,0.319,0.02,True,48
visible_0p7_3p0,std_gp,0,50,1SnI2-2,2.5044769419217303,window,5.635495958121257,60,False,False,1,1,0.412,0.013,True,49
visible_0p7_3p0,std_gp,0,51,1HgI2-4,1.3696303013725286,window,5.635495958121257,61,False,False,1,1,0.297,0.013,True,50
visible_0p7_3p0,std_gp,0,52,2AgSe-1,1.1786742925781897,window,5.635495958121257,62,False,False,1,1,0.304,0.012,True,51
visible_0p7_3p0,std_gp,0,53,1AgGaP2Se6-1,1.6935745501713457,window,5.635495958121257,63,False,False,1,1,0.291,0.011,True,52
visible_0p7_3p0,std_gp,0,54,1AgGaP2S6-1,2.284638792566074,window,5.635495958121257,64,False,False,1,1,0.244,0.01,True,53
visible_0p7_3p0,std_gp,0,55,1AgInP2Se6-1,1.7071298338532443,window,5.635495958121257,65,False,False,1,1,0.318,0.007,True,54
visible_0p7_3p0,std_gp,0,56,1AgInP2S6-1,2.3653077633070336,window,5.635495958121257,66,False,False,1,1,0.305,0.011,True,55
