method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap,is_top10,cumul_top10
random,4,1,2BaHI-1,4.218619347645864,random,4.218619347645864,11,False,False,0,0,0.0,0.0,False,0.7,False,0
random,4,2,2AgO-1,1.1257963901064443,random,4.218619347645864,12,False,False,0,0,0.0,0.0,True,1.1257963901064443,False,0
random,4,3,1OSeW-1,2.00352522923235,random,4.218619347645864,13,False,False,0,0,0.0,0.0,True,2.00352522923235,False,0
random,4,4,4AsLiO2-1,5.35117415365123,random,5.35117415365123,14,False,True,0,1,0.0,0.0,False,2.00352522923235,False,0
random,4,5,2PtSO3-1,2.976118585189819,random,5.35117415365123,15,True,False,1,1,0.0,0.0,True,2.976118585189819,True,1
random,4,6,1InSb-1,0.9447311585024376,random,5.35117415365123,16,False,False,1,1,0.0,0.0,True,2.976118585189819,False,1
random,4,7,4OSn-1,3.718731952407974,random,5.35117415365123,17,False,False,1,1,0.0,0.0,False,2.976118585189819,False,1
random,4,8,1BiBrSe-2,1.7416794044752069,random,5.35117415365123,18,False,False,1,1,0.0,0.0,True,2.976118585189819,False,1
random,4,9,4AsPtS-1,2.0613638503333185,random,5.35117415365123,19,False,False,1,1,0.0,0.0,True,2.976118585189819,False,1
random,4,10,1CdCl2-3,4.344091830424737,random,5.35117415365123,20,False,False,1,1,0.0,0.0,False,2.976118585189819,False,1
random,4,11,1ScBr2-1,0.7566711317211567,random,5.35117415365123,21,False,False,1,1,0.0,0.0,True,2.976118585189819,False,1
random,4,12,1AsITe-2,0.8722104485250638,random,5.35117415365123,22,False,False,1,1,0.0,0.0,True,2.976118585189819,False,1
random,4,13,2NRbO3-1,5.286226532964832,random,5.35117415365123,23,False,True,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,14,1N2O2Zr3-1,0.6158245232797013,random,5.35117415365123,24,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,15,1ZrTi3Te8-1,0.7224235271535047,random,5.35117415365123,25,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,16,1AsITe-1,1.5024923748158407,random,5.35117415365123,26,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,17,4NiPSe-1,2.0206359517639365,random,5.35117415365123,27,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,18,1NiPdS4-1,1.152815371758458,random,5.35117415365123,28,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,19,1WSe2-1,1.7304371317062133,random,5.35117415365123,29,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,20,2HNaS-1,4.587538000712706,random,5.35117415365123,30,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,21,1ClITi-1,1.1874779541570317,random,5.35117415365123,31,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,22,1MoCr3Te8-1,0.8929783349262663,random,5.35117415365123,32,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,23,2BrRhS-2,2.135486147220739,random,5.35117415365123,33,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,24,2WSe2-1,0.11766957125874766,random,5.35117415365123,34,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,25,1CdGaInS4-1,1.3399645179244253,random,5.35117415365123,35,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,26,2IIrSe-2,1.8569340808634704,random,5.35117415365123,36,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,27,1TeTa3Br7-1,1.3967795614391882,random,5.35117415365123,37,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,28,1ClIMg-1,3.815038656989932,random,5.35117415365123,38,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,29,2IK-2,4.784008898574658,random,5.35117415365123,39,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,30,1AsClSe-2,2.370546651333197,random,5.35117415365123,40,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,31,2HfTiTe4-1,0.6924170866692316,random,5.35117415365123,41,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,32,1BiFS-1,2.255408567311418,random,5.35117415365123,42,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,33,2GaS-1,3.1968982453053973,random,5.35117415365123,43,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,34,2BaFI-1,4.906596916370807,random,5.35117415365123,44,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,35,2RuTe2-1,1.0714100934225907,random,5.35117415365123,45,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,36,1InMnBr2Se2-1,0.7899694018413093,random,5.35117415365123,46,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,37,1BrCdI-1,3.052957679203253,random,5.35117415365123,47,False,False,1,2,0.0,0.0,False,2.976118585189819,False,1
random,4,38,1CoLiP2Se6-1,2.003765085054899,random,5.35117415365123,48,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,39,1ClIY-1,0.7732068533336836,random,5.35117415365123,49,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,40,1PdZrCl6-1,2.4336528608575274,random,5.35117415365123,50,False,False,1,2,0.0,0.0,True,2.976118585189819,False,1
random,4,41,1BaClI-1,5.10609650454491,random,5.35117415365123,51,False,True,1,3,0.0,0.0,False,2.976118585189819,False,1
random,4,42,1HgS-1,0.7236707407317446,random,5.35117415365123,52,False,False,1,3,0.0,0.0,True,2.976118585189819,False,1
random,4,43,2TiZrTe4-1,0.7439839246275826,random,5.35117415365123,53,False,False,1,3,0.0,0.0,True,2.976118585189819,False,1
random,4,44,2CdFSbO2-1,3.5130988612781677,random,5.35117415365123,54,False,False,1,3,0.0,0.0,False,2.976118585189819,False,1
random,4,45,1IPd2Cl5-1,1.3932270250351144,random,5.35117415365123,55,False,False,1,3,0.0,0.0,True,2.976118585189819,False,1
random,4,46,1HfTi3Se8-1,1.5439398243408125,random,5.35117415365123,56,False,False,1,3,0.0,0.0,True,2.976118585189819,False,1
random,4,47,4IOSc-1,3.3501515984261054,random,5.35117415365123,57,False,False,1,3,0.0,0.0,False,2.976118585189819,False,1
random,4,48,2SV-4,0.6417681651128815,random,5.35117415365123,58,False,False,1,3,0.0,0.0,False,2.976118585189819,False,1
random,4,49,2AgI-2,2.921885453642047,random,5.35117415365123,59,True,False,2,3,0.0,0.0,True,2.976118585189819,True,2
random,4,50,1SrCl2-2,6.202427264782143,random,6.202427264782143,60,False,True,2,4,0.0,0.0,False,2.976118585189819,False,2
random,4,51,2IRhSe-1,1.7248430777278154,random,6.202427264782143,61,False,False,2,4,0.0,0.0,True,2.976118585189819,False,2
random,4,52,2CaClF-1,7.586685082888464,random,7.586685082888464,62,False,True,2,5,0.0,0.0,False,2.976118585189819,False,2
random,4,53,1OSW-1,2.2569736785857417,random,7.586685082888464,63,False,False,2,5,0.0,0.0,True,2.976118585189819,False,2
random,4,54,1CSiH2-1,4.870741622325641,random,7.586685082888464,64,False,False,2,5,0.0,0.0,False,2.976118585189819,False,2
random,4,55,1CdBr2-3,3.373303256993041,random,7.586685082888464,65,False,False,2,5,0.0,0.0,False,2.976118585189819,False,2
random,4,56,4LiSbO2-1,4.431806733853256,random,7.586685082888464,66,False,False,2,5,0.0,0.0,False,2.976118585189819,False,2
random,4,57,2BrTl-3,3.2136627320891895,random,7.586685082888464,67,False,False,2,5,0.0,0.0,False,2.976118585189819,False,2
random,4,58,1BrHf2S2Cl3-1,3.424408247190213,random,7.586685082888464,68,False,False,2,5,0.0,0.0,False,2.976118585189819,False,2
