method,seed,best_inwin_gap,cumul_top10,cumul_top50
dkl_frozen,29,2.810676315601896,0,7
dkl_frozen,3,2.8691187038852277,0,6
dkl_frozen,28,2.89065663190684,0,9
dkl_frozen,27,2.977784751496664,2,7
dkl_frozen,23,2.994111191347562,1,5
dkl_frozen,24,2.89065663190684,0,6
dkl_frozen,26,2.994111191347562,1,4
dkl_frozen,25,2.850730285604798,0,7
dkl_frozen,15,2.994111191347562,2,9
dkl_frozen,16,2.994111191347562,2,10
dkl_frozen,14,2.9145192404726146,1,5
dkl_frozen,13,2.89065663190684,0,7
dkl_frozen,1,2.8997426802469164,1,7
dkl_frozen,10,2.89065663190684,0,7
dkl_frozen,12,2.584399174383482,0,0
dkl_frozen,11,2.976118585189819,2,9
random,19,2.936739494789792,1,4
random,2,2.8997426802469164,1,8
random,18,2.976118585189819,2,11
random,17,2.977784751496664,1,9
random,20,2.921885453642047,2,3
random,21,2.992020082294654,2,7
random,23,2.977784751496664,1,8
random,22,2.992020082294654,2,11
random,15,2.810861153482204,0,5
random,16,2.945040655445716,1,7
random,14,2.977784751496664,2,9
random,13,2.976118585189819,1,7
random,10,2.977784751496664,2,4
std_gp,6,2.921885453642047,1,3
random,12,2.936739494789792,1,7
random,11,2.8332467481676384,0,4
dkl_frozen,18,2.8691187038852277,0,6
dkl_frozen,19,2.810676315601896,0,7
std_gp,7,2.9968923719089773,3,8
dkl_frozen,17,2.89065663190684,0,5
dkl_frozen,2,2.992020082294654,1,13
dkl_frozen,20,2.8997426802469164,1,9
dkl_frozen,22,2.89065663190684,0,13
dkl_frozen,21,2.9145192404726146,1,4
std_gp,3,2.696981068145859,0,1
std_gp,9,2.9968923719089773,2,9
std_gp,29,2.9968923719089773,2,3
std_gp,28,2.977784751496664,3,8
std_gp,25,2.976118585189819,1,9
std_gp,4,2.9968923719089773,3,10
std_gp,27,2.976118585189819,1,11
std_gp,26,2.994111191347562,1,5
dkl_finetune,10,2.992020082294654,2,13
dkl_finetune,11,2.9145192404726146,2,11
dkl_finetune,1,2.8691187038852277,0,11
dkl_finetune,0,2.992020082294654,2,10
dkl_finetune,12,2.992020082294654,2,8
dkl_finetune,13,2.994111191347562,2,13
dkl_finetune,15,2.994111191347562,2,15
dkl_finetune,14,2.9145192404726146,1,11
random,0,2.994111191347562,1,7
random,1,2.976118585189819,1,6
dkl_frozen,9,2.994111191347562,1,10
dkl_frozen,8,2.992020082294654,1,8
dkl_frozen,4,2.992020082294654,1,9
dkl_frozen,5,2.976118585189819,1,11
dkl_frozen,7,2.8691187038852277,0,10
dkl_frozen,6,2.994111191347562,2,7
dkl_finetune,9,2.9968923719089773,1,16
dkl_frozen,0,2.994111191347562,2,6
dkl_finetune,8,2.936739494789792,1,8
dkl_finetune,7,2.8997426802469164,1,13
dkl_finetune,3,2.880595252736021,0,13
dkl_finetune,4,2.921885453642047,1,13
dkl_finetune,6,2.945040655445716,1,13
dkl_finetune,5,2.976118585189819,1,12
dkl_finetune,28,2.994111191347562,2,13
dkl_finetune,29,2.936739494789792,1,7
dkl_finetune,27,2.992020082294654,2,11
dkl_finetune,26,2.994111191347562,4,14
dkl_finetune,23,2.994111191347562,4,21
std_gp,8,2.976118585189819,2,11
dkl_finetune,25,2.992020082294654,2,15
dkl_finetune,24,2.89065663190684,0,8
random,6,2.9968923719089773,2,8
random,7,2.9968923719089773,1,8
std_gp,5,2.976118585189819,3,9
random,5,2.7754717110836995,0,6
random,8,2.936739494789792,2,8
random,9,2.976118585189819,3,10
std_gp,1,2.977784751496664,3,11
std_gp,0,2.994111191347562,2,5
random,3,2.945040655445716,1,8
random,4,2.976118585189819,3,6
random,29,2.9968923719089773,4,9
random,28,2.976118585189819,1,4
random,24,2.976118585189819,2,7
random,25,2.9968923719089773,3,7
random,27,2.945040655445716,1,6
random,26,2.857287931831081,0,5
std_gp,16,2.994111191347562,2,8
std_gp,17,2.994111191347562,2,14
std_gp,15,2.994111191347562,1,5
std_gp,14,2.976118585189819,1,11
std_gp,10,2.994111191347562,3,13
std_gp,11,2.976118585189819,1,10
std_gp,13,2.976118585189819,1,13
std_gp,12,2.994111191347562,1,7
dkl_finetune,21,2.9145192404726146,1,6
dkl_finetune,22,2.8997426802469164,1,10
dkl_finetune,20,2.945040655445716,1,10
dkl_finetune,2,2.936739494789792,1,10
dkl_finetune,16,2.936739494789792,1,11
dkl_finetune,17,2.977784751496664,2,11
dkl_finetune,19,2.89065663190684,0,7
dkl_finetune,18,2.976118585189819,2,15
std_gp,2,2.976118585189819,3,12
std_gp,20,2.977784751496664,3,9
std_gp,19,2.921885453642047,1,6
std_gp,18,2.977784751496664,2,10
std_gp,21,2.6384546971857423,0,1
std_gp,22,2.9968923719089773,2,9
std_gp,24,2.89065663190684,0,11
std_gp,23,2.977784751496664,2,8
