method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap
dkl_finetune,18,1,1CdI2-3,2.2947577099620884,window_min,2.2947577099620884,11,False,False,0,0,1.298,0.006,True,2.2947577099620884
dkl_finetune,18,2,1FeHfI6-1,2.7948742152896866,window_min,2.7948742152896866,12,False,False,0,0,0.155,0.005,True,2.2947577099620884
dkl_finetune,18,3,1PdZrI6-1,1.3407168668618104,window_min,2.7948742152896866,13,False,False,0,0,0.157,0.006,True,1.3407168668618104
dkl_finetune,18,4,1HfPdI6-1,1.3682040916152636,window_min,2.7948742152896866,14,False,False,0,0,0.156,0.006,True,1.3407168668618104
dkl_finetune,18,5,1FeI2-3,0.019747739471341452,window_min,2.7948742152896866,15,False,False,0,0,0.155,0.005,False,1.3407168668618104
dkl_finetune,18,6,1MoAu2Se4-1,1.2469096988896795,window_min,2.7948742152896866,16,False,False,0,0,1.465,0.007,True,1.2469096988896795
dkl_finetune,18,7,2BrMnSbS2-2,1.2011865805829927,window_min,2.7948742152896866,17,False,False,0,0,0.192,0.007,True,1.2011865805829927
dkl_finetune,18,8,2P2Se3-2,2.699968277561336,window_min,2.7948742152896866,18,False,False,0,0,0.19,0.006,True,1.2011865805829927
dkl_finetune,18,9,1WAg2S4-1,2.4823211691560516,window_min,2.7948742152896866,19,False,False,0,0,0.194,0.007,True,1.2011865805829927
dkl_finetune,18,10,1PtSeMn2S5-1,1.467071260217023,window_min,2.7948742152896866,20,False,False,0,0,0.194,0.007,True,1.2011865805829927
dkl_finetune,18,11,1HgSe-1,0.4233383782147899,window_min,2.7948742152896866,21,False,False,0,0,1.747,0.006,False,1.2011865805829927
dkl_finetune,18,12,2PbS-3,0.673443415471648,window_min,2.7948742152896866,22,False,False,0,0,0.178,0.005,False,1.2011865805829927
dkl_finetune,18,13,1WAu2Se4-1,1.4150633983018333,window_min,2.7948742152896866,23,False,False,0,0,0.142,0.005,True,1.2011865805829927
