method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap
dkl_frozen,22,1,1FeZrI6-1,2.5979480126894097,window_min,5.51455210742706,11,False,False,0,0,0.186,0.01,True,2.5979480126894097
dkl_frozen,22,2,1SeTa3I7-1,1.2555565624464904,window_min,5.51455210742706,12,False,False,0,0,0.177,0.01,True,1.2555565624464904
dkl_frozen,22,3,1STa3I7-1,1.2954708439890104,window_min,5.51455210742706,13,False,False,0,0,0.185,0.009,True,1.2555565624464904
dkl_frozen,22,4,1SNb3I7-1,1.2348222092168601,window_min,5.51455210742706,14,False,False,0,0,0.184,0.01,True,1.2348222092168601
dkl_frozen,22,5,1TeNb3I7-1,1.2414712582097938,window_min,5.51455210742706,15,False,False,0,0,0.182,0.01,True,1.2348222092168601
dkl_frozen,22,6,1AgCrP2Te6-1,1.1372195138849808,window_min,5.51455210742706,16,False,False,0,0,0.389,0.011,True,1.1372195138849808
dkl_frozen,22,7,1PtSeTe-1,1.0917679725480096,window_min,5.51455210742706,17,False,False,0,0,0.496,0.01,True,1.0917679725480096
dkl_frozen,22,8,1NiPd3Se8-1,0.7018304824077519,window_min,5.51455210742706,18,True,False,1,0,0.227,0.011,True,0.7018304824077519
dkl_frozen,22,9,1PtSSe-1,2.0165227332104303,window_min,5.51455210742706,19,False,False,1,0,0.219,0.01,True,0.7018304824077519
dkl_frozen,22,10,1AgTlP2Se6-1,0.9013702160477939,window_min,5.51455210742706,20,True,False,2,0,0.194,0.01,True,0.7018304824077519
dkl_frozen,22,11,1AgCrP2Se6-1,1.788781534497054,window_min,5.51455210742706,21,False,False,2,0,0.204,0.009,True,0.7018304824077519
dkl_frozen,22,12,2BrRhSe-1,2.1396173896965265,window_min,5.51455210742706,22,False,False,2,0,0.211,0.01,True,0.7018304824077519
dkl_frozen,22,13,2BrRhTe-1,1.964644675594796,window_min,5.51455210742706,23,False,False,2,0,0.21,0.011,True,0.7018304824077519
dkl_frozen,22,14,1ONb3I7-1,0.951918924590768,window_min,5.51455210742706,24,False,False,2,0,0.212,0.011,True,0.7018304824077519
dkl_frozen,22,15,2IRhSe-1,1.7248430777278154,window_min,5.51455210742706,25,False,False,2,0,0.213,0.009,True,0.7018304824077519
dkl_frozen,22,16,2IIrSe-2,1.8569340808634704,window_min,5.51455210742706,26,False,False,2,0,0.211,0.01,True,0.7018304824077519
dkl_frozen,22,17,1BiBrTe-2,1.1616007476813623,window_min,5.51455210742706,27,False,False,2,0,0.213,0.011,True,0.7018304824077519
