method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap
random,29,1,1MoAu2Se4-1,1.2469096988896795,random,6.384806224215836,11,False,False,0,0,0.0,0.0,True,1.2469096988896795
random,29,2,1CoNaAs2Se6-1,1.2951913610160526,random,6.384806224215836,12,False,False,0,0,0.0,0.0,True,1.2469096988896795
random,29,3,1OVBr2-1,3.019085807490825,random,6.384806224215836,13,False,False,0,0,0.0,0.0,False,1.2469096988896795
random,29,4,1HfS2-2,2.0382319160061266,random,6.384806224215836,14,False,False,0,0,0.0,0.0,True,1.2469096988896795
random,29,5,2ClMnSbS2-2,1.2421457829290659,random,6.384806224215836,15,False,False,0,0,0.0,0.0,True,1.2421457829290659
random,29,6,1ZrHf3Te8-1,0.6895972346209,random,6.384806224215836,16,False,False,0,0,0.0,0.0,False,1.2421457829290659
random,29,7,2PtSeO3-1,2.731538681470915,random,6.384806224215836,17,False,False,0,0,0.0,0.0,True,1.2421457829290659
random,29,8,1MoOS-1,1.831052888428725,random,6.384806224215836,18,False,False,0,0,0.0,0.0,True,1.2421457829290659
random,29,9,2FeS2-1,1.3309970499420556,random,6.384806224215836,19,False,False,0,0,0.0,0.0,True,1.2421457829290659
random,29,10,1SSn-1,2.9777847514966638,random,6.384806224215836,20,False,False,0,0,0.0,0.0,True,1.2421457829290659
random,29,11,1ISSb-2,1.4550869834689912,random,6.384806224215836,21,False,False,0,0,0.0,0.0,True,1.2421457829290659
random,29,12,2GaHSO4-1,5.938315299581159,random,6.384806224215836,22,False,True,0,1,0.0,0.0,False,1.2421457829290659
random,29,13,1HgO-1,0.025195746505690675,random,6.384806224215836,23,False,False,0,1,0.0,0.0,False,1.2421457829290659
random,29,14,1MoCu2Te4-1,1.229958084735783,random,6.384806224215836,24,False,False,0,1,0.0,0.0,True,1.229958084735783
random,29,15,2MoWSe4-1,1.7490843965495402,random,6.384806224215836,25,False,False,0,1,0.0,0.0,True,1.229958084735783
random,29,16,2AuBr-2,1.222277762293436,random,6.384806224215836,26,False,False,0,1,0.0,0.0,True,1.222277762293436
random,29,17,1HfI2-1,1.0219868950032727,random,6.384806224215836,27,False,False,0,1,0.0,0.0,True,1.0219868950032727
random,29,18,2InPS3-1,1.3949282191850638,random,6.384806224215836,28,False,False,0,1,0.0,0.0,True,1.0219868950032727
random,29,19,2CdFSbO2-1,3.5130988612781677,random,6.384806224215836,29,False,False,0,1,0.0,0.0,False,1.0219868950032727
random,29,20,1WCu2S4-1,2.994111191347562,random,6.384806224215836,30,False,False,0,1,0.0,0.0,True,1.0219868950032727
