method,seed,best_inwin_gap,cumul_top50
dkl_frozen,29,0.7018304824077519,15
dkl_frozen,3,0.7127550601862147,13
dkl_frozen,28,0.7018304824077519,9
dkl_frozen,27,0.7178194661151867,11
dkl_frozen,23,0.7018304824077519,13
dkl_frozen,24,0.7127550601862147,13
dkl_frozen,26,0.7018304824077519,13
dkl_frozen,25,0.7007991490368339,12
dkl_frozen,15,0.7127550601862147,14
dkl_frozen,16,0.7127550601862147,9
dkl_frozen,14,0.7178194661151867,11
dkl_frozen,13,0.7018304824077519,19
dkl_frozen,1,0.7018304824077519,13
dkl_frozen,10,0.7127550601862147,13
dkl_frozen,12,0.7018304824077519,19
dkl_frozen,11,0.7557647052840255,7
random,19,0.716562836250253,8
random,2,0.7236707407317446,7
random,18,0.716562836250253,4
random,17,0.7127550601862147,5
random,20,0.7357934650845026,8
random,21,0.716562836250253,3
random,23,0.7018304824077519,5
random,22,0.8540299704223102,3
random,15,0.7007991490368339,8
random,16,0.7557647052840255,9
random,14,0.7018304824077519,9
random,13,0.7018304824077519,6
random,10,0.7224235271535047,6
std_gp,6,0.7127550601862147,13
random,12,0.7007991490368339,5
random,11,0.7439839246275826,5
dkl_frozen,18,0.76324319445811,8
dkl_frozen,19,0.7127550601862147,17
std_gp,7,0.7924759567837498,6
dkl_frozen,17,0.8103816990398838,12
dkl_frozen,2,0.7127550601862147,11
dkl_frozen,20,0.7018304824077519,17
dkl_frozen,22,0.7018304824077519,11
dkl_frozen,21,0.7127550601862147,9
std_gp,3,0.783154166423321,6
std_gp,9,0.7018304824077519,9
std_gp,29,0.7224235271535047,18
std_gp,28,0.8103816990398838,7
std_gp,25,0.7018304824077519,3
std_gp,4,0.8173950746744714,10
std_gp,27,0.7224235271535047,14
std_gp,26,0.7018304824077519,16
dkl_finetune,10,0.7007991490368339,24
dkl_finetune,11,0.7236707407317446,14
dkl_finetune,1,0.7007991490368339,21
dkl_finetune,0,0.7018304824077519,14
dkl_finetune,12,0.7127550601862147,15
dkl_finetune,13,0.7018304824077519,19
dkl_finetune,15,0.7439839246275826,19
dkl_finetune,14,0.7018304824077519,14
random,0,0.7018304824077519,10
random,1,0.7127550601862147,9
dkl_frozen,9,0.7018304824077519,17
dkl_frozen,8,0.7178194661151867,7
dkl_frozen,4,0.8173950746744714,9
dkl_frozen,5,0.7018304824077519,7
dkl_frozen,7,0.7127550601862147,17
dkl_frozen,6,0.7127550601862147,15
dkl_finetune,9,0.7018304824077519,18
dkl_frozen,0,0.7018304824077519,11
dkl_finetune,8,0.7235082084824541,18
dkl_finetune,7,0.7224235271535047,17
dkl_finetune,3,0.7007991490368339,13
dkl_finetune,4,0.7235082084824541,15
dkl_finetune,6,0.7007991490368339,18
dkl_finetune,5,0.7018304824077519,20
dkl_finetune,28,0.7357934650845026,10
dkl_finetune,29,0.7007991490368339,12
dkl_finetune,27,0.7007991490368339,23
dkl_finetune,26,0.7018304824077519,18
dkl_finetune,23,0.716562836250253,17
std_gp,8,0.7018304824077519,5
dkl_finetune,25,0.7018304824077519,12
dkl_finetune,24,0.7018304824077519,13
random,6,0.7127550601862147,7
random,7,0.7553905969066057,9
std_gp,5,0.7924759567837498,10
random,5,0.7178194661151867,9
random,8,0.7880152919562426,7
random,9,0.809070509528008,3
std_gp,1,0.7557647052840255,7
std_gp,0,0.7018304824077519,11
random,3,0.7658349537109039,6
random,4,0.7224235271535047,11
random,29,0.7224235271535047,3
random,28,0.7127550601862147,8
random,24,0.7127550601862147,4
random,25,0.7235082084824541,4
random,27,0.7236707407317446,5
random,26,0.7018304824077519,5
std_gp,16,0.716562836250253,12
std_gp,17,0.7018304824077519,11
std_gp,15,0.7018304824077519,13
std_gp,14,0.76324319445811,8
std_gp,10,0.7007991490368339,19
std_gp,11,0.795776308317634,3
std_gp,13,0.7127550601862147,12
std_gp,12,0.7127550601862147,15
dkl_finetune,21,0.7018304824077519,20
dkl_finetune,22,0.7007991490368339,14
dkl_finetune,20,0.716562836250253,17
dkl_finetune,2,0.7018304824077519,10
dkl_finetune,16,0.76324319445811,14
dkl_finetune,17,0.7007991490368339,11
dkl_finetune,19,0.7007991490368339,21
dkl_finetune,18,0.7018304824077519,13
std_gp,2,0.7018304824077519,8
std_gp,20,0.8103816990398838,6
std_gp,19,0.7236707407317446,7
std_gp,18,0.7557647052840255,8
std_gp,21,0.783154166423321,7
std_gp,22,0.7007991490368339,14
std_gp,24,0.7018304824077519,12
std_gp,23,0.7553905969066057,8
