task,method,seed,regret_auc,final_best,final_top50,final_top10pct
gap_max,dkl_cold_live,0,1.86413996,20.301832,15,29
gap_max,dkl_cold_live,1,5.454201749999999,20.301832,11,32
gap_max,dkl_cold_live,2,2.61708619,20.301832,7,25
gap_max,dkl_cold_live,3,1.18787063,20.301832,10,16
gap_max,dkl_cold_live,4,0.67680132,20.301832,5,15
gap_max,dkl_cold_live,5,8.091334400000001,19.720338,9,31
gap_max,dkl_cold_live,6,1.27273597,20.301832,8,20
gap_max,dkl_cold_live,7,5.27142079,20.301832,6,23
gap_max,dkl_cold_live,8,11.458905600000001,9.232045,3,14
gap_max,dkl_cold_live,9,4.461116680000001,20.301832,11,32
gap_max,dkl_finetune,0,2.34663898,20.301832,12,31
gap_max,dkl_finetune,1,1.5335627100000002,20.301832,11,27
gap_max,dkl_finetune,2,5.47735264,20.301832,14,32
gap_max,dkl_finetune,3,1.24942182,20.301832,13,23
gap_max,dkl_finetune,4,1.23521692,20.301832,7,15
gap_max,dkl_finetune,5,2.58390761,20.301832,8,20
gap_max,dkl_finetune,6,4.06675343,20.301832,7,24
gap_max,dkl_finetune,7,3.0389303600000006,20.301832,6,26
gap_max,dkl_finetune,8,5.608258710000001,20.301832,10,24
gap_max,dkl_finetune,9,9.010545640000002,19.720338,5,31
gap_max,dkl_frozen,0,4.05379973,20.301832,21,43
gap_max,dkl_frozen,1,0.7294608300000002,20.301832,22,47
gap_max,dkl_frozen,2,0.9682902400000001,20.301832,18,45
gap_max,dkl_frozen,3,2.1026371300000006,20.301832,25,47
gap_max,dkl_frozen,4,1.22021194,20.301832,20,41
gap_max,dkl_frozen,5,2.46695836,20.301832,19,47
gap_max,dkl_frozen,6,4.906096390000001,20.301832,19,44
gap_max,dkl_frozen,7,4.511428210000001,20.301832,21,52
gap_max,dkl_frozen,8,2.82214786,20.301832,23,43
gap_max,dkl_frozen,9,4.29006083,20.301832,17,36
gap_max,random,0,11.632913209999996,9.232045,2,13
gap_max,random,1,10.107935900000003,14.425131,2,11
gap_max,random,2,11.930553719999999,8.707246,1,5
gap_max,random,3,11.978894999999998,8.322937,0,7
