task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,dkl,5,1,SM-12783,3.612111,ei,3.810784,11,False,False,0,0,0.253,0.158
gap_max,dkl,5,2,SM-11382,2.145506,ei,3.810784,12,False,False,0,0,0.178,0.142
gap_max,dkl,5,3,SM-16855,3.90422,ei,3.90422,13,False,False,0,0,0.2,0.136
gap_max,dkl,5,4,SM-15277,3.309902,ei,3.90422,14,False,False,0,0,0.246,0.124
gap_max,dkl,5,5,SM-7028,5.616336,ei,5.616336,15,False,True,0,1,0.183,0.129
gap_max,dkl,5,6,SM-16055,4.624708999999999,ei,5.616336,16,False,True,0,2,0.212,0.162
gap_max,dkl,5,7,SM-16114,0.7610479999999997,ei,5.616336,17,False,False,0,2,0.296,0.154
gap_max,dkl,5,8,SM-246,4.831567,ei,5.616336,18,False,True,0,3,0.256,0.177
gap_max,dkl,5,9,SM-7023,5.650826,ei,5.650826,19,False,True,0,4,0.32,0.172
gap_max,dkl,5,10,SM-572,5.821614,ei,5.821614,20,False,True,0,5,0.284,0.151
gap_max,dkl,5,11,SM-5481,5.324555,ei,5.821614,21,False,True,0,6,0.255,0.14
gap_max,dkl,5,12,SM-8163,3.665933,ei,5.821614,22,False,False,0,6,0.257,0.155
gap_max,dkl,5,13,SM-16257,6.376062,ei,6.376062,23,False,True,0,7,0.248,0.183
gap_max,dkl,5,14,SM-18495,7.025251000000001,ei,7.025251000000001,24,False,True,0,8,0.32,0.151
gap_max,dkl,5,15,SM-13677,7.8290489999999995,ei,7.8290489999999995,25,True,True,1,9,0.273,0.152
gap_max,dkl,5,16,SM-13676,8.096962999999999,ei,8.096962999999999,26,True,True,2,10,0.302,0.141
gap_max,dkl,5,17,SM-19770,7.586683,ei,8.096962999999999,27,True,True,3,11,0.257,0.18
gap_max,dkl,5,18,SM-5002,20.301832,ei,20.301832,28,True,True,4,12,0.361,0.156
gap_max,dkl,5,19,SM-5003,19.720338,ei,20.301832,29,True,True,5,13,0.305,0.153
gap_max,dkl,5,20,SM-7136,9.59711,ei,20.301832,30,True,True,6,14,0.305,0.178
gap_max,dkl,5,21,SM-969,5.51894,ei,20.301832,31,False,True,6,15,0.263,0.132
gap_max,dkl,5,22,SM-19481,3.185315,ei,20.301832,32,False,False,6,15,0.222,0.154
gap_max,dkl,5,23,SM-5013,14.425131,ei,20.301832,33,True,True,7,16,0.269,0.165
gap_max,dkl,5,24,SM-19442,9.062868,ei,20.301832,34,True,True,8,17,0.318,0.154
gap_max,dkl,5,25,SM-5015,15.527824,ei,20.301832,35,True,True,9,18,0.271,0.154
gap_max,dkl,5,26,SM-6445,0.888219,ei,20.301832,36,False,False,9,18,0.298,0.148
gap_max,dkl,5,27,SM-5329,0.638139,ei,20.301832,37,False,False,9,18,0.329,0.154
gap_max,dkl,5,28,SM-3955,6.86109,ei,20.301832,38,False,True,9,19,0.233,0.156
gap_max,dkl,5,29,SM-19816,4.432727,ei,20.301832,39,False,True,9,20,0.229,0.154
gap_max,dkl,5,30,SM-20451,5.007534,ei,20.301832,40,False,True,9,21,0.334,0.207
gap_max,dkl,5,31,SM-16648,3.673034,ei,20.301832,41,False,False,9,21,0.394,0.153
gap_max,dkl,5,32,SM-6443,3.685194,ei,20.301832,42,False,False,9,21,0.298,0.15
gap_max,dkl,5,33,SM-877,7.310895,ei,20.301832,43,False,True,9,22,0.33,0.175
gap_max,dkl,5,34,SM-6383,4.132786,ei,20.301832,44,False,False,9,22,0.324,0.154
gap_max,dkl,5,35,SM-6442,8.541847,ei,20.301832,45,True,True,10,23,0.269,0.153
gap_max,dkl,5,36,SM-4986,1.0244899999999992,ei,20.301832,46,False,False,10,23,0.296,0.172
gap_max,dkl,5,37,SM-7334,0.766549,ei,20.301832,47,False,False,10,23,0.303,0.149
gap_max,dkl,5,38,SM-19412,6.52608,ei,20.301832,48,False,True,10,24,0.367,0.162
gap_max,dkl,5,39,SM-19488,0.0608,ei,20.301832,49,False,False,10,24,0.358,0.15
gap_max,dkl,5,40,SM-19831,5.635238,ei,20.301832,50,False,True,10,25,0.339,0.157
gap_max,dkl,5,41,SM-19225,8.129306,ei,20.301832,51,True,True,11,26,0.316,0.153
gap_max,dkl,5,42,SM-19810,1.374001,ei,20.301832,52,False,False,11,26,0.339,0.172
gap_max,dkl,5,43,SM-5038,9.232045,ei,20.301832,53,True,True,12,27,0.353,0.146
gap_max,dkl,5,44,SM-19223,8.001821,ei,20.301832,54,True,True,13,28,0.305,0.168
gap_max,dkl,5,45,SM-19408,1.626686,ei,20.301832,55,False,False,13,28,0.252,0.14
gap_max,dkl,5,46,SM-996,4.548798,ei,20.301832,56,False,True,13,29,0.248,0.141
gap_max,dkl,5,47,SM-928,9.700831,ei,20.301832,57,True,True,14,30,0.319,0.166
gap_max,dkl,5,48,SM-19555,2.851659,ei,20.301832,58,False,False,14,30,0.281,0.168
gap_max,dkl,5,49,SM-5314,3.773283,ei,20.301832,59,False,False,14,30,0.344,0.163
gap_max,dkl,5,50,SM-256,2.577358,ei,20.301832,60,False,False,14,30,0.307,0.139
gap_max,dkl,5,51,SM-6542,6.834356,ei,20.301832,61,False,True,14,31,0.334,0.147
gap_max,dkl,5,52,SM-4783,4.754414,ei,20.301832,62,False,True,14,32,0.395,0.203
gap_max,dkl,5,53,SM-19228,9.022588,ei,20.301832,63,True,True,15,33,0.455,0.192
gap_max,dkl,5,54,SM-12534,3.216748,ei,20.301832,64,False,False,15,33,0.394,0.123
gap_max,dkl,5,55,SM-3063,2.824832,ei,20.301832,65,False,False,15,33,0.232,0.126
gap_max,dkl,5,56,SM-1967,3.346886,ei,20.301832,66,False,False,15,33,0.221,0.117
gap_max,dkl,5,57,SM-4992,10.280692,ei,20.301832,67,True,True,16,34,0.239,0.127
gap_max,dkl,5,58,SM-492,3.040209,ei,20.301832,68,False,False,16,34,0.254,0.148
gap_max,dkl,5,59,SM-958,10.323668,ei,20.301832,69,True,True,17,35,0.345,0.138
gap_max,dkl,5,60,SM-20226,0.056917,ei,20.301832,70,False,False,17,35,0.474,0.147
gap_max,dkl,5,61,SM-13994,1.4748999999999999,ei,20.301832,71,False,False,17,35,0.745,0.2
gap_max,dkl,5,62,SM-318,1.679112,ei,20.301832,72,False,False,17,35,1.052,0.204
gap_max,dkl,5,63,SM-11868,4.896877,ei,20.301832,73,False,True,17,36,0.417,0.186
gap_max,dkl,5,64,SM-6439,3.300555,ei,20.301832,74,False,False,17,36,0.337,0.174
gap_max,dkl,5,65,SM-3842,1.018738,ei,20.301832,75,False,False,17,36,0.314,0.174
gap_max,dkl,5,66,SM-18683,0.5564990000000005,ei,20.301832,76,False,False,17,36,0.709,0.256
gap_max,dkl,5,67,SM-5777,1.594994,ei,20.301832,77,False,False,17,36,0.366,0.151
gap_max,dkl,5,68,SM-6232,0.164492,ei,20.301832,78,False,False,17,36,0.245,0.164
gap_max,dkl,5,69,SM-19807,1.473815,ei,20.301832,79,False,False,17,36,0.525,0.184
gap_max,dkl,5,70,SM-8295,3.216128,ei,20.301832,80,False,False,17,36,0.618,0.202
gap_max,dkl,5,71,SM-14181,6.221697,ei,20.301832,81,False,True,17,37,0.594,0.191
gap_max,dkl,5,72,SM-2396,2.651607,ei,20.301832,82,False,False,17,37,0.579,0.219
gap_max,dkl,5,73,SM-12760,1.220274,ei,20.301832,83,False,False,17,37,0.789,0.203
gap_max,dkl,5,74,SM-4283,3.141129,ei,20.301832,84,False,False,17,37,0.38,0.182
gap_max,dkl,5,75,SM-841,4.528249,ei,20.301832,85,False,True,17,38,0.522,0.182
gap_max,dkl,5,76,SM-919,9.697908,ei,20.301832,86,True,True,18,39,0.711,0.239
gap_max,dkl,5,77,SM-19098,1.776609,ei,20.301832,87,False,False,18,39,0.592,0.19
gap_max,dkl,5,78,SM-993,5.200547,ei,20.301832,88,False,True,18,40,0.694,0.168
