task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,random,8,1,SM-8276,3.041588,random,4.928959,11,False,False,0,0,0.0,0.0
gap_max,random,8,2,SM-1431,0.056063,random,4.928959,12,False,False,0,0,0.0,0.0
gap_max,random,8,3,SM-12111,3.139372,random,4.928959,13,False,False,0,0,0.0,0.0
gap_max,random,8,4,SM-2957,2.798494,random,4.928959,14,False,False,0,0,0.0,0.0
gap_max,random,8,5,SM-10819,2.678355,random,4.928959,15,False,False,0,0,0.0,0.0
gap_max,random,8,6,SM-12345,3.643544,random,4.928959,16,False,False,0,0,0.0,0.0
gap_max,random,8,7,SM-16942,3.468695,random,4.928959,17,False,False,0,0,0.0,0.0
gap_max,random,8,8,SM-20577,0.113321,random,4.928959,18,False,False,0,0,0.0,0.0
gap_max,random,8,9,SM-12076,4.503659,random,4.928959,19,False,True,0,1,0.0,0.0
gap_max,random,8,10,SM-15865,4.018929,random,4.928959,20,False,False,0,1,0.0,0.0
gap_max,random,8,11,SM-8960,2.678077,random,4.928959,21,False,False,0,1,0.0,0.0
gap_max,random,8,12,SM-16208,2.0404340000000003,random,4.928959,22,False,False,0,1,0.0,0.0
gap_max,random,8,13,SM-5440,0.154795,random,4.928959,23,False,False,0,1,0.0,0.0
gap_max,random,8,14,SM-284,2.861081,random,4.928959,24,False,False,0,1,0.0,0.0
gap_max,random,8,15,SM-16378,4.356528,random,4.928959,25,False,False,0,1,0.0,0.0
gap_max,random,8,16,SM-18203,3.697005,random,4.928959,26,False,False,0,1,0.0,0.0
gap_max,random,8,17,SM-1153,0.856,random,4.928959,27,False,False,0,1,0.0,0.0
gap_max,random,8,18,SM-10226,3.0233640000000004,random,4.928959,28,False,False,0,1,0.0,0.0
gap_max,random,8,19,SM-11681,3.703882,random,4.928959,29,False,False,0,1,0.0,0.0
gap_max,random,8,20,SM-20045,3.899172,random,4.928959,30,False,False,0,1,0.0,0.0
gap_max,random,8,21,SM-8035,2.411844,random,4.928959,31,False,False,0,1,0.0,0.0
gap_max,random,8,22,SM-2265,2.389947,random,4.928959,32,False,False,0,1,0.0,0.0
gap_max,random,8,23,SM-4669,3.440903,random,4.928959,33,False,False,0,1,0.0,0.0
gap_max,random,8,24,SM-407,1.661678,random,4.928959,34,False,False,0,1,0.0,0.0
gap_max,random,8,25,SM-19137,6.040539,random,6.040539,35,False,True,0,2,0.0,0.0
gap_max,random,8,26,SM-12881,3.237942,random,6.040539,36,False,False,0,2,0.0,0.0
gap_max,random,8,27,SM-19344,4.048149,random,6.040539,37,False,False,0,2,0.0,0.0
gap_max,random,8,28,SM-13655,5.1224039999999995,random,6.040539,38,False,True,0,3,0.0,0.0
gap_max,random,8,29,SM-10969,2.083132,random,6.040539,39,False,False,0,3,0.0,0.0
gap_max,random,8,30,SM-12070,1.120573,random,6.040539,40,False,False,0,3,0.0,0.0
gap_max,random,8,31,SM-9568,1.827101,random,6.040539,41,False,False,0,3,0.0,0.0
gap_max,random,8,32,SM-4661,3.963926,random,6.040539,42,False,False,0,3,0.0,0.0
gap_max,random,8,33,SM-13674,7.7012529999999995,random,7.7012529999999995,43,True,True,1,4,0.0,0.0
gap_max,random,8,34,SM-9927,1.615226,random,7.7012529999999995,44,False,False,1,4,0.0,0.0
gap_max,random,8,35,SM-4679,3.733113,random,7.7012529999999995,45,False,False,1,4,0.0,0.0
gap_max,random,8,36,SM-15486,3.273438,random,7.7012529999999995,46,False,False,1,4,0.0,0.0
gap_max,random,8,37,SM-20458,1.719492,random,7.7012529999999995,47,False,False,1,4,0.0,0.0
gap_max,random,8,38,SM-3848,0.401209,random,7.7012529999999995,48,False,False,1,4,0.0,0.0
gap_max,random,8,39,SM-14764,0.4519120000000001,random,7.7012529999999995,49,False,False,1,4,0.0,0.0
gap_max,random,8,40,SM-8258,0.261163,random,7.7012529999999995,50,False,False,1,4,0.0,0.0
gap_max,random,8,41,SM-9884,1.159275,random,7.7012529999999995,51,False,False,1,4,0.0,0.0
gap_max,random,8,42,SM-656,1.105876,random,7.7012529999999995,52,False,False,1,4,0.0,0.0
gap_max,random,8,43,SM-11506,1.397586,random,7.7012529999999995,53,False,False,1,4,0.0,0.0
