task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,std_gp,4,1,SM-1991,8.851422,ei,8.851422,11,True,True,1,1,0.346,0.167
gap_max,std_gp,4,2,SM-2186,3.440588,ei,8.851422,12,False,False,1,1,0.245,0.178
gap_max,std_gp,4,3,SM-14338,5.030977,ei,8.851422,13,False,True,1,2,0.224,0.167
gap_max,std_gp,4,4,SM-9256,3.875435,ei,8.851422,14,False,False,1,2,0.21,0.158
gap_max,std_gp,4,5,SM-20492,7.315039,ei,8.851422,15,False,True,1,3,0.203,0.157
gap_max,std_gp,4,6,SM-19446,9.069159,ei,9.069159,16,True,True,2,4,0.206,0.151
gap_max,std_gp,4,7,SM-943,8.707246,ei,9.069159,17,True,True,3,5,0.205,0.159
gap_max,std_gp,4,8,SM-11840,4.127183,ei,9.069159,18,False,False,3,5,0.279,0.165
gap_max,std_gp,4,9,SM-16363,4.023165,ei,9.069159,19,False,False,3,5,0.308,0.203
gap_max,std_gp,4,10,SM-940,9.880963,ei,9.880963,20,True,True,4,6,0.238,0.203
gap_max,std_gp,4,11,SM-2362,8.079976,ei,9.880963,21,True,True,5,7,0.264,0.186
gap_max,std_gp,4,12,SM-12400,3.063908,ei,9.880963,22,False,False,5,7,0.209,0.168
gap_max,std_gp,4,13,SM-965,7.869972,ei,9.880963,23,True,True,6,8,0.285,0.156
gap_max,std_gp,4,14,SM-10956,1.467041,ei,9.880963,24,False,False,6,8,0.233,0.155
gap_max,std_gp,4,15,SM-877,7.310895,ei,9.880963,25,False,True,6,9,0.22,0.157
gap_max,std_gp,4,16,SM-14386,3.701888,ei,9.880963,26,False,False,6,9,0.248,0.159
gap_max,std_gp,4,17,SM-2408,7.416172,ei,9.880963,27,False,True,6,10,0.307,0.167
gap_max,std_gp,4,18,SM-12380,3.066091,ei,9.880963,28,False,False,6,10,0.254,0.165
gap_max,std_gp,4,19,SM-16304,8.070251,ei,9.880963,29,True,True,7,11,0.275,0.313
gap_max,std_gp,4,20,SM-20548,4.817306,ei,9.880963,30,False,True,7,12,0.736,0.227
gap_max,std_gp,4,21,SM-894,2.97816,ei,9.880963,31,False,False,7,12,0.578,0.186
gap_max,std_gp,4,22,SM-13079,3.901584,ei,9.880963,32,False,False,7,12,0.369,0.157
gap_max,std_gp,4,23,SM-19450,8.664811,ei,9.880963,33,True,True,8,13,0.32,0.191
gap_max,std_gp,4,24,SM-928,9.700831,ei,9.880963,34,True,True,9,14,0.222,0.153
gap_max,std_gp,4,25,SM-14116,8.967614,ei,9.880963,35,True,True,10,15,0.217,0.148
gap_max,std_gp,4,26,SM-958,10.323668,ei,10.323668,36,True,True,11,16,0.279,0.179
gap_max,std_gp,4,27,SM-936,9.168098,ei,10.323668,37,True,True,12,17,0.281,0.169
gap_max,std_gp,4,28,SM-3750,0.563227,ei,10.323668,38,False,False,12,17,0.214,0.163
gap_max,std_gp,4,29,SM-19442,9.062868,ei,10.323668,39,True,True,13,18,0.316,0.177
gap_max,std_gp,4,30,SM-2277,4.836982,ei,10.323668,40,False,True,13,19,0.337,0.18
gap_max,std_gp,4,31,SM-919,9.697908,ei,10.323668,41,True,True,14,20,0.605,0.173
gap_max,std_gp,4,32,SM-873,10.044108,ei,10.323668,42,True,True,15,21,0.282,0.207
gap_max,std_gp,4,33,SM-19332,6.547825,ei,10.323668,43,False,True,15,22,0.374,0.142
gap_max,std_gp,4,34,SM-13676,8.096962999999999,ei,10.323668,44,True,True,16,23,0.243,0.14
gap_max,std_gp,4,35,SM-841,4.528249,ei,10.323668,45,False,True,16,24,0.257,0.163
gap_max,std_gp,4,36,SM-7136,9.59711,ei,10.323668,46,True,True,17,25,0.192,0.159
gap_max,std_gp,4,37,SM-11095,3.822364,ei,10.323668,47,False,False,17,25,0.41,0.15
gap_max,std_gp,4,38,SM-969,5.51894,ei,10.323668,48,False,True,17,26,0.359,0.233
gap_max,std_gp,4,39,SM-16368,6.29565,ei,10.323668,49,False,True,17,27,0.382,0.157
gap_max,std_gp,4,40,SM-2407,1.382362,ei,10.323668,50,False,False,17,27,0.496,0.2
gap_max,std_gp,4,41,SM-6442,8.541847,ei,10.323668,51,True,True,18,28,0.353,0.182
gap_max,std_gp,4,42,SM-1917,3.631973,ei,10.323668,52,False,False,18,28,0.484,0.132
gap_max,std_gp,4,43,SM-13895,6.659919,ei,10.323668,53,False,True,18,29,0.27,0.159
gap_max,std_gp,4,44,SM-16226,4.110841,ei,10.323668,54,False,False,18,29,0.461,0.165
gap_max,std_gp,4,45,SM-19982,2.224544,ei,10.323668,55,False,False,18,29,0.392,0.263
gap_max,std_gp,4,46,SM-16784,2.626493,ei,10.323668,56,False,False,18,29,0.391,0.176
gap_max,std_gp,4,47,SM-16942,3.468695,ei,10.323668,57,False,False,18,29,0.592,0.181
gap_max,std_gp,4,48,SM-11827,1.816167,ei,10.323668,58,False,False,18,29,0.298,0.173
gap_max,std_gp,4,49,SM-5481,5.324555,ei,10.323668,59,False,True,18,30,0.573,0.15
gap_max,std_gp,4,50,SM-948,3.615009,ei,10.323668,60,False,False,18,30,0.437,0.188
gap_max,std_gp,4,51,SM-1881,4.67602,ei,10.323668,61,False,True,18,31,0.571,0.273
gap_max,std_gp,4,52,SM-15928,3.821802,ei,10.323668,62,False,False,18,31,0.399,0.146
gap_max,std_gp,4,53,SM-12352,1.527922,ei,10.323668,63,False,False,18,31,0.319,0.13
gap_max,std_gp,4,54,SM-18403,2.4823769999999996,ei,10.323668,64,False,False,18,31,0.279,0.179
gap_max,std_gp,4,55,SM-15361,4.028737,ei,10.323668,65,False,False,18,31,0.258,0.167
gap_max,std_gp,4,56,SM-517,4.973311,ei,10.323668,66,False,True,18,32,0.244,0.224
gap_max,std_gp,4,57,SM-1274,3.684046,ei,10.323668,67,False,False,18,32,0.329,0.185
gap_max,std_gp,4,58,SM-18097,2.543317,ei,10.323668,68,False,False,18,32,0.081,0.181
gap_max,std_gp,4,59,SM-16244,3.527581,ei,10.323668,69,False,False,18,32,0.175,0.162
gap_max,std_gp,4,60,SM-13117,3.134061,ei,10.323668,70,False,False,18,32,0.093,0.248
gap_max,std_gp,4,61,SM-9353,2.685137,ei,10.323668,71,False,False,18,32,0.189,0.223
gap_max,std_gp,4,62,SM-19451,8.633286,ei,10.323668,72,True,True,19,33,0.224,0.173
gap_max,std_gp,4,63,SM-12246,3.810718,ei,10.323668,73,False,False,19,33,0.086,0.152
gap_max,std_gp,4,64,SM-492,3.040209,ei,10.323668,74,False,False,19,33,0.1,0.123
gap_max,std_gp,4,65,SM-15742,4.515572000000001,ei,10.323668,75,False,True,19,34,0.099,0.147
gap_max,std_gp,4,66,SM-13214,4.866666,ei,10.323668,76,False,True,19,35,0.073,0.152
gap_max,std_gp,4,67,SM-2128,2.81117,ei,10.323668,77,False,False,19,35,0.079,0.154
gap_max,std_gp,4,68,SM-4673,3.733653,ei,10.323668,78,False,False,19,35,0.105,0.143
gap_max,std_gp,4,69,SM-4828,4.454755,ei,10.323668,79,False,True,19,36,0.09,0.129
gap_max,std_gp,4,70,SM-12849,3.406011,ei,10.323668,80,False,False,19,36,0.079,0.127
gap_max,std_gp,4,71,SM-6014,3.077884,ei,10.323668,81,False,False,19,36,0.094,0.12
gap_max,std_gp,4,72,SM-2171,0.84505,ei,10.323668,82,False,False,19,36,0.091,0.163
gap_max,std_gp,4,73,SM-938,5.700419,ei,10.323668,83,False,True,19,37,0.192,0.136
gap_max,std_gp,4,74,SM-11099,3.232053,ei,10.323668,84,False,False,19,37,0.133,0.126
gap_max,std_gp,4,75,SM-12343,3.078886,ei,10.323668,85,False,False,19,37,0.241,0.117
gap_max,std_gp,4,76,SM-2405,1.125768,ei,10.323668,86,False,False,19,37,0.257,0.129
gap_max,std_gp,4,77,SM-13677,7.8290489999999995,ei,10.323668,87,True,True,20,38,0.421,0.181
gap_max,std_gp,4,78,SM-18495,7.025251000000001,ei,10.323668,88,False,True,20,39,0.439,0.186
gap_max,std_gp,4,79,SM-1011,2.330739,ei,10.323668,89,False,False,20,39,0.473,0.15
gap_max,std_gp,4,80,SM-14784,6.788829,ei,10.323668,90,False,True,20,40,0.236,0.128
gap_max,std_gp,4,81,SM-14437,3.5032940000000004,ei,10.323668,91,False,False,20,40,0.272,0.142
gap_max,std_gp,4,82,SM-628,2.945794,ei,10.323668,92,False,False,20,40,0.366,0.202
gap_max,std_gp,4,83,SM-17178,3.869446,ei,10.323668,93,False,False,20,40,0.509,0.144
gap_max,std_gp,4,84,SM-2266,2.345559,ei,10.323668,94,False,False,20,40,0.345,0.188
gap_max,std_gp,4,85,SM-4746,3.979219,ei,10.323668,95,False,False,20,40,0.425,0.159
gap_max,std_gp,4,86,SM-13396,2.403329,ei,10.323668,96,False,False,20,40,0.33,0.155
gap_max,std_gp,4,87,SM-2129,2.897303,ei,10.323668,97,False,False,20,40,0.117,0.16
gap_max,std_gp,4,88,SM-13213,4.986295,ei,10.323668,98,False,True,20,41,0.118,0.165
gap_max,std_gp,4,89,SM-16535,0.657832,ei,10.323668,99,False,False,20,41,0.095,0.158
gap_max,std_gp,4,90,SM-20226,0.056917,ei,10.323668,100,False,False,20,41,0.184,0.176
gap_max,std_gp,4,91,SM-12165,3.983241,ei,10.323668,101,False,False,20,41,0.136,0.141
gap_max,std_gp,4,92,SM-18621,3.726601,ei,10.323668,102,False,False,20,41,0.073,0.258
gap_max,std_gp,4,93,SM-11894,2.805369,ei,10.323668,103,False,False,20,41,0.237,0.173
gap_max,std_gp,4,94,SM-20011,2.022913,ei,10.323668,104,False,False,20,41,0.456,0.194
gap_max,std_gp,4,95,SM-16072,3.669351,ei,10.323668,105,False,False,20,41,0.572,0.163
gap_max,std_gp,4,96,SM-15033,5.151481,ei,10.323668,106,False,True,20,42,0.083,0.167
gap_max,std_gp,4,97,SM-12577,3.230619,ei,10.323668,107,False,False,20,42,0.207,0.155
gap_max,std_gp,4,98,SM-1391,4.874448,ei,10.323668,108,False,True,20,43,0.189,0.174
gap_max,std_gp,4,99,SM-8720,3.481815,ei,10.323668,109,False,False,20,43,0.164,0.155
gap_max,std_gp,4,100,SM-15566,0.10260699999999989,ei,10.323668,110,False,False,20,43,0.402,0.154
