task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_min,dkl,9,1,SM-5846,2.518353,ei,0.524542,11,False,False,0,0,0.226,0.13
gap_min,dkl,9,2,SM-17480,3.5157629999999997,ei,0.524542,12,False,False,0,0,0.224,0.153
gap_min,dkl,9,3,SM-1250,1.818855,ei,0.524542,13,False,False,0,0,0.291,0.176
gap_min,dkl,9,4,SM-17367,3.4351139999999996,ei,0.524542,14,False,False,0,0,0.382,0.146
gap_min,dkl,9,5,SM-17368,2.687305,ei,0.524542,15,False,False,0,0,0.242,0.146
gap_min,dkl,9,6,SM-11466,3.49239,ei,0.524542,16,False,False,0,0,0.25,0.153
gap_min,dkl,9,7,SM-14531,0.551307,ei,0.524542,17,False,True,0,1,0.268,0.164
gap_min,dkl,9,8,SM-3501,0.667699,ei,0.524542,18,False,True,0,2,0.253,0.156
gap_min,dkl,9,9,SM-3028,0.687133,ei,0.524542,19,False,True,0,3,0.28,0.166
gap_min,dkl,9,10,SM-3483,3.326125,ei,0.524542,20,False,False,0,3,0.27,0.158
gap_min,dkl,9,11,SM-17372,2.5730299999999997,ei,0.524542,21,False,False,0,3,0.244,0.146
gap_min,dkl,9,12,SM-12923,3.881146,ei,0.524542,22,False,False,0,3,0.248,0.159
gap_min,dkl,9,13,SM-3460,4.16267,ei,0.524542,23,False,False,0,3,0.267,0.163
gap_min,dkl,9,14,SM-9296,2.536229,ei,0.524542,24,False,False,0,3,0.283,0.149
gap_min,dkl,9,15,SM-18890,3.978773,ei,0.524542,25,False,False,0,3,0.276,0.187
gap_min,dkl,9,16,SM-3506,1.030737,ei,0.524542,26,False,False,0,3,0.356,0.172
gap_min,dkl,9,17,SM-13789,3.51774,ei,0.524542,27,False,False,0,3,0.278,0.15
gap_min,dkl,9,18,SM-12484,3.375099,ei,0.524542,28,False,False,0,3,0.247,0.136
gap_min,dkl,9,19,SM-20412,0.404965,ei,0.404965,29,False,True,0,4,0.207,0.15
gap_min,dkl,9,20,SM-2538,3.457296,ei,0.404965,30,False,False,0,4,0.274,0.159
gap_min,dkl,9,21,SM-4112,2.97382,ei,0.404965,31,False,False,0,4,0.251,0.163
gap_min,dkl,9,22,SM-3114,1.330101,ei,0.404965,32,False,False,0,4,0.25,0.155
gap_min,dkl,9,23,SM-12665,1.8534940000000004,ei,0.404965,33,False,False,0,4,0.225,0.14
gap_min,dkl,9,24,SM-20088,0.82674,ei,0.404965,34,False,True,0,5,0.188,0.141
gap_min,dkl,9,25,SM-20094,2.461844,ei,0.404965,35,False,False,0,5,0.192,0.17
gap_min,dkl,9,26,SM-11264,3.168754,ei,0.404965,36,False,False,0,5,0.262,0.159
gap_min,dkl,9,27,SM-12448,3.478282,ei,0.404965,37,False,False,0,5,0.389,0.166
gap_min,dkl,9,28,SM-1959,3.991617,ei,0.404965,38,False,False,0,5,0.329,0.151
gap_min,dkl,9,29,SM-16363,4.023165,ei,0.404965,39,False,False,0,5,0.415,0.181
gap_min,dkl,9,30,SM-893,2.986603,ei,0.404965,40,False,False,0,5,0.396,0.178
