task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_min,std_gp,4,1,SM-4992,10.280692,ei,0.856,11,False,False,0,0,0.239,0.149
gap_min,std_gp,4,2,SM-1132,2.499135,ei,0.856,12,False,False,0,0,0.239,0.163
gap_min,std_gp,4,3,SM-9054,2.089507,ei,0.856,13,False,False,0,0,0.235,0.153
gap_min,std_gp,4,4,SM-19923,3.109046,ei,0.856,14,False,False,0,0,0.324,0.15
gap_min,std_gp,4,5,SM-9634,3.37763,ei,0.856,15,False,False,0,0,0.239,0.152
gap_min,std_gp,4,6,SM-9884,1.159275,ei,0.856,16,False,False,0,0,0.248,0.166
gap_min,std_gp,4,7,SM-8901,1.522307,ei,0.856,17,False,False,0,0,0.25,0.159
gap_min,std_gp,4,8,SM-18731,2.699251,ei,0.856,18,False,False,0,0,0.219,0.179
gap_min,std_gp,4,9,SM-1296,1.220565,ei,0.856,19,False,False,0,0,0.261,0.183
gap_min,std_gp,4,10,SM-1194,2.184023,ei,0.856,20,False,False,0,0,0.243,0.183
gap_min,std_gp,4,11,SM-1364,0.322839,ei,0.322839,21,False,True,0,1,0.257,0.184
gap_min,std_gp,4,12,SM-19492,1.469404,ei,0.322839,22,False,False,0,1,0.297,0.175
gap_min,std_gp,4,13,SM-3388,3.17249,ei,0.322839,23,False,False,0,1,0.271,0.173
gap_min,std_gp,4,14,SM-8764,1.773484,ei,0.322839,24,False,False,0,1,0.22,0.159
gap_min,std_gp,4,15,SM-5795,0.827122,ei,0.322839,25,False,True,0,2,0.242,0.178
gap_min,std_gp,4,16,SM-12081,3.696728,ei,0.322839,26,False,False,0,2,0.275,0.179
gap_min,std_gp,4,17,SM-1534,1.634797,ei,0.322839,27,False,False,0,2,0.234,0.165
gap_min,std_gp,4,18,SM-1276,4.55563,ei,0.322839,28,False,False,0,2,0.253,0.186
gap_min,std_gp,4,19,SM-19148,3.846373,ei,0.322839,29,False,False,0,2,0.25,0.167
gap_min,std_gp,4,20,SM-17288,1.086566,ei,0.322839,30,False,False,0,2,0.286,0.188
gap_min,std_gp,4,21,SM-8945,3.060619,ei,0.322839,31,False,False,0,2,0.263,0.187
gap_min,std_gp,4,22,SM-19810,1.374001,ei,0.322839,32,False,False,0,2,0.493,0.215
gap_min,std_gp,4,23,SM-16753,1.1900439999999994,ei,0.322839,33,False,False,0,2,0.378,0.173
gap_min,std_gp,4,24,SM-1142,2.444185,ei,0.322839,34,False,False,0,2,0.23,0.172
gap_min,std_gp,4,25,SM-14042,1.1768239999999999,ei,0.322839,35,False,False,0,2,0.227,0.167
gap_min,std_gp,4,26,SM-19680,2.145698,ei,0.322839,36,False,False,0,2,0.231,0.16
gap_min,std_gp,4,27,SM-14610,0.6963809999999997,ei,0.322839,37,False,True,0,3,0.228,0.163
gap_min,std_gp,4,28,SM-14979,0.9094239999999996,ei,0.322839,38,False,True,0,4,0.224,0.163
gap_min,std_gp,4,29,SM-14619,1.0003509999999993,ei,0.322839,39,False,False,0,4,0.311,0.21
gap_min,std_gp,4,30,SM-4434,0.878733,ei,0.322839,40,False,True,0,5,0.349,0.167
gap_min,std_gp,4,31,SM-17492,1.131399,ei,0.322839,41,False,False,0,5,0.261,0.168
gap_min,std_gp,4,32,SM-7178,0.578579,ei,0.322839,42,False,True,0,6,0.32,0.21
gap_min,std_gp,4,33,SM-18777,0.2743820000000001,ei,0.2743820000000001,43,False,True,0,7,0.21,0.156
gap_min,std_gp,4,34,SM-17066,0.6295589999999995,ei,0.2743820000000001,44,False,True,0,8,0.197,0.163
gap_min,std_gp,4,35,SM-10171,0.638522,ei,0.2743820000000001,45,False,True,0,9,0.204,0.16
gap_min,std_gp,4,36,SM-4438,0.53363,ei,0.2743820000000001,46,False,True,0,10,0.197,0.151
gap_min,std_gp,4,37,SM-18574,1.620818,ei,0.2743820000000001,47,False,False,0,10,0.209,0.151
gap_min,std_gp,4,38,SM-14493,0.6105000000000009,ei,0.2743820000000001,48,False,True,0,11,0.203,0.159
gap_min,std_gp,4,39,SM-14645,0.802014999999999,ei,0.2743820000000001,49,False,True,0,12,0.243,0.159
