task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,dkl_cold_live,2,1,SM-19225,8.129306,ei,8.198204,11,True,True,1,1,1.476,0.017
gap_max,dkl_cold_live,2,2,SM-11616,4.085741,ei,8.198204,12,False,False,1,1,0.221,0.019
gap_max,dkl_cold_live,2,3,SM-11592,2.508661,ei,8.198204,13,False,False,1,1,0.147,0.016
gap_max,dkl_cold_live,2,4,SM-841,4.528249,ei,8.198204,14,False,True,1,2,0.128,0.015
gap_max,dkl_cold_live,2,5,SM-6442,8.541847,ei,8.541847,15,True,True,2,3,0.128,0.015
gap_max,dkl_cold_live,2,6,SM-2150,2.712083,ei,8.541847,16,False,False,2,3,1.163,0.021
gap_max,dkl_cold_live,2,7,SM-11694,4.634777,ei,8.541847,17,False,True,2,4,0.13,0.033
gap_max,dkl_cold_live,2,8,SM-19332,6.547825,ei,8.541847,18,False,True,2,5,0.122,0.015
gap_max,dkl_cold_live,2,9,SM-20350,2.385292,ei,8.541847,19,False,False,2,5,0.121,0.015
gap_max,dkl_cold_live,2,10,SM-13080,2.615943,ei,8.541847,20,False,False,2,5,0.121,0.015
gap_max,dkl_cold_live,2,11,SM-1808,4.054888,ei,8.541847,21,False,False,2,5,1.248,0.017
gap_max,dkl_cold_live,2,12,SM-955,7.001308,ei,8.541847,22,False,True,2,6,0.235,0.021
gap_max,dkl_cold_live,2,13,SM-4610,3.800688,ei,8.541847,23,False,False,2,6,0.15,0.017
gap_max,dkl_cold_live,2,14,SM-4719,3.132229,ei,8.541847,24,False,False,2,6,0.169,0.016
gap_max,dkl_cold_live,2,15,SM-1859,3.883864,ei,8.541847,25,False,False,2,6,0.158,0.017
gap_max,dkl_cold_live,2,16,SM-8534,0.273272,ei,8.541847,26,False,False,2,6,1.643,0.016
gap_max,dkl_cold_live,2,17,SM-11666,4.216027,ei,8.541847,27,False,False,2,6,0.124,0.018
gap_max,dkl_cold_live,2,18,SM-13401,4.707739,ei,8.541847,28,False,True,2,7,0.124,0.015
gap_max,dkl_cold_live,2,19,SM-1286,2.694411,ei,8.541847,29,False,False,2,7,0.122,0.02
gap_max,dkl_cold_live,2,20,SM-5216,1.161325,ei,8.541847,30,False,False,2,7,0.121,0.024
gap_max,dkl_cold_live,2,21,SM-996,4.548798,ei,8.541847,31,False,True,2,8,1.686,0.02
gap_max,dkl_cold_live,2,22,SM-5003,19.720338,ei,19.720338,32,True,True,3,9,0.161,0.025
