task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_min,dkl_cold_live,9,1,SM-14493,0.6105000000000009,ei,0.524542,11,False,True,0,1,1.45,0.016
gap_min,dkl_cold_live,9,2,SM-17368,2.687305,ei,0.524542,12,False,False,0,1,0.132,0.019
gap_min,dkl_cold_live,9,3,SM-5013,14.425131,ei,0.524542,13,False,False,0,1,0.121,0.015
gap_min,dkl_cold_live,9,4,SM-1250,1.818855,ei,0.524542,14,False,False,0,1,0.119,0.015
gap_min,dkl_cold_live,9,5,SM-19182,1.769728,ei,0.524542,15,False,False,0,1,0.127,0.015
gap_min,dkl_cold_live,9,6,SM-17066,0.6295589999999995,ei,0.524542,16,False,True,0,2,1.352,0.021
gap_min,dkl_cold_live,9,7,SM-10732,2.138427,ei,0.524542,17,False,False,0,2,0.129,0.016
gap_min,dkl_cold_live,9,8,SM-16985,0.236947,ei,0.236947,18,False,True,0,3,0.12,0.015
gap_min,dkl_cold_live,9,9,SM-5015,15.527824,ei,0.236947,19,False,False,0,3,0.12,0.015
gap_min,dkl_cold_live,9,10,SM-14610,0.6963809999999997,ei,0.236947,20,False,True,0,4,0.122,0.015
gap_min,dkl_cold_live,9,11,SM-17069,1.9467050000000006,ei,0.236947,21,False,False,0,4,1.627,0.017
gap_min,dkl_cold_live,9,12,SM-17088,0.954294,ei,0.236947,22,False,True,0,5,0.16,0.017
gap_min,dkl_cold_live,9,13,SM-15751,0.03871400000000058,ei,0.03871400000000058,23,True,True,1,6,0.154,0.021
gap_min,dkl_cold_live,9,14,SM-13591,0.3600949999999994,ei,0.03871400000000058,24,False,True,1,7,0.16,0.027
gap_min,dkl_cold_live,9,15,SM-588,1.824397,ei,0.03871400000000058,25,False,False,1,7,0.156,0.043
gap_min,dkl_cold_live,9,16,SM-5329,0.638139,ei,0.03871400000000058,26,False,True,1,8,1.825,0.017
gap_min,dkl_cold_live,9,17,SM-4418,0.581273,ei,0.03871400000000058,27,False,True,1,9,0.135,0.02
gap_min,dkl_cold_live,9,18,SM-14619,1.0003509999999993,ei,0.03871400000000058,28,False,False,1,9,0.123,0.016
gap_min,dkl_cold_live,9,19,SM-6713,0.191533,ei,0.03871400000000058,29,False,True,1,10,0.121,0.016
gap_min,dkl_cold_live,9,20,SM-4417,0.540873,ei,0.03871400000000058,30,False,True,1,11,0.138,0.026
gap_min,dkl_cold_live,9,21,SM-15769,0.13470300000000002,ei,0.03871400000000058,31,True,True,2,12,1.621,0.016
gap_min,dkl_cold_live,9,22,SM-1563,0.180829,ei,0.03871400000000058,32,True,True,3,13,0.156,0.017
gap_min,dkl_cold_live,9,23,SM-17065,0.8922460000000001,ei,0.03871400000000058,33,False,True,3,14,0.122,0.033
gap_min,dkl_cold_live,9,24,SM-1550,1.753143,ei,0.03871400000000058,34,False,False,3,14,0.121,0.016
gap_min,dkl_cold_live,9,25,SM-4303,0.42214,ei,0.03871400000000058,35,False,True,3,15,0.123,0.015
gap_min,dkl_cold_live,9,26,SM-20012,2.051781,ei,0.03871400000000058,36,False,False,3,15,1.691,0.016
gap_min,dkl_cold_live,9,27,SM-435,0.245883,ei,0.03871400000000058,37,False,True,3,16,0.125,0.016
gap_min,dkl_cold_live,9,28,SM-15785,0.15965000000000007,ei,0.03871400000000058,38,True,True,4,17,0.122,0.015
gap_min,dkl_cold_live,9,29,SM-20138,1.808427,ei,0.03871400000000058,39,False,False,4,17,0.122,0.016
gap_min,dkl_cold_live,9,30,SM-20011,2.022913,ei,0.03871400000000058,40,False,False,4,17,0.121,0.015
