task,method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s
gap_max,dkl_finetune,5,1,SM-10320,3.961257,ei,3.961257,11,False,False,0,0,1.265,0.016
gap_max,dkl_finetune,5,2,SM-5744,3.533126,ei,3.961257,12,False,False,0,0,0.142,0.015
gap_max,dkl_finetune,5,3,SM-12206,2.335457,ei,3.961257,13,False,False,0,0,0.12,0.016
gap_max,dkl_finetune,5,4,SM-9080,3.246685,ei,3.961257,14,False,False,0,0,0.12,0.016
gap_max,dkl_finetune,5,5,SM-13728,6.060695,ei,6.060695,15,False,True,0,1,0.12,0.016
gap_max,dkl_finetune,5,6,SM-15566,0.10260699999999989,ei,6.060695,16,False,False,0,1,1.404,0.021
gap_max,dkl_finetune,5,7,SM-20226,0.056917,ei,6.060695,17,False,False,0,1,0.132,0.032
gap_max,dkl_finetune,5,8,SM-19109,2.689678,ei,6.060695,18,False,False,0,1,0.122,0.016
gap_max,dkl_finetune,5,9,SM-18308,6.29476,ei,6.29476,19,False,True,0,2,0.122,0.015
gap_max,dkl_finetune,5,10,SM-19517,1.192457,ei,6.29476,20,False,False,0,2,0.123,0.016
gap_max,dkl_finetune,5,11,SM-799,1.439781,ei,6.29476,21,False,False,0,2,1.597,0.02
gap_max,dkl_finetune,5,12,SM-6713,0.191533,ei,6.29476,22,False,False,0,2,0.153,0.017
gap_max,dkl_finetune,5,13,SM-19332,6.547825,ei,6.547825,23,False,True,0,3,0.162,0.019
gap_max,dkl_finetune,5,14,SM-19228,9.022588,ei,9.022588,24,True,True,1,4,0.165,0.017
gap_max,dkl_finetune,5,15,SM-3970,2.362456,ei,9.022588,25,False,False,1,4,0.16,0.016
gap_max,dkl_finetune,5,16,SM-19225,8.129306,ei,9.022588,26,True,True,2,5,1.826,0.019
gap_max,dkl_finetune,5,17,SM-11686,3.700961,ei,9.022588,27,False,False,2,5,0.133,0.018
gap_max,dkl_finetune,5,18,SM-19352,2.489682,ei,9.022588,28,False,False,2,5,0.134,0.016
gap_max,dkl_finetune,5,19,SM-5003,19.720338,ei,19.720338,29,True,True,3,6,0.132,0.018
gap_max,dkl_finetune,5,20,SM-20232,4.134729,ei,19.720338,30,False,False,3,6,0.135,0.015
gap_max,dkl_finetune,5,21,SM-3955,6.86109,ei,19.720338,31,False,True,3,7,1.65,0.016
gap_max,dkl_finetune,5,22,SM-19344,4.048149,ei,19.720338,32,False,False,3,7,0.129,0.016
gap_max,dkl_finetune,5,23,SM-14945,5.606368,ei,19.720338,33,False,True,3,8,0.134,0.016
gap_max,dkl_finetune,5,24,SM-1276,4.55563,ei,19.720338,34,False,True,3,9,0.129,0.016
gap_max,dkl_finetune,5,25,SM-6442,8.541847,ei,19.720338,35,True,True,4,10,0.128,0.016
gap_max,dkl_finetune,5,26,SM-996,4.548798,ei,19.720338,36,False,True,4,11,1.761,0.017
gap_max,dkl_finetune,5,27,SM-3507,2.390096,ei,19.720338,37,False,False,4,11,0.126,0.016
gap_max,dkl_finetune,5,28,SM-10681,2.587537,ei,19.720338,38,False,False,4,11,0.127,0.017
gap_max,dkl_finetune,5,29,SM-20105,1.692346,ei,19.720338,39,False,False,4,11,0.179,0.016
gap_max,dkl_finetune,5,30,SM-10685,1.935167,ei,19.720338,40,False,False,4,11,0.121,0.015
gap_max,dkl_finetune,5,31,SM-19481,3.185315,ei,19.720338,41,False,False,4,11,1.147,0.016
gap_max,dkl_finetune,5,32,SM-10686,2.250247,ei,19.720338,42,False,False,4,11,0.121,0.018
gap_max,dkl_finetune,5,33,SM-19148,3.846373,ei,19.720338,43,False,False,4,11,0.119,0.018
gap_max,dkl_finetune,5,34,SM-10689,1.507505,ei,19.720338,44,False,False,4,11,0.12,0.015
gap_max,dkl_finetune,5,35,SM-2125,2.520362,ei,19.720338,45,False,False,4,11,0.118,0.016
gap_max,dkl_finetune,5,36,SM-5002,20.301832,ei,20.301832,46,True,True,5,12,1.015,0.017
gap_max,dkl_finetune,5,37,SM-7136,9.59711,ei,20.301832,47,True,True,6,13,0.119,0.015
gap_max,dkl_finetune,5,38,SM-4883,3.945052,ei,20.301832,48,False,False,6,13,0.119,0.015
gap_max,dkl_finetune,5,39,SM-10691,2.234553,ei,20.301832,49,False,False,6,13,0.122,0.015
gap_max,dkl_finetune,5,40,SM-256,2.577358,ei,20.301832,50,False,False,6,13,0.12,0.015
gap_max,dkl_finetune,5,41,SM-10692,2.348404,ei,20.301832,51,False,False,6,13,1.714,0.016
gap_max,dkl_finetune,5,42,SM-10693,2.326826,ei,20.301832,52,False,False,6,13,0.132,0.016
gap_max,dkl_finetune,5,43,SM-10694,2.064838,ei,20.301832,53,False,False,6,13,0.127,0.016
gap_max,dkl_finetune,5,44,SM-10695,2.136067,ei,20.301832,54,False,False,6,13,0.123,0.02
gap_max,dkl_finetune,5,45,SM-10696,1.429816,ei,20.301832,55,False,False,6,13,0.123,0.017
gap_max,dkl_finetune,5,46,SM-16985,0.236947,ei,20.301832,56,False,False,6,13,1.779,0.019
gap_max,dkl_finetune,5,47,SM-20107,3.013278,ei,20.301832,57,False,False,6,13,0.159,0.017
gap_max,dkl_finetune,5,48,SM-2127,2.450174,ei,20.301832,58,False,False,6,13,0.151,0.017
gap_max,dkl_finetune,5,49,SM-13579,1.0127920000000001,ei,20.301832,59,False,False,6,13,0.151,0.016
gap_max,dkl_finetune,5,50,SM-10706,1.068393,ei,20.301832,60,False,False,6,13,0.161,0.016
gap_max,dkl_finetune,5,51,SM-16994,4.042447,ei,20.301832,61,False,False,6,13,1.936,0.017
gap_max,dkl_finetune,5,52,SM-16995,3.950965,ei,20.301832,62,False,False,6,13,0.154,0.016
gap_max,dkl_finetune,5,53,SM-16996,3.0504420000000003,ei,20.301832,63,False,False,6,13,0.155,0.017
gap_max,dkl_finetune,5,54,SM-4895,2.543806,ei,20.301832,64,False,False,6,13,0.154,0.017
gap_max,dkl_finetune,5,55,SM-10709,3.82678,ei,20.301832,65,False,False,6,13,0.145,0.016
gap_max,dkl_finetune,5,56,SM-19222,8.028059,ei,20.301832,66,True,True,7,14,1.807,0.016
gap_max,dkl_finetune,5,57,SM-3942,4.286318,ei,20.301832,67,False,False,7,14,0.203,0.019
gap_max,dkl_finetune,5,58,SM-17806,3.371901,ei,20.301832,68,False,False,7,14,0.171,0.018
gap_max,dkl_finetune,5,59,SM-18465,4.333575,ei,20.301832,69,False,False,7,14,0.179,0.02
