task,method,metric,n_seeds,method_mean,std_gp_mean,mean_diff,wilcoxon_p,method_win_rate
gap_max,dkl_frozen,regret_auc,10,2.807109152,8.552094103000002,-5.744984951000002,0.001953125,1.0
gap_max,dkl_frozen,final_best,10,20.301831999999997,14.9366414,5.3651906,0.0625,0.5
gap_max,dkl_frozen,final_top50,10,20.5,17.0,3.5,0.234375,0.5
gap_max,dkl_frozen,final_top10pct,10,44.5,39.0,5.5,0.0546875,0.7
gap_max,dkl_finetune,regret_auc,10,3.6150588820000005,8.552094103000002,-4.937035221000001,0.01953125,0.8
gap_max,dkl_finetune,final_best,10,20.2436826,14.9366414,5.3070412000000005,0.0625,0.5
gap_max,dkl_finetune,final_top50,10,9.3,17.0,-7.7,0.017578125,0.2
gap_max,dkl_finetune,final_top10pct,10,25.3,39.0,-13.7,0.00390625,0.0
gap_max,dkl_cold_live,regret_auc,10,4.235561329000001,8.552094103000002,-4.3165327740000015,0.00390625,0.9
gap_max,dkl_cold_live,final_best,10,19.1367039,14.9366414,4.2000625000000005,0.0625,0.5
gap_max,dkl_cold_live,final_top50,10,8.5,17.0,-8.5,0.009765625,0.2
gap_max,dkl_cold_live,final_top10pct,10,23.7,39.0,-15.3,0.001953125,0.0
gap_max,random,regret_auc,10,11.503655715,8.552094103000002,2.951561611999998,0.02734375,0.3
gap_max,random,final_best,10,10.22333,14.9366414,-4.7133114,0.064453125,0.2
gap_max,random,final_top50,10,1.9,17.0,-15.1,0.00390625,0.1
gap_max,random,final_top10pct,10,10.6,39.0,-28.4,0.001953125,0.0
gap_min,dkl_frozen,regret_auc,10,0.09849669100000005,0.08169576400000005,0.016800926999999993,0.6953125,0.4
gap_min,dkl_frozen,final_best,10,0.0203445,0.028486900000000048,-0.00814240000000005,0.0078125,0.1
gap_min,dkl_frozen,final_top50,10,11.0,9.9,1.1,0.787109375,0.5
gap_min,dkl_frozen,final_top10pct,10,44.7,52.0,-7.3,0.11328125,0.3
gap_min,dkl_finetune,regret_auc,10,0.04500284500000005,0.08169576400000005,-0.036692919000000004,0.16015625,0.7
gap_min,dkl_finetune,final_best,10,0.026543900000000047,0.028486900000000048,-0.0019429999999999998,0.765625,0.4
gap_min,dkl_finetune,final_top50,10,9.5,9.9,-0.4,0.802734375,0.4
gap_min,dkl_finetune,final_top10pct,10,53.1,52.0,1.1,0.71875,0.6
gap_min,dkl_cold_live,regret_auc,10,0.04896302200000004,0.08169576400000005,-0.03273274200000002,0.193359375,0.6
gap_min,dkl_cold_live,final_best,10,0.0253467,0.028486900000000048,-0.00314020000000005,0.125,0.1
gap_min,dkl_cold_live,final_top50,10,8.9,9.9,-1.0,0.53125,0.3
gap_min,dkl_cold_live,final_top10pct,10,48.6,52.0,-3.4,0.767578125,0.5
gap_min,random,regret_auc,10,0.167088137,0.08169576400000005,0.08539237299999991,0.037109375,0.2
gap_min,random,final_best,10,0.11275600000000001,0.028486900000000048,0.08426909999999996,0.005859375,0.9
gap_min,random,final_top50,10,1.8,9.9,-8.1,0.001953125,0.0
gap_min,random,final_top10pct,10,10.7,52.0,-41.3,0.001953125,0.0
