task,method,n_seeds,regret_auc_mean,regret_auc_ci_lo,regret_auc_ci_hi,final_best_mean,final_best_ci_lo,final_best_ci_hi,final_top50_mean,final_top50_ci_lo,final_top50_ci_hi,final_top10pct_mean,final_top10pct_ci_lo,final_top10pct_ci_hi
gap_max,dkl_cold_live,10,4.235561329000001,2.3346762417,6.416265372300001,19.1367039,16.9227465,20.301831999999997,8.5,6.5,10.602499999999964,23.7,19.4,27.8
gap_max,dkl_finetune,10,3.6150588820000005,2.2644681772750004,5.19602417335,20.2436826,20.127383799999997,20.301831999999997,9.3,7.5,11.2,25.3,22.1,28.3
gap_max,dkl_frozen,10,2.807109152,1.8845633861,3.7195982124249993,20.301831999999997,20.301831999999997,20.301831999999997,20.5,19.1,21.90249999999996,44.5,41.9,46.9
gap_max,random,10,11.503655715,10.351015047499999,12.4486920097,10.22333,8.9116583975,11.901964322499996,1.9,1.3,2.6,10.6,8.5,12.8
gap_max,std_gp,10,8.552094103000002,6.536232893200001,10.535463431100002,14.9366414,11.5670836,18.3061992,17.0,12.3,21.1,39.0,34.1,44.5
gap_min,dkl_cold_live,10,0.04896302200000004,0.033674267400000006,0.06542454705000002,0.0253467,0.0214366,0.03060350000000005,8.9,6.6,11.5,48.6,39.3975,56.8
gap_min,dkl_finetune,10,0.04500284500000005,0.027070349225000002,0.0691731963000001,0.026543900000000047,0.0214537,0.033953699999999996,9.5,7.2,12.1,53.1,42.0,62.8
gap_min,dkl_frozen,10,0.09849669100000005,0.04378289287500002,0.16128283782500005,0.0203445,0.019410300000000002,0.021278700000000005,11.0,8.7,13.7,44.7,39.1,50.6
gap_min,random,10,0.167088137,0.09985803567500001,0.23675917494999987,0.11275600000000001,0.062685265,0.17157095499999997,1.8,1.0,2.6,10.7,8.7,12.7
gap_min,std_gp,10,0.08169576400000005,0.041130373875000036,0.12803597537500003,0.028486900000000048,0.0221840725,0.035910399999999995,9.9,8.2,11.6,52.0,47.3,57.2
