method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap,is_top10,cumul_top10
dkl_finetune,9,1,SM-16743,2.788071,window_max,5.736436,11,False,False,0,0,1.697,0.016,True,2.788071,False,0
dkl_finetune,9,2,SM-1303,0.503533,window_max,5.736436,12,False,False,0,0,0.133,0.017,False,2.788071,False,0
dkl_finetune,9,3,SM-11762,2.373916,window_max,5.736436,13,False,False,0,0,0.118,0.017,True,2.788071,False,0
dkl_finetune,9,4,SM-10694,2.064838,window_max,5.736436,14,False,False,0,0,0.118,0.018,True,2.788071,False,0
dkl_finetune,9,5,SM-12592,2.402816,window_max,5.736436,15,False,False,0,0,0.119,0.016,True,2.788071,False,0
dkl_finetune,9,6,SM-12513,2.919558,window_max,5.736436,16,False,False,0,0,1.216,0.019,True,2.919558,False,0
dkl_finetune,9,7,SM-12493,3.178877,window_max,5.736436,17,False,False,0,0,0.134,0.016,False,2.919558,False,0
dkl_finetune,9,8,SM-10402,2.842563,window_max,5.736436,18,False,False,0,0,0.121,0.015,True,2.919558,False,0
dkl_finetune,9,9,SM-8552,2.467713,window_max,5.736436,19,False,False,0,0,0.124,0.015,True,2.919558,False,0
dkl_finetune,9,10,SM-11524,2.269105,window_max,5.736436,20,False,False,0,0,0.123,0.016,True,2.919558,False,0
dkl_finetune,9,11,SM-8847,2.573333,window_max,5.736436,21,False,False,0,0,1.49,0.022,True,2.919558,False,0
dkl_finetune,9,12,SM-14403,2.8685850000000004,window_max,5.736436,22,False,False,0,0,0.156,0.029,True,2.919558,False,0
dkl_finetune,9,13,SM-12432,2.438181,window_max,5.736436,23,False,False,0,0,0.154,0.018,True,2.919558,False,0
dkl_finetune,9,14,SM-17125,3.1743740000000003,window_max,5.736436,24,False,False,0,0,0.155,0.017,False,2.919558,False,0
dkl_finetune,9,15,SM-10613,2.753636,window_max,5.736436,25,False,False,0,0,0.155,0.021,True,2.919558,False,0
dkl_finetune,9,16,SM-12474,2.924203,window_max,5.736436,26,False,False,0,0,1.758,0.02,True,2.924203,False,0
dkl_finetune,9,17,SM-11809,2.669572,window_max,5.736436,27,False,False,0,0,0.207,0.018,True,2.924203,False,0
dkl_finetune,9,18,SM-11547,1.914395,window_max,5.736436,28,False,False,0,0,0.17,0.02,True,2.924203,False,0
dkl_finetune,9,19,SM-10347,1.824344,window_max,5.736436,29,False,False,0,0,0.166,0.017,True,2.924203,False,0
dkl_finetune,9,20,SM-12495,3.297407,window_max,5.736436,30,False,False,0,0,0.165,0.017,False,2.924203,False,0
dkl_finetune,9,21,SM-9931,0.682107,window_max,5.736436,31,False,False,0,0,1.677,0.017,False,2.924203,False,0
dkl_finetune,9,22,SM-8472,3.051653,window_max,5.736436,32,False,False,0,0,0.154,0.017,False,2.924203,False,0
dkl_finetune,9,23,SM-12506,2.341502,window_max,5.736436,33,False,False,0,0,0.152,0.017,True,2.924203,False,0
dkl_finetune,9,24,SM-11405,1.980339,window_max,5.736436,34,False,False,0,0,0.148,0.017,True,2.924203,False,0
dkl_finetune,9,25,SM-9285,3.433518,window_max,5.736436,35,False,False,0,0,0.151,0.016,False,2.924203,False,0
dkl_finetune,9,26,SM-10895,2.459211,window_max,5.736436,36,False,False,0,0,1.561,0.018,True,2.924203,False,0
dkl_finetune,9,27,SM-13519,2.869485,window_max,5.736436,37,False,False,0,0,0.094,0.017,True,2.924203,False,0
dkl_finetune,9,28,SM-7776,2.479867,window_max,5.736436,38,False,False,0,0,0.085,0.017,True,2.924203,False,0
dkl_finetune,9,29,SM-11200,2.174915,window_max,5.736436,39,False,False,0,0,0.059,0.016,True,2.924203,False,0
dkl_finetune,9,30,SM-9338,2.531026,window_max,5.736436,40,False,False,0,0,0.141,0.016,True,2.924203,False,0
dkl_finetune,9,31,SM-11063,2.274541,window_max,5.736436,41,False,False,0,0,1.828,0.015,True,2.924203,False,0
dkl_finetune,9,32,SM-15809,2.5006259999999996,window_max,5.736436,42,False,False,0,0,0.12,0.015,True,2.924203,False,0
dkl_finetune,9,33,SM-18378,2.9262760000000005,window_max,5.736436,43,False,False,0,0,0.119,0.015,True,2.9262760000000005,False,0
dkl_finetune,9,34,SM-10756,2.443941,window_max,5.736436,44,False,False,0,0,0.121,0.015,True,2.9262760000000005,False,0
dkl_finetune,9,35,SM-11382,2.145506,window_max,5.736436,45,False,False,0,0,0.12,0.015,True,2.9262760000000005,False,0
dkl_finetune,9,36,SM-14160,2.7731339999999998,window_max,5.736436,46,False,False,0,0,1.225,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,37,SM-8634,2.340977,window_max,5.736436,47,False,False,0,0,0.165,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,38,SM-10361,2.487922,window_max,5.736436,48,False,False,0,0,0.156,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,39,SM-10362,2.492975,window_max,5.736436,49,False,False,0,0,0.152,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,40,SM-9327,3.984589,window_max,5.736436,50,False,False,0,0,0.152,0.017,False,2.9262760000000005,False,0
dkl_finetune,9,41,SM-11315,2.916802,window_max,5.736436,51,False,False,0,0,1.277,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,42,SM-8861,2.762358,window_max,5.736436,52,False,False,0,0,0.179,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,43,SM-375,3.015557,window_max,5.736436,53,False,False,0,0,0.156,0.017,False,2.9262760000000005,False,0
dkl_finetune,9,44,SM-12605,2.179346,window_max,5.736436,54,False,False,0,0,0.164,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,45,SM-9633,2.756651,window_max,5.736436,55,False,False,0,0,0.162,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,46,SM-10511,2.72775,window_max,5.736436,56,False,False,0,0,1.753,0.02,True,2.9262760000000005,False,0
dkl_finetune,9,47,SM-9060,3.291447,window_max,5.736436,57,False,False,0,0,0.127,0.018,False,2.9262760000000005,False,0
dkl_finetune,9,48,SM-10769,2.492782,window_max,5.736436,58,False,False,0,0,0.148,0.018,True,2.9262760000000005,False,0
dkl_finetune,9,49,SM-14333,3.047259,window_max,5.736436,59,False,False,0,0,0.148,0.017,False,2.9262760000000005,False,0
dkl_finetune,9,50,SM-18959,2.888123,window_max,5.736436,60,False,False,0,0,0.144,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,51,SM-18515,3.0178519999999995,window_max,5.736436,61,False,False,0,0,1.61,0.017,False,2.9262760000000005,False,0
dkl_finetune,9,52,SM-14161,3.2782549999999997,window_max,5.736436,62,False,False,0,0,0.162,0.027,False,2.9262760000000005,False,0
dkl_finetune,9,53,SM-10335,2.363515,window_max,5.736436,63,False,False,0,0,0.156,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,54,SM-16494,2.488254,window_max,5.736436,64,False,False,0,0,0.157,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,55,SM-8583,0.811306,window_max,5.736436,65,False,False,0,0,0.153,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,56,SM-14035,3.125525,window_max,5.736436,66,False,False,0,0,1.335,0.018,False,2.9262760000000005,False,0
dkl_finetune,9,57,SM-14399,3.232473,window_max,5.736436,67,False,False,0,0,0.179,0.017,False,2.9262760000000005,False,0
dkl_finetune,9,58,SM-10319,2.601336,window_max,5.736436,68,False,False,0,0,0.171,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,59,SM-10693,2.326826,window_max,5.736436,69,False,False,0,0,0.173,0.024,True,2.9262760000000005,False,0
dkl_finetune,9,60,SM-14647,2.642089,window_max,5.736436,70,False,False,0,0,0.172,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,61,SM-11406,1.914405,window_max,5.736436,71,False,False,0,0,1.671,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,62,SM-10334,2.667198,window_max,5.736436,72,False,False,0,0,0.161,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,63,SM-12894,2.159402,window_max,5.736436,73,False,False,0,0,0.138,0.015,True,2.9262760000000005,False,0
dkl_finetune,9,64,SM-11232,2.507448,window_max,5.736436,74,False,False,0,0,0.129,0.014,True,2.9262760000000005,False,0
dkl_finetune,9,65,SM-10927,2.503165,window_max,5.736436,75,False,False,0,0,0.137,0.017,True,2.9262760000000005,False,0
dkl_finetune,9,66,SM-17063,1.3277520000000003,window_max,5.736436,76,False,False,0,0,1.637,0.014,True,2.9262760000000005,False,0
dkl_finetune,9,67,SM-10766,3.297518,window_max,5.736436,77,False,False,0,0,0.138,0.017,False,2.9262760000000005,False,0
dkl_finetune,9,68,SM-12101,2.703338,window_max,5.736436,78,False,False,0,0,0.143,0.014,True,2.9262760000000005,False,0
dkl_finetune,9,69,SM-12892,2.488448,window_max,5.736436,79,False,False,0,0,0.139,0.014,True,2.9262760000000005,False,0
dkl_finetune,9,70,SM-12198,2.419638,window_max,5.736436,80,False,False,0,0,0.133,0.014,True,2.9262760000000005,False,0
dkl_finetune,9,71,SM-13863,0.847235,window_max,5.736436,81,False,False,0,0,1.403,0.016,True,2.9262760000000005,False,0
dkl_finetune,9,72,SM-11408,2.31611,window_max,5.736436,82,False,False,0,0,0.157,0.015,True,2.9262760000000005,False,0
dkl_finetune,9,73,SM-12197,2.748266,window_max,5.736436,83,False,False,0,0,0.133,0.014,True,2.9262760000000005,False,0
