method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap,is_top10,cumul_top10
dkl_frozen,1,1,SM-11196,4.089526,window_max,8.707246,11,False,False,0,0,0.274,0.151,False,0.7,False,0
dkl_frozen,1,2,SM-17458,2.623395,window_max,8.707246,12,False,False,0,0,0.341,0.147,True,2.623395,False,0
dkl_frozen,1,3,SM-12707,2.467498,window_max,8.707246,13,False,False,0,0,0.263,0.126,True,2.623395,False,0
dkl_frozen,1,4,SM-13450,2.54842,window_max,8.707246,14,False,False,0,0,0.195,0.138,True,2.623395,False,0
dkl_frozen,1,5,SM-13452,2.753795,window_max,8.707246,15,False,False,0,0,0.221,0.163,True,2.753795,False,0
dkl_frozen,1,6,SM-10304,3.000624,window_max,8.707246,16,False,False,0,0,0.228,0.142,False,2.753795,False,0
dkl_frozen,1,7,SM-13352,1.844974,window_max,8.707246,17,False,False,0,0,0.291,0.164,True,2.753795,False,0
dkl_frozen,1,8,SM-473,2.537011,window_max,8.707246,18,False,False,0,0,0.276,0.151,True,2.753795,False,0
dkl_frozen,1,9,SM-286,2.339422,window_max,8.707246,19,False,False,0,0,0.213,0.147,True,2.753795,False,0
dkl_frozen,1,10,SM-11872,2.160552,window_max,8.707246,20,False,False,0,0,0.252,0.146,True,2.753795,False,0
dkl_frozen,1,11,SM-11432,1.700107,window_max,8.707246,21,False,False,0,0,0.255,0.18,True,2.753795,False,0
dkl_frozen,1,12,SM-10769,2.492782,window_max,8.707246,22,False,False,0,0,0.305,0.152,True,2.753795,False,0
dkl_frozen,1,13,SM-10346,2.067856,window_max,8.707246,23,False,False,0,0,0.332,0.161,True,2.753795,False,0
dkl_frozen,1,14,SM-11996,1.94835,window_max,8.707246,24,False,False,0,0,0.351,0.171,True,2.753795,False,0
dkl_frozen,1,15,SM-375,3.015557,window_max,8.707246,25,False,False,0,0,0.305,0.157,False,2.753795,False,0
dkl_frozen,1,16,SM-11544,2.126604,window_max,8.707246,26,False,False,0,0,0.198,0.122,True,2.753795,False,0
dkl_frozen,1,17,SM-10743,2.088778,window_max,8.707246,27,False,False,0,0,0.193,0.13,True,2.753795,False,0
dkl_frozen,1,18,SM-8552,2.467713,window_max,8.707246,28,False,False,0,0,0.196,0.134,True,2.753795,False,0
dkl_frozen,1,19,SM-18268,1.965392,window_max,8.707246,29,False,False,0,0,0.195,0.139,True,2.753795,False,0
dkl_frozen,1,20,SM-284,2.861081,window_max,8.707246,30,False,False,0,0,0.209,0.141,True,2.861081,False,0
