method,seed,best_inwin_gap,cumul_top10,cumul_top50
random,3,2.975009,0,1
random,4,2.997811,1,3
random,6,2.947517,0,1
random,5,2.97382,0,3
random,9,2.97382,0,3
std_gp,0,2.951524,0,2
random,8,2.945794,0,1
random,7,2.983168,0,2
dkl_finetune,8,2.997786,1,6
dkl_finetune,9,2.9262760000000005,0,0
dkl_frozen,1,2.979417,0,2
dkl_frozen,0,2.97581,0,3
dkl_frozen,4,2.888123,0,0
dkl_frozen,5,2.9950879999999995,1,1
dkl_frozen,3,2.924203,0,0
dkl_frozen,2,2.936438,0,0
dkl_frozen,9,2.99136,1,3
random,0,2.99136,2,3
random,2,2.892489,0,0
random,1,2.9950879999999995,2,3
dkl_frozen,7,2.9950879999999995,1,1
dkl_frozen,8,2.947924,0,1
std_gp,8,2.951524,0,1
dkl_frozen,6,2.99136,1,2
std_gp,1,2.968557,0,1
std_gp,2,2.9950879999999995,1,1
std_gp,4,2.968557,0,2
std_gp,3,2.992615,1,1
std_gp,7,2.947517,0,2
std_gp,9,2.938782,0,1
std_gp,6,2.968557,0,2
std_gp,5,2.936949,0,1
dkl_finetune,4,2.9950879999999995,1,1
dkl_finetune,5,2.979417,0,2
dkl_finetune,7,2.9950879999999995,1,1
dkl_finetune,6,2.988181,1,3
dkl_finetune,2,2.981795,0,1
dkl_finetune,3,2.936438,0,0
dkl_finetune,1,2.916802,0,0
dkl_finetune,0,2.938039,0,2
