method,seed,cycle,uid,gap_acquired,acquisition_fn,best_so_far,n_labelled,is_top50,is_top10pct,cumul_top50,cumul_top10pct,train_time_s,predict_time_s,in_window,best_inwin_gap
random,9,1,SM-16161,2.55959,random,5.736436,11,False,False,0,0,0.0,0.0,True,2.55959
random,9,2,SM-4234,1.391958,random,5.736436,12,False,False,0,0,0.0,0.0,True,1.391958
random,9,3,SM-19123,3.073161,random,5.736436,13,False,False,0,0,0.0,0.0,False,1.391958
random,9,4,SM-534,1.475117,random,5.736436,14,False,False,0,0,0.0,0.0,True,1.391958
random,9,5,SM-8800,1.650854,random,5.736436,15,False,False,0,0,0.0,0.0,True,1.391958
random,9,6,SM-4462,1.301852,random,5.736436,16,False,False,0,0,0.0,0.0,True,1.301852
random,9,7,SM-3535,2.6148669999999994,random,5.736436,17,False,False,0,0,0.0,0.0,True,1.301852
random,9,8,SM-17106,2.067242,random,5.736436,18,False,False,0,0,0.0,0.0,True,1.301852
random,9,9,SM-6810,3.631367,random,5.736436,19,False,False,0,0,0.0,0.0,False,1.301852
random,9,10,SM-4686,1.765869,random,5.736436,20,False,False,0,0,0.0,0.0,True,1.301852
random,9,11,SM-13363,3.943544,random,5.736436,21,False,False,0,0,0.0,0.0,False,1.301852
random,9,12,SM-1006,1.596743,random,5.736436,22,False,False,0,0,0.0,0.0,True,1.301852
random,9,13,SM-16108,0.994821,random,5.736436,23,False,False,0,0,0.0,0.0,True,0.994821
random,9,14,SM-10361,2.487922,random,5.736436,24,False,False,0,0,0.0,0.0,True,0.994821
random,9,15,SM-12151,2.862289,random,5.736436,25,False,False,0,0,0.0,0.0,True,0.994821
random,9,16,SM-13748,3.0992569999999997,random,5.736436,26,False,False,0,0,0.0,0.0,False,0.994821
random,9,17,SM-4112,2.97382,random,5.736436,27,False,False,0,0,0.0,0.0,True,0.994821
random,9,18,SM-17597,3.0724940000000003,random,5.736436,28,False,False,0,0,0.0,0.0,False,0.994821
random,9,19,SM-19112,7.731107,random,7.731107,29,False,True,0,1,0.0,0.0,False,0.994821
random,9,20,SM-11095,3.822364,random,7.731107,30,False,False,0,1,0.0,0.0,False,0.994821
random,9,21,SM-13335,2.802009,random,7.731107,31,False,False,0,1,0.0,0.0,True,0.994821
random,9,22,SM-8341,1.056088,random,7.731107,32,False,False,0,1,0.0,0.0,True,0.994821
random,9,23,SM-3138,4.910965,random,7.731107,33,False,True,0,2,0.0,0.0,False,0.994821
random,9,24,SM-17189,1.7535489999999996,random,7.731107,34,False,False,0,2,0.0,0.0,True,0.994821
random,9,25,SM-1111,3.915672,random,7.731107,35,False,False,0,2,0.0,0.0,False,0.994821
random,9,26,SM-3888,4.012216,random,7.731107,36,False,False,0,2,0.0,0.0,False,0.994821
random,9,27,SM-7441,0.952686,random,7.731107,37,False,False,0,2,0.0,0.0,True,0.952686
random,9,28,SM-18041,3.428259,random,7.731107,38,False,False,0,2,0.0,0.0,False,0.952686
random,9,29,SM-1394,1.757514,random,7.731107,39,False,False,0,2,0.0,0.0,True,0.952686
random,9,30,SM-17508,3.14691,random,7.731107,40,False,False,0,2,0.0,0.0,False,0.952686
random,9,31,SM-5015,15.527824,random,15.527824,41,False,True,0,3,0.0,0.0,False,0.952686
random,9,32,SM-17405,3.264473,random,15.527824,42,False,False,0,3,0.0,0.0,False,0.952686
random,9,33,SM-10397,0.227818,random,15.527824,43,False,False,0,3,0.0,0.0,False,0.952686
random,9,34,SM-12161,3.638816,random,15.527824,44,False,False,0,3,0.0,0.0,False,0.952686
random,9,35,SM-17267,1.1602519999999998,random,15.527824,45,False,False,0,3,0.0,0.0,True,0.952686
random,9,36,SM-13119,4.699677,random,15.527824,46,False,True,0,4,0.0,0.0,False,0.952686
random,9,37,SM-14493,0.6105000000000009,random,15.527824,47,False,False,0,4,0.0,0.0,False,0.952686
random,9,38,SM-12109,4.157611,random,15.527824,48,False,False,0,4,0.0,0.0,False,0.952686
random,9,39,SM-3340,3.750773,random,15.527824,49,False,False,0,4,0.0,0.0,False,0.952686
random,9,40,SM-16657,3.363871,random,15.527824,50,False,False,0,4,0.0,0.0,False,0.952686
random,9,41,SM-17119,2.483835,random,15.527824,51,False,False,0,4,0.0,0.0,True,0.952686
random,9,42,SM-11479,2.2778,random,15.527824,52,False,False,0,4,0.0,0.0,True,0.952686
random,9,43,SM-10285,4.03742,random,15.527824,53,False,False,0,4,0.0,0.0,False,0.952686
random,9,44,SM-16996,3.0504420000000003,random,15.527824,54,False,False,0,4,0.0,0.0,False,0.952686
random,9,45,SM-16065,3.015829,random,15.527824,55,False,False,0,4,0.0,0.0,False,0.952686
random,9,46,SM-10926,2.321607,random,15.527824,56,False,False,0,4,0.0,0.0,True,0.952686
random,9,47,SM-12063,3.978655,random,15.527824,57,False,False,0,4,0.0,0.0,False,0.952686
random,9,48,SM-6449,1.144405,random,15.527824,58,False,False,0,4,0.0,0.0,True,0.952686
random,9,49,SM-11231,2.527399,random,15.527824,59,False,False,0,4,0.0,0.0,True,0.952686
random,9,50,SM-20120,2.8726,random,15.527824,60,False,False,0,4,0.0,0.0,True,0.952686
random,9,51,SM-11591,3.262718,random,15.527824,61,False,False,0,4,0.0,0.0,False,0.952686
random,9,52,SM-12196,2.772093,random,15.527824,62,False,False,0,4,0.0,0.0,True,0.952686
random,9,53,SM-10589,2.076617,random,15.527824,63,False,False,0,4,0.0,0.0,True,0.952686
random,9,54,SM-19137,6.040539,random,15.527824,64,False,True,0,5,0.0,0.0,False,0.952686
random,9,55,SM-9332,1.873956,random,15.527824,65,False,False,0,5,0.0,0.0,True,0.952686
random,9,56,SM-20107,3.013278,random,15.527824,66,False,False,0,5,0.0,0.0,False,0.952686
random,9,57,SM-15538,0.6063689999999999,random,15.527824,67,False,False,0,5,0.0,0.0,False,0.952686
random,9,58,SM-9165,2.32794,random,15.527824,68,False,False,0,5,0.0,0.0,True,0.952686
random,9,59,SM-3590,3.898843,random,15.527824,69,False,False,0,5,0.0,0.0,False,0.952686
random,9,60,SM-17393,0.28903,random,15.527824,70,False,False,0,5,0.0,0.0,False,0.952686
random,9,61,SM-15361,4.028737,random,15.527824,71,False,False,0,5,0.0,0.0,False,0.952686
random,9,62,SM-17008,3.746489,random,15.527824,72,False,False,0,5,0.0,0.0,False,0.952686
random,9,63,SM-17260,1.096845,random,15.527824,73,False,False,0,5,0.0,0.0,True,0.952686
random,9,64,SM-11213,1.777508,random,15.527824,74,False,False,0,5,0.0,0.0,True,0.952686
random,9,65,SM-13526,2.490021,random,15.527824,75,False,False,0,5,0.0,0.0,True,0.952686
random,9,66,SM-13591,0.3600949999999994,random,15.527824,76,False,False,0,5,0.0,0.0,False,0.952686
random,9,67,SM-8390,2.383572,random,15.527824,77,False,False,0,5,0.0,0.0,True,0.952686
random,9,68,SM-11027,4.018767,random,15.527824,78,False,False,0,5,0.0,0.0,False,0.952686
random,9,69,SM-9116,0.872799,random,15.527824,79,False,False,0,5,0.0,0.0,True,0.872799
random,9,70,SM-19467,2.045549,random,15.527824,80,False,False,0,5,0.0,0.0,True,0.872799
random,9,71,SM-12577,3.230619,random,15.527824,81,False,False,0,5,0.0,0.0,False,0.872799
random,9,72,SM-15708,2.9711800000000004,random,15.527824,82,False,False,0,5,0.0,0.0,True,0.872799
random,9,73,SM-12184,2.069657,random,15.527824,83,False,False,0,5,0.0,0.0,True,0.872799
random,9,74,SM-13629,5.093071999999999,random,15.527824,84,False,True,0,6,0.0,0.0,False,0.872799
random,9,75,SM-16836,2.694189,random,15.527824,85,False,False,0,6,0.0,0.0,True,0.872799
random,9,76,SM-4838,1.1130439999999995,random,15.527824,86,False,False,0,6,0.0,0.0,True,0.872799
random,9,77,SM-9858,1.690123,random,15.527824,87,False,False,0,6,0.0,0.0,True,0.872799
random,9,78,SM-11053,3.013155,random,15.527824,88,False,False,0,6,0.0,0.0,False,0.872799
random,9,79,SM-3802,2.564567,random,15.527824,89,False,False,0,6,0.0,0.0,True,0.872799
random,9,80,SM-9252,3.281945,random,15.527824,90,False,False,0,6,0.0,0.0,False,0.872799
random,9,81,SM-18201,0.4353479999999994,random,15.527824,91,False,False,0,6,0.0,0.0,False,0.872799
random,9,82,SM-20226,0.056917,random,15.527824,92,False,False,0,6,0.0,0.0,False,0.872799
random,9,83,SM-4430,1.239548,random,15.527824,93,False,False,0,6,0.0,0.0,True,0.872799
random,9,84,SM-10521,3.810784,random,15.527824,94,False,False,0,6,0.0,0.0,False,0.872799
random,9,85,SM-10887,4.540174,random,15.527824,95,False,True,0,7,0.0,0.0,False,0.872799
random,9,86,SM-17171,2.5790419999999994,random,15.527824,96,False,False,0,7,0.0,0.0,True,0.872799
random,9,87,SM-18414,5.561536,random,15.527824,97,False,True,0,8,0.0,0.0,False,0.872799
random,9,88,SM-4260,3.29829,random,15.527824,98,False,False,0,8,0.0,0.0,False,0.872799
random,9,89,SM-18953,2.581692,random,15.527824,99,False,False,0,8,0.0,0.0,True,0.872799
random,9,90,SM-381,4.902262,random,15.527824,100,False,True,0,9,0.0,0.0,False,0.872799
random,9,91,SM-13348,0.570269,random,15.527824,101,False,False,0,9,0.0,0.0,False,0.872799
