method,seed,best_inwin_gap,cumul_top50
random,3,0.726147,1
random,4,0.789034,1
random,6,0.724901,2
random,5,0.789034,1
random,9,0.790448,1
std_gp,0,0.706657,11
random,8,0.717253,2
random,7,0.775522,2
dkl_finetune,8,0.709747,5
dkl_finetune,9,0.706657,6
dkl_frozen,1,0.706657,3
dkl_frozen,0,0.7312060000000002,6
dkl_frozen,4,0.757444,1
dkl_frozen,5,0.74224,1
dkl_frozen,3,0.719151,3
dkl_frozen,2,0.7312060000000002,4
dkl_frozen,9,0.724926,1
random,0,0.9418859999999992,0
random,2,0.8075,1
random,1,0.818936,1
dkl_frozen,7,0.724926,1
dkl_frozen,8,0.7312060000000002,2
std_gp,8,0.7040149999999996,10
dkl_frozen,6,0.7040149999999996,3
std_gp,1,0.724901,4
std_gp,2,0.7312060000000002,7
std_gp,4,0.770847,2
std_gp,3,0.709747,5
std_gp,7,0.729306,1
std_gp,9,0.783572,3
std_gp,6,0.757444,1
std_gp,5,0.74224,2
dkl_finetune,4,0.724681,7
dkl_finetune,5,0.706657,4
dkl_finetune,7,0.719151,8
dkl_finetune,6,0.7312060000000002,5
dkl_finetune,2,0.706657,10
dkl_finetune,3,0.706657,5
dkl_finetune,1,0.749221,5
dkl_finetune,0,0.719151,5
